数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202411,108,塞浦路斯,44,广东省,"135,478"
202411,108,塞浦路斯,46,海南省,"153,600"
202411,108,塞浦路斯,51,四川省,57
202411,109,朝鲜,11,北京市,702
202411,109,朝鲜,21,辽宁省,"13,125,430"
202411,109,朝鲜,22,吉林省,"11,114,359"
202411,109,朝鲜,31,上海市,"13,366"
202411,109,朝鲜,32,江苏省,"41,683"
202411,109,朝鲜,37,山东省,"2,725,166"
202411,109,朝鲜,41,河南省,"20,904"
202411,109,朝鲜,43,湖南省,"93,600"
202411,109,朝鲜,44,广东省,"1,229,876"
202411,109,朝鲜,61,陕西省,"149,707"
202411,110,中国香港,11,北京市,"1,171,121,328"
202411,110,中国香港,12,天津市,"1,512,987"
202411,110,中国香港,13,河北省,"366,920"
202411,110,中国香港,14,山西省,17
202411,110,中国香港,15,内蒙古自治区,"11,236,689"
202411,110,中国香港,21,辽宁省,"5,034,183"
202411,110,中国香港,22,吉林省,391
202411,110,中国香港,23,黑龙江省,"68,570"
202411,110,中国香港,31,上海市,"234,984,882"
202411,110,中国香港,32,江苏省,"6,791,835"
202411,110,中国香港,33,浙江省,"29,015,445"
202411,110,中国香港,34,安徽省,"2,271,869"
202411,110,中国香港,35,福建省,"19,401,510"
202411,110,中国香港,36,江西省,"3,063,458"
202411,110,中国香港,37,山东省,"132,552,404"
202411,110,中国香港,41,河南省,"3,547,212"
202411,110,中国香港,42,湖北省,"1,213,833"
202411,110,中国香港,43,湖南省,"140,130,125"
202411,110,中国香港,44,广东省,"792,245,168"
202411,110,中国香港,45,广西壮族自治区,"519,782"
202411,110,中国香港,46,海南省,"6,696,617"
202411,110,中国香港,50,重庆市,"1,775,992"
202411,110,中国香港,51,四川省,"15,839,580"
202411,110,中国香港,52,贵州省,"141,126"
202411,110,中国香港,53,云南省,"312,298"
202411,110,中国香港,54,西藏自治区,91
202411,110,中国香港,61,陕西省,"497,758"
202411,110,中国香港,64,宁夏回族自治区,"7,676,386"
202411,110,中国香港,65,新疆维吾尔自治区,"88,500"
202411,111,印度,11,北京市,"45,219,170"
202411,111,印度,12,天津市,"50,757,638"
202411,111,印度,13,河北省,"42,056,293"
202411,111,印度,14,山西省,"4,600,991"
202411,111,印度,15,内蒙古自治区,"155,047"
202411,111,印度,21,辽宁省,"29,766,862"
202411,111,印度,22,吉林省,"1,391,361"
202411,111,印度,23,黑龙江省,"407,874"
202411,111,印度,31,上海市,"200,965,090"
202411,111,印度,32,江苏省,"133,455,214"
202411,111,印度,33,浙江省,"203,501,702"
202411,111,印度,34,安徽省,"12,391,232"
202411,111,印度,35,福建省,"85,866,473"
202411,111,印度,36,江西省,"11,267,175"
202411,111,印度,37,山东省,"156,154,044"
202411,111,印度,41,河南省,"66,948,348"
202411,111,印度,42,湖北省,"24,618,303"
202411,111,印度,43,湖南省,"7,743,681"
202411,111,印度,44,广东省,"207,970,138"
202411,111,印度,45,广西壮族自治区,"14,530,058"
202411,111,印度,46,海南省,"13,744,789"
202411,111,印度,50,重庆市,"6,557,994"
202411,111,印度,51,四川省,"20,647,855"
202411,111,印度,52,贵州省,"1,807,921"
202411,111,印度,53,云南省,"2,203,872"
202411,111,印度,54,西藏自治区,"313,483"
202411,111,印度,61,陕西省,"4,619,698"
202411,111,印度,62,甘肃省,535
202411,111,印度,63,青海省,"1,326,475"
202411,111,印度,64,宁夏回族自治区,"4,036"
202411,111,印度,65,新疆维吾尔自治区,"104,716"
202411,112,印度尼西亚,11,北京市,"342,421,975"
202411,112,印度尼西亚,12,天津市,"81,050,830"
202411,112,印度尼西亚,13,河北省,"47,558,586"
202411,112,印度尼西亚,14,山西省,"94,127,659"
202411,112,印度尼西亚,15,内蒙古自治区,"45,869,189"
202411,112,印度尼西亚,21,辽宁省,"35,271,070"
202411,112,印度尼西亚,22,吉林省,"4,207,458"
202411,112,印度尼西亚,23,黑龙江省,"5,888"
202411,112,印度尼西亚,31,上海市,"474,007,522"
202411,112,印度尼西亚,32,江苏省,"641,309,903"
202411,112,印度尼西亚,33,浙江省,"1,194,329,254"
202411,112,印度尼西亚,34,安徽省,"76,526,419"
202411,112,印度尼西亚,35,福建省,"1,520,479,072"
202411,112,印度尼西亚,36,江西省,"89,517,305"
202411,112,印度尼西亚,37,山东省,"384,236,925"
202411,112,印度尼西亚,41,河南省,"32,898,562"
202411,112,印度尼西亚,42,湖北省,"150,550,163"
202411,112,印度尼西亚,43,湖南省,"111,696,745"
202411,112,印度尼西亚,44,广东省,"683,512,474"
202411,112,印度尼西亚,45,广西壮族自治区,"228,735,650"
202411,112,印度尼西亚,46,海南省,"190,537,770"
202411,112,印度尼西亚,50,重庆市,"17,467,860"
202411,112,印度尼西亚,51,四川省,"37,978,872"
202411,112,印度尼西亚,52,贵州省,"15,469,390"
202411,112,印度尼西亚,53,云南省,"2,020,692"
202411,112,印度尼西亚,54,西藏自治区,"278,020"
202411,112,印度尼西亚,61,陕西省,"81,625,036"
202411,112,印度尼西亚,62,甘肃省,"33,112,429"
202411,112,印度尼西亚,63,青海省,"64,343"
202411,112,印度尼西亚,64,宁夏回族自治区,"773,388"
202411,112,印度尼西亚,65,新疆维吾尔自治区,"74,202,628"
202411,113,伊朗,11,北京市,"475,670"
202411,113,伊朗,12,天津市,"24,645,642"
202411,113,伊朗,13,河北省,"552,402"
202411,113,伊朗,21,辽宁省,"328,051"
202411,113,伊朗,31,上海市,"109,718,909"
202411,113,伊朗,32,江苏省,"48,368,638"
202411,113,伊朗,33,浙江省,"107,286,090"
202411,113,伊朗,34,安徽省,"53,368,851"
202411,113,伊朗,35,福建省,"7,113,166"
202411,113,伊朗,36,江西省,"15,300"
202411,113,伊朗,37,山东省,"16,525,356"
202411,113,伊朗,41,河南省,"87,768"
202411,113,伊朗,42,湖北省,"1,059,561"
202411,113,伊朗,43,湖南省,"159,321"
202411,113,伊朗,44,广东省,"17,975,828"
202411,113,伊朗,46,海南省,"2,834,150"
202411,113,伊朗,50,重庆市,"1,072"
202411,113,伊朗,51,四川省,"2,696,748"
202411,113,伊朗,53,云南省,"581,094"
202411,113,伊朗,61,陕西省,"574,030"
202411,113,伊朗,62,甘肃省,"615,358"
202411,114,伊拉克,11,北京市,"2,721,896,465"
202411,114,伊拉克,12,天津市,"329,441"
202411,114,伊拉克,13,河北省,"88,426"
202411,114,伊拉克,31,上海市,"113,795"
202411,114,伊拉克,32,江苏省,"76,004,258"
202411,114,伊拉克,33,浙江省,"309,958,406"
202411,114,伊拉克,35,福建省,"253,080,765"
202411,114,伊拉克,37,山东省,"93,870,849"
202411,114,伊拉克,42,湖北省,433
202411,114,伊拉克,44,广东省,"1,248,874"
202411,114,伊拉克,45,广西壮族自治区,"77,981,074"
202411,114,伊拉克,51,四川省,127
202411,115,以色列,11,北京市,"31,584,465"
202411,115,以色列,12,天津市,"4,415,318"
202411,115,以色列,13,河北省,"915,932"
202411,115,以色列,14,山西省,"4,282"
202411,115,以色列,15,内蒙古自治区,706
202411,115,以色列,21,辽宁省,"1,556,894"
202411,115,以色列,22,吉林省,"1,474,581"
202411,115,以色列,23,黑龙江省,"656,807"
202411,115,以色列,31,上海市,"79,013,993"
202411,115,以色列,32,江苏省,"44,549,636"
202411,115,以色列,33,浙江省,"15,167,334"
202411,115,以色列,34,安徽省,"3,595,986"
202411,115,以色列,35,福建省,"7,664,945"
202411,115,以色列,36,江西省,"134,634"
202411,115,以色列,37,山东省,"12,603,942"
202411,115,以色列,41,河南省,"1,663,587"
202411,115,以色列,42,湖北省,"2,284,592"
