数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,美元
202101,101,阿富汗,11,北京市,2252267,1,1294145
202101,101,阿富汗,12,天津市,231619,0,196724
202101,101,阿富汗,13,河北省,253451,234883,1065112
202101,101,阿富汗,15,内蒙古自治区,527000,0,503320
202101,101,阿富汗,21,辽宁省,242555,44,197173
202101,101,阿富汗,23,黑龙江省,106387,75050,109251
202101,101,阿富汗,31,上海市,74174,57102,416469
202101,101,阿富汗,32,江苏省,1516833,601768,4323278
202101,101,阿富汗,33,浙江省,16175370,4971207,22756716
202101,101,阿富汗,34,安徽省,116749,99761,641705
202101,101,阿富汗,35,福建省,87264,22304,239733
202101,101,阿富汗,36,江西省,159199,250773,151140
202101,101,阿富汗,37,山东省,3481139,254724,6222741
202101,101,阿富汗,41,河南省,66482,26580,164518
202101,101,阿富汗,42,湖北省,274044,19,1017089
202101,101,阿富汗,43,湖南省,259829,38145,405695
202101,101,阿富汗,44,广东省,830598,1115648,6129166
202101,101,阿富汗,45,广西壮族自治区,94803,516043,569220
202101,101,阿富汗,50,重庆市,30,6270,17565
202101,101,阿富汗,51,四川省,1809000,103879,480496
202101,101,阿富汗,52,贵州省,99,0,450
202101,101,阿富汗,53,云南省,76677,32181,99223
202101,101,阿富汗,61,陕西省,21446,1344,46715
202101,101,阿富汗,65,新疆维吾尔自治区,387949,83810,1523394
202101,102,巴林,11,北京市,44080,20531,1686022
202101,102,巴林,12,天津市,7236764,226411,7905639
202101,102,巴林,13,河北省,35651153,2329400,18840946
202101,102,巴林,14,山西省,50587,3,50780
202101,102,巴林,15,内蒙古自治区,359603,11802,754134
202101,102,巴林,21,辽宁省,284531,16977,636671
202101,102,巴林,22,吉林省,137,6241,44162
202101,102,巴林,23,黑龙江省,131586,17119,106913
202101,102,巴林,31,上海市,976891,341230,3445082
202101,102,巴林,32,江苏省,3523858,1853520,12801236
202101,102,巴林,33,浙江省,6629396,4093277,16635416
202101,102,巴林,34,安徽省,239017,173798,1427521
202101,102,巴林,35,福建省,993609,317441,2757053
202101,102,巴林,36,江西省,708700,71312,3068062
202101,102,巴林,37,山东省,13213521,2803513,13219997
202101,102,巴林,41,河南省,510235,116243,4225432
202101,102,巴林,42,湖北省,344506,2032320,1461446
202101,102,巴林,43,湖南省,589791,1855630,3177958
202101,102,巴林,44,广东省,5943046,3745673,33272446
202101,102,巴林,45,广西壮族自治区,164895,16391,1166611
202101,102,巴林,46,海南省,40145,23788,273865
202101,102,巴林,50,重庆市,33575,98950,832725
202101,102,巴林,51,四川省,107817,4631,762960
202101,102,巴林,52,贵州省,16504,852,159431
202101,102,巴林,53,云南省,486288,13163,2078095
202101,102,巴林,61,陕西省,173933,104239,322957
202101,102,巴林,63,青海省,20944,0,47595
202101,102,巴林,65,新疆维吾尔自治区,194075,1394,179128
202101,103,孟加拉国,11,北京市,189638238,175806783,94526735
