数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202410,101,阿富汗,11,北京市,830544
202410,101,阿富汗,12,天津市,497434
202410,101,阿富汗,13,河北省,9087810
202410,101,阿富汗,14,山西省,11405
202410,101,阿富汗,15,内蒙古自治区,382939
202410,101,阿富汗,21,辽宁省,5999168
202410,101,阿富汗,22,吉林省,2650
202410,101,阿富汗,23,黑龙江省,62500
202410,101,阿富汗,31,上海市,3128576
202410,101,阿富汗,32,江苏省,11063600
202410,101,阿富汗,33,浙江省,65729846
202410,101,阿富汗,34,安徽省,978256
202410,101,阿富汗,35,福建省,1247420
202410,101,阿富汗,36,江西省,335016
202410,101,阿富汗,37,山东省,9241407
202410,101,阿富汗,41,河南省,191914
202410,101,阿富汗,42,湖北省,876383
202410,101,阿富汗,43,湖南省,760555
202410,101,阿富汗,44,广东省,15984563
202410,101,阿富汗,45,广西壮族自治区,42915
202410,101,阿富汗,46,海南省,7025
202410,101,阿富汗,50,重庆市,831401
202410,101,阿富汗,51,四川省,128934
202410,101,阿富汗,61,陕西省,242615
202410,101,阿富汗,65,新疆维吾尔自治区,3129791
202410,102,巴林,11,北京市,2407981
202410,102,巴林,12,天津市,800226
202410,102,巴林,13,河北省,13202092
202410,102,巴林,14,山西省,1234263
202410,102,巴林,15,内蒙古自治区,553372
202410,102,巴林,21,辽宁省,2329098
202410,102,巴林,22,吉林省,1392848
202410,102,巴林,23,黑龙江省,213751
202410,102,巴林,31,上海市,4393885
202410,102,巴林,32,江苏省,11430620
202410,102,巴林,33,浙江省,14053023
202410,102,巴林,34,安徽省,1843064
202410,102,巴林,35,福建省,2758125
202410,102,巴林,36,江西省,1836661
202410,102,巴林,37,山东省,14461263
202410,102,巴林,41,河南省,3533046
202410,102,巴林,42,湖北省,613135
202410,102,巴林,43,湖南省,2444318
202410,102,巴林,44,广东省,20057500
202410,102,巴林,45,广西壮族自治区,725488
202410,102,巴林,46,海南省,237702
202410,102,巴林,50,重庆市,2297710
202410,102,巴林,51,四川省,2291458
202410,102,巴林,61,陕西省,1293827
202410,102,巴林,62,甘肃省,28799
202410,102,巴林,63,青海省,21289
202410,102,巴林,64,宁夏回族自治区,88103
202410,102,巴林,65,新疆维吾尔自治区,476609
202410,103,孟加拉国,11,北京市,114047109
202410,103,孟加拉国,12,天津市,19223819
202410,103,孟加拉国,13,河北省,36327830
202410,103,孟加拉国,14,山西省,10299350
202410,103,孟加拉国,15,内蒙古自治区,3764371
202410,103,孟加拉国,21,辽宁省,12092104
202410,103,孟加拉国,22,吉林省,2441550
202410,103,孟加拉国,23,黑龙江省,11684522
202410,103,孟加拉国,31,上海市,102420363
202410,103,孟加拉国,32,江苏省,394735409
202410,103,孟加拉国,33,浙江省,424263600
202410,103,孟加拉国,34,安徽省,23882655
202410,103,孟加拉国,35,福建省,96074493
202410,103,孟加拉国,36,江西省,15140205
202410,103,孟加拉国,37,山东省,117803055
202410,103,孟加拉国,41,河南省,14317027
202410,103,孟加拉国,42,湖北省,75249132
202410,103,孟加拉国,43,湖南省,38789287
202410,103,孟加拉国,44,广东省,309272431
202410,103,孟加拉国,45,广西壮族自治区,13753275
202410,103,孟加拉国,46,海南省,5619055
202410,103,孟加拉国,50,重庆市,21576822
202410,103,孟加拉国,51,四川省,26687849
202410,103,孟加拉国,52,贵州省,1003232
202410,103,孟加拉国,53,云南省,55595822
202410,103,孟加拉国,54,西藏自治区,35727
202410,103,孟加拉国,61,陕西省,2856640
202410,103,孟加拉国,62,甘肃省,4075519
202410,103,孟加拉国,63,青海省,186137
202410,103,孟加拉国,64,宁夏回族自治区,1179082
202410,103,孟加拉国,65,新疆维吾尔自治区,11989065
202410,104,不丹,11,北京市,30188
202410,104,不丹,13,河北省,5
202410,104,不丹,23,黑龙江省,27963
202410,104,不丹,31,上海市,2558
202410,104,不丹,32,江苏省,271182
202410,104,不丹,33,浙江省,254726
202410,104,不丹,34,安徽省,9005
202410,104,不丹,35,福建省,194941
202410,104,不丹,36,江西省,353
202410,104,不丹,37,山东省,426913
202410,104,不丹,41,河南省,21182
202410,104,不丹,44,广东省,1158427
202410,104,不丹,45,广西壮族自治区,200425
202410,104,不丹,50,重庆市,279190
202410,104,不丹,51,四川省,5
202410,105,文莱,11,北京市,2144088
202410,105,文莱,12,天津市,250395
202410,105,文莱,13,河北省,1090579
202410,105,文莱,14,山西省,34889
202410,105,文莱,15,内蒙古自治区,82336
202410,105,文莱,21,辽宁省,438811
202410,105,文莱,22,吉林省,163386
202410,105,文莱,23,黑龙江省,180819
202410,105,文莱,31,上海市,1317690
202410,105,文莱,32,江苏省,2110743
202410,105,文莱,33,浙江省,4084042
202410,105,文莱,34,安徽省,373492
202410,105,文莱,35,福建省,1170524
202410,105,文莱,36,江西省,12146
202410,105,文莱,37,山东省,2579358
202410,105,文莱,41,河南省,384235
202410,105,文莱,42,湖北省,782325
202410,105,文莱,43,湖南省,951407
202410,105,文莱,44,广东省,5708795
202410,105,文莱,45,广西壮族自治区,59279
202410,105,文莱,46,海南省,8635
202410,105,文莱,50,重庆市,87449
202410,105,文莱,51,四川省,1683811
202410,105,文莱,53,云南省,348008
202410,105,文莱,61,陕西省,936965
202410,105,文莱,62,甘肃省,9080
202410,105,文莱,65,新疆维吾尔自治区,1308570
202410,106,缅甸,11,北京市,28105721
202410,106,缅甸,12,天津市,5323322
202410,106,缅甸,13,河北省,5062715
202410,106,缅甸,14,山西省,10172
202410,106,缅甸,15,内蒙古自治区,474603
202410,106,缅甸,21,辽宁省,16878980
202410,106,缅甸,22,吉林省,5104812
202410,106,缅甸,23,黑龙江省,58891
202410,106,缅甸,31,上海市,28279477
202410,106,缅甸,32,江苏省,119901635
202410,106,缅甸,33,浙江省,68238821
202410,106,缅甸,34,安徽省,15282862
202410,106,缅甸,35,福建省,19261724
202410,106,缅甸,36,江西省,6374282
202410,106,缅甸,37,山东省,52104114
202410,106,缅甸,41,河南省,6985337
202410,106,缅甸,42,湖北省,6823226
202410,106,缅甸,43,湖南省,2972837
202410,106,缅甸,44,广东省,107155232
202410,106,缅甸,45,广西壮族自治区,2779454
202410,106,缅甸,46,海南省,1083069
202410,106,缅甸,50,重庆市,11520766
202410,106,缅甸,51,四川省,5747928
202410,106,缅甸,52,贵州省,585017
202410,106,缅甸,53,云南省,131651864
202410,106,缅甸,61,陕西省,2418339
202410,106,缅甸,62,甘肃省,69265
202410,106,缅甸,64,宁夏回族自治区,303628
202410,106,缅甸,65,新疆维吾尔自治区,528999
202410,107,柬埔寨,11,北京市,21858663
202410,107,柬埔寨,12,天津市,9273563
202410,107,柬埔寨,13,河北省,10478418
202410,107,柬埔寨,14,山西省,1288194
202410,107,柬埔寨,15,内蒙古自治区,784983
202410,107,柬埔寨,21,辽宁省,8098811
202410,107,柬埔寨,22,吉林省,775702
202410,107,柬埔寨,23,黑龙江省,1021599
202410,107,柬埔寨,31,上海市,59243624
202410,107,柬埔寨,32,江苏省,213007309
202410,107,柬埔寨,33,浙江省,184997918
202410,107,柬埔寨,34,安徽省,13635386
202410,107,柬埔寨,35,福建省,71977863
202410,107,柬埔寨,36,江西省,17151213
202410,107,柬埔寨,37,山东省,95543215
202410,107,柬埔寨,41,河南省,7503943
202410,107,柬埔寨,42,湖北省,21503007
202410,107,柬埔寨,43,湖南省,35102103
202410,107,柬埔寨,44,广东省,232976092
202410,107,柬埔寨,45,广西壮族自治区,85969878
202410,107,柬埔寨,46,海南省,3309562
202410,107,柬埔寨,50,重庆市,11730846
202410,107,柬埔寨,51,四川省,12457279
202410,107,柬埔寨,52,贵州省,804107
202410,107,柬埔寨,53,云南省,4652651
202410,107,柬埔寨,61,陕西省,1233780
202410,107,柬埔寨,62,甘肃省,168602
202410,107,柬埔寨,64,宁夏回族自治区,186697
202410,107,柬埔寨,65,新疆维吾尔自治区,4861181
202410,108,塞浦路斯,11,北京市,2912275
202410,108,塞浦路斯,12,天津市,922728
202410,108,塞浦路斯,13,河北省,846942
202410,108,塞浦路斯,14,山西省,75995
202410,108,塞浦路斯,15,内蒙古自治区,14098
202410,108,塞浦路斯,21,辽宁省,537789
202410,108,塞浦路斯,22,吉林省,98974
202410,108,塞浦路斯,23,黑龙江省,1102526
202410,108,塞浦路斯,31,上海市,10287744
202410,108,塞浦路斯,32,江苏省,42105906
202410,108,塞浦路斯,33,浙江省,19729761
202410,108,塞浦路斯,34,安徽省,896916
202410,108,塞浦路斯,35,福建省,2778583
202410,108,塞浦路斯,36,江西省,156119
202410,108,塞浦路斯,37,山东省,4653665
202410,108,塞浦路斯,41,河南省,699549
202410,108,塞浦路斯,42,湖北省,310784
202410,108,塞浦路斯,43,湖南省,381586
202410,108,塞浦路斯,44,广东省,16650044
202410,108,塞浦路斯,45,广西壮族自治区,68812
202410,108,塞浦路斯,46,海南省,2452
202410,108,塞浦路斯,50,重庆市,691749
202410,108,塞浦路斯,51,四川省,213356
202410,108,塞浦路斯,53,云南省,8722
202410,108,塞浦路斯,61,陕西省,13885
202410,108,塞浦路斯,64,宁夏回族自治区,14535
202410,108,塞浦路斯,65,新疆维吾尔自治区,2657
202410,109,朝鲜,11,北京市,1680396
202410,109,朝鲜,15,内蒙古自治区,885914
202410,109,朝鲜,21,辽宁省,75207648
202410,109,朝鲜,22,吉林省,26265120
202410,109,朝鲜,31,上海市,1005001
202410,109,朝鲜,32,江苏省,3281976
202410,109,朝鲜,33,浙江省,5049807
202410,109,朝鲜,35,福建省,168638
202410,109,朝鲜,37,山东省,15244252
202410,109,朝鲜,42,湖北省,87762
202410,109,朝鲜,43,湖南省,7135
202410,109,朝鲜,44,广东省,63448583
202410,109,朝鲜,51,四川省,13914
202410,110,中国香港,11,北京市,723616047
202410,110,中国香港,12,天津市,151099990
202410,110,中国香港,13,河北省,25291526
202410,110,中国香港,14,山西省,11541945
202410,110,中国香港,15,内蒙古自治区,20620433
202410,110,中国香港,21,辽宁省,138204593
202410,110,中国香港,22,吉林省,3749713
202410,110,中国香港,23,黑龙江省,3343760
