数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,美元
202012,101,阿富汗,11,北京市,14034,9,16636
202012,101,阿富汗,12,天津市,97448,0,205095
202012,101,阿富汗,21,辽宁省,0,1,95
202012,101,阿富汗,31,上海市,69961,2,810468
202012,101,阿富汗,32,江苏省,843592,23,9429492
202012,101,阿富汗,33,浙江省,925049,240,10666766
202012,101,阿富汗,37,山东省,118502,4,144053
202012,101,阿富汗,44,广东省,5474,51,184563
202012,101,阿富汗,51,四川省,33,6,1467
202012,101,阿富汗,65,新疆维吾尔自治区,50317,0,105665
202012,102,巴林,11,北京市,1209085,22,136118
202012,102,巴林,12,天津市,80350,0,45937
202012,102,巴林,31,上海市,5560427,278107,2725182
202012,102,巴林,32,江苏省,36555,0,81922
202012,102,巴林,33,浙江省,30307,1797,195241
202012,102,巴林,35,福建省,1,0,7
202012,102,巴林,36,江西省,2,0,191
202012,102,巴林,37,山东省,5,1,516
202012,102,巴林,44,广东省,1000,573,7762
202012,102,巴林,50,重庆市,909275,0,567633
202012,102,巴林,51,四川省,9,0,227
202012,103,孟加拉国,11,北京市,5770448,402291,8049316
202012,103,孟加拉国,12,天津市,100591,395,55997
202012,103,孟加拉国,13,河北省,2719493,1,4666555
202012,103,孟加拉国,14,山西省,3,3,315
202012,103,孟加拉国,21,辽宁省,1266899,161,1392891
202012,103,孟加拉国,22,吉林省,23044,0,20279
202012,103,孟加拉国,31,上海市,7062732,1206910,22497050
202012,103,孟加拉国,32,江苏省,2092688,236194,8055018
202012,103,孟加拉国,33,浙江省,2904515,59767,4368580
202012,103,孟加拉国,34,安徽省,572113,0,532957
202012,103,孟加拉国,35,福建省,1156574,26474,766195
202012,103,孟加拉国,36,江西省,76334,0,759592
202012,103,孟加拉国,37,山东省,26007442,6689,13459928
202012,103,孟加拉国,41,河南省,986377,110270,4590905
202012,103,孟加拉国,42,湖北省,141965,32,114545
202012,103,孟加拉国,43,湖南省,525346,0,298974
202012,103,孟加拉国,44,广东省,2942461,18137443,11454545
202012,103,孟加拉国,45,广西壮族自治区,312019,19,319286
202012,103,孟加拉国,46,海南省,115,25,8162
202012,103,孟加拉国,50,重庆市,3748,3330,232659
202012,103,孟加拉国,51,四川省,254164,50,306567
202012,103,孟加拉国,52,贵州省,26000,0,22360
202012,103,孟加拉国,53,云南省,21257,179,24517
202012,103,孟加拉国,61,陕西省,31758,0,33321
202012,103,孟加拉国,65,新疆维吾尔自治区,106260,0,219838
202012,104,不丹,11,北京市,1000,41,1750
202012,104,不丹,31,上海市,40,3,76
202012,104,不丹,32,江苏省,15,0,211
202012,104,不丹,44,广东省,28,0,780
202012,105,文莱,11,北京市,67595971,1,20197584
202012,105,文莱,31,上海市,73461344,639528,21879479
202012,105,文莱,32,江苏省,3123000,0,1848097
202012,105,文莱,33,浙江省,107434464,2000,64592618
202012,105,文莱,35,福建省,499051,0,82130
202012,105,文莱,37,山东省,52522497,0,21117046
202012,105,文莱,41,河南省,1,0,7
202012,105,文莱,44,广东省,6316921,9,2849761
202012,105,文莱,46,海南省,11679556,0,6325317
202012,105,文莱,51,四川省,0,0,40
202012,106,缅甸,11,北京市,55297888,14410,78271639
202012,106,缅甸,12,天津市,447629,5936,332608
202012,106,缅甸,13,河北省,36952,67200,100060
202012,106,缅甸,14,山西省,1,1,65
202012,106,缅甸,21,辽宁省,1198651,4088,1301467
202012,106,缅甸,23,黑龙江省,604800,0,931712
202012,106,缅甸,31,上海市,6594046,207212,15348780
202012,106,缅甸,32,江苏省,1109452,80462,3297018
202012,106,缅甸,33,浙江省,5339021,115794,4046836
202012,106,缅甸,34,安徽省,5004756,26453,2092382
202012,106,缅甸,35,福建省,15498524,85796,7726234
202012,106,缅甸,36,江西省,1727376,1780,9171074
202012,106,缅甸,37,山东省,7051522,34373,7279615
202012,106,缅甸,41,河南省,20099,12311,884657
202012,106,缅甸,42,湖北省,534001,1,180232
202012,106,缅甸,43,湖南省,3273774,3,52977020
202012,106,缅甸,44,广东省,78445904,6042881,39304542
202012,106,缅甸,45,广西壮族自治区,5780570,0,1742118
202012,106,缅甸,46,海南省,1089290,414,1820038
202012,106,缅甸,50,重庆市,2361945,0,2306481
202012,106,缅甸,51,四川省,82826,79,29789
202012,106,缅甸,52,贵州省,228880,0,144156
202012,106,缅甸,53,云南省,1606986273,212346,525656515
202012,106,缅甸,61,陕西省,51,80,5875
202012,107,柬埔寨,11,北京市,93719236,396076,59234745
202012,107,柬埔寨,12,天津市,2414349,3062,1420944
202012,107,柬埔寨,13,河北省,246304,363527,8696638
202012,107,柬埔寨,14,山西省,12,8,819
202012,107,柬埔寨,21,辽宁省,5234880,18254,2672977
202012,107,柬埔寨,23,黑龙江省,810018,63,349095
202012,107,柬埔寨,31,上海市,30678599,2221819,40204364
202012,107,柬埔寨,32,江苏省,3975979,288997,10137278
202012,107,柬埔寨,33,浙江省,2087329,241127,9224678
202012,107,柬埔寨,34,安徽省,79547,1,241533
202012,107,柬埔寨,35,福建省,31685208,86588,4718707
