数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202203,101,阿富汗,11,北京市,1091850
202203,101,阿富汗,12,天津市,271181
202203,101,阿富汗,13,河北省,373059
202203,101,阿富汗,15,内蒙古自治区,118800
202203,101,阿富汗,23,黑龙江省,38760
202203,101,阿富汗,31,上海市,62244
202203,101,阿富汗,32,江苏省,3294959
202203,101,阿富汗,33,浙江省,8771430
202203,101,阿富汗,34,安徽省,295122
202203,101,阿富汗,35,福建省,50894
202203,101,阿富汗,36,江西省,201017
202203,101,阿富汗,37,山东省,9273759
202203,101,阿富汗,41,河南省,131877
202203,101,阿富汗,42,湖北省,428876
202203,101,阿富汗,43,湖南省,2053957
202203,101,阿富汗,44,广东省,4526726
202203,101,阿富汗,45,广西壮族自治区,497328
202203,101,阿富汗,50,重庆市,147545
202203,101,阿富汗,52,贵州省,18
202203,101,阿富汗,61,陕西省,179311
202203,102,巴林,11,北京市,2180694
202203,102,巴林,12,天津市,664756
202203,102,巴林,13,河北省,16495561
202203,102,巴林,14,山西省,625120
202203,102,巴林,15,内蒙古自治区,115064
202203,102,巴林,21,辽宁省,2317729
202203,102,巴林,22,吉林省,71392
202203,102,巴林,31,上海市,14970848
202203,102,巴林,32,江苏省,11891090
202203,102,巴林,33,浙江省,13242621
202203,102,巴林,34,安徽省,3697906
202203,102,巴林,35,福建省,1798797
202203,102,巴林,36,江西省,5990329
202203,102,巴林,37,山东省,31845994
202203,102,巴林,41,河南省,5733312
202203,102,巴林,42,湖北省,3310292
202203,102,巴林,43,湖南省,2009045
202203,102,巴林,44,广东省,54169701
202203,102,巴林,45,广西壮族自治区,402637
202203,102,巴林,50,重庆市,1140878
202203,102,巴林,51,四川省,1112183
202203,102,巴林,52,贵州省,18
202203,102,巴林,53,云南省,113
202203,102,巴林,61,陕西省,208528
202203,102,巴林,63,青海省,4485
202203,103,孟加拉国,11,北京市,93653541
202203,103,孟加拉国,12,天津市,26867717
202203,103,孟加拉国,13,河北省,48908789
202203,103,孟加拉国,14,山西省,7703578
202203,103,孟加拉国,15,内蒙古自治区,4707607
202203,103,孟加拉国,21,辽宁省,17295858
202203,103,孟加拉国,22,吉林省,1236566
202203,103,孟加拉国,23,黑龙江省,1715527
202203,103,孟加拉国,31,上海市,123839464
202203,103,孟加拉国,32,江苏省,433851645
202203,103,孟加拉国,33,浙江省,446925263
202203,103,孟加拉国,34,安徽省,34901253
202203,103,孟加拉国,35,福建省,88339918
202203,103,孟加拉国,36,江西省,47195633
202203,103,孟加拉国,37,山东省,183619571
202203,103,孟加拉国,41,河南省,19385609
202203,103,孟加拉国,42,湖北省,42719229
202203,103,孟加拉国,43,湖南省,33201901
202203,103,孟加拉国,44,广东省,387777979
202203,103,孟加拉国,45,广西壮族自治区,8726113
202203,103,孟加拉国,46,海南省,44756714
202203,103,孟加拉国,50,重庆市,32520294
202203,103,孟加拉国,51,四川省,44741693
202203,103,孟加拉国,52,贵州省,983887
202203,103,孟加拉国,53,云南省,77023945
202203,103,孟加拉国,54,西藏自治区,28575
202203,103,孟加拉国,61,陕西省,19951648
202203,103,孟加拉国,62,甘肃省,2629518
202203,103,孟加拉国,64,宁夏回族自治区,887827
202203,103,孟加拉国,65,新疆维吾尔自治区,3039034
202203,104,不丹,11,北京市,918
202203,104,不丹,13,河北省,25
202203,104,不丹,21,辽宁省,6
202203,104,不丹,31,上海市,2094
202203,104,不丹,32,江苏省,459
202203,104,不丹,33,浙江省,1229
202203,104,不丹,34,安徽省,275
202203,104,不丹,35,福建省,394
202203,104,不丹,36,江西省,2650
202203,104,不丹,37,山东省,138678
202203,104,不丹,41,河南省,476
202203,104,不丹,42,湖北省,514
202203,104,不丹,43,湖南省,3625923
202203,104,不丹,44,广东省,1509052
202203,104,不丹,50,重庆市,7932
202203,104,不丹,51,四川省,113
202203,105,文莱,11,北京市,39897277
202203,105,文莱,12,天津市,729199
202203,105,文莱,13,河北省,919345
202203,105,文莱,14,山西省,146963
202203,105,文莱,15,内蒙古自治区,11457
202203,105,文莱,21,辽宁省,733755
202203,105,文莱,22,吉林省,33696
202203,105,文莱,23,黑龙江省,80800
202203,105,文莱,31,上海市,2142304
202203,105,文莱,32,江苏省,6019299
202203,105,文莱,33,浙江省,13625081
202203,105,文莱,34,安徽省,1042639
202203,105,文莱,35,福建省,1976983
202203,105,文莱,36,江西省,2260835
202203,105,文莱,37,山东省,4507438
202203,105,文莱,41,河南省,321245
202203,105,文莱,42,湖北省,1897807
202203,105,文莱,43,湖南省,1642925
202203,105,文莱,44,广东省,11169983
202203,105,文莱,45,广西壮族自治区,79476
202203,105,文莱,46,海南省,10038
202203,105,文莱,50,重庆市,14608
202203,105,文莱,51,四川省,1704342
202203,105,文莱,53,云南省,47245
202203,105,文莱,61,陕西省,622476
202203,106,缅甸,11,北京市,44233168
202203,106,缅甸,12,天津市,14578810
202203,106,缅甸,13,河北省,28187728
202203,106,缅甸,14,山西省,1195253
202203,106,缅甸,15,内蒙古自治区,6364617
202203,106,缅甸,21,辽宁省,11780172
202203,106,缅甸,22,吉林省,586330
202203,106,缅甸,23,黑龙江省,2510951
202203,106,缅甸,31,上海市,32428242
