数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,美元
202107,101,阿富汗,11,北京市,148555,22141,487813
202107,101,阿富汗,12,天津市,3559,0,61238
202107,101,阿富汗,13,河北省,140112,288383,754879
202107,101,阿富汗,15,内蒙古自治区,372000,0,386260
202107,101,阿富汗,21,辽宁省,218060,8423,191397
202107,101,阿富汗,31,上海市,39447,814882,470771
202107,101,阿富汗,32,江苏省,1221017,1223380,2779427
202107,101,阿富汗,33,浙江省,11890722,3408163,13468125
202107,101,阿富汗,34,安徽省,29523,3380,84663
202107,101,阿富汗,35,福建省,8573,142300,556761
202107,101,阿富汗,36,江西省,101352,52722,560497
202107,101,阿富汗,37,山东省,5462516,125276,6172371
202107,101,阿富汗,41,河南省,76643,9,96889
202107,101,阿富汗,42,湖北省,235897,45447,1076716
202107,101,阿富汗,43,湖南省,4319659,27174,405188
202107,101,阿富汗,44,广东省,485334,896468,4658596
202107,101,阿富汗,45,广西壮族自治区,79210,136258,767830
202107,101,阿富汗,50,重庆市,1716916,171819,663630
202107,101,阿富汗,51,四川省,84449,29460,648518
202107,101,阿富汗,53,云南省,50619,23235,724242
202107,101,阿富汗,61,陕西省,1474,4245,31620
202107,101,阿富汗,65,新疆维吾尔自治区,40610,43930,463315
202107,102,巴林,11,北京市,203858,66380,8856046
202107,102,巴林,12,天津市,7737397,108229,8335898
202107,102,巴林,13,河北省,24858216,2270107,19946960
202107,102,巴林,14,山西省,15,4,331
202107,102,巴林,21,辽宁省,230623,126,868180
202107,102,巴林,23,黑龙江省,11005793,0,3297402
202107,102,巴林,31,上海市,1807226,411425,7414454
202107,102,巴林,32,江苏省,3455352,3557435,11070166
202107,102,巴林,33,浙江省,3648392,7946744,13216397
202107,102,巴林,34,安徽省,1447407,5654979,3407040
202107,102,巴林,35,福建省,574841,121199,1551496
202107,102,巴林,36,江西省,172284,8523,845851
202107,102,巴林,37,山东省,4393552,1872808,10167676
202107,102,巴林,41,河南省,355674,41867,3063863
202107,102,巴林,42,湖北省,761986,450205,3326922
202107,102,巴林,43,湖南省,869092,179412,2654005
202107,102,巴林,44,广东省,4529574,2525332,17213696
202107,102,巴林,45,广西壮族自治区,170093,55345,667666
202107,102,巴林,46,海南省,21035,0,18026
202107,102,巴林,50,重庆市,528316,88938,2922410
202107,102,巴林,51,四川省,8805781,469252,11345881
202107,102,巴林,52,贵州省,27150,77,10807
202107,102,巴林,53,云南省,939,1395,15858
202107,102,巴林,61,陕西省,2119,166,33952
202107,102,巴林,65,新疆维吾尔自治区,23820,148,140378
202107,103,孟加拉国,11,北京市,152202665,161084121,167510856
202107,103,孟加拉国,12,天津市,9157501,1160235,15690584
202107,103,孟加拉国,13,河北省,26352099,3191126,35697054
202107,103,孟加拉国,14,山西省,3086078,429232,5101022
202107,103,孟加拉国,15,内蒙古自治区,61382467,7418,33727542
202107,103,孟加拉国,21,辽宁省,5786695,104780,5845388
202107,103,孟加拉国,22,吉林省,581878,78063,1756703
202107,103,孟加拉国,23,黑龙江省,358318,27470,1534619
202107,103,孟加拉国,31,上海市,44184440,6751361,74470365
202107,103,孟加拉国,32,江苏省,607487281,43400331,328717087
202107,103,孟加拉国,33,浙江省,176851626,43647982,301340231
202107,103,孟加拉国,34,安徽省,19807919,62471983,30613733
202107,103,孟加拉国,35,福建省,64560807,14801502,86146482
202107,103,孟加拉国,36,江西省,8985623,3005099,17877630
202107,103,孟加拉国,37,山东省,75235802,11221683,149552681
202107,103,孟加拉国,41,河南省,2801981,913117,12926678
202107,103,孟加拉国,42,湖北省,87827316,1771465,69042862
202107,103,孟加拉国,43,湖南省,13198361,1939334,29782872
202107,103,孟加拉国,44,广东省,158498805,41828615,270689556
202107,103,孟加拉国,45,广西壮族自治区,1159780,257102,3141380
202107,103,孟加拉国,46,海南省,2390347,176,2166460
202107,103,孟加拉国,50,重庆市,11448007,730338,20613653
202107,103,孟加拉国,51,四川省,13620909,2425476,29951515
202107,103,孟加拉国,52,贵州省,823610,6,509826
202107,103,孟加拉国,53,云南省,1461006,103138,5697559
202107,103,孟加拉国,61,陕西省,5906135,7134117,38572565
202107,103,孟加拉国,62,甘肃省,739094,0,1334297
202107,103,孟加拉国,64,宁夏回族自治区,21907,0,244968
202107,103,孟加拉国,65,新疆维吾尔自治区,1229808,857,1771407
202107,104,不丹,11,北京市,94,1130,2377
202107,104,不丹,12,天津市,6,2,86
202107,104,不丹,13,河北省,3,6,35
202107,104,不丹,14,山西省,2,1,82
202107,104,不丹,31,上海市,1539,269735,133888
202107,104,不丹,32,江苏省,5188,6440,176759
202107,104,不丹,33,浙江省,1921,816,25639
202107,104,不丹,34,安徽省,70128,572,2934
202107,104,不丹,35,福建省,2678,161,20729
202107,104,不丹,36,江西省,87,206,1260
202107,104,不丹,37,山东省,42,299,11949
202107,104,不丹,41,河南省,479,39651,47892
202107,104,不丹,42,湖北省,84,193,1158
202107,104,不丹,43,湖南省,33,90,540
202107,104,不丹,44,广东省,23472,57691,3093705
202107,104,不丹,50,重庆市,1,1,5
202107,104,不丹,51,四川省,5,11,64
202107,105,文莱,11,北京市,4647,3552,112998
202107,105,文莱,12,天津市,387767,35920,489259
202107,105,文莱,13,河北省,290391,79125,769337
202107,105,文莱,14,山西省,14150,0,38946
202107,105,文莱,21,辽宁省,68890,15924,302903
202107,105,文莱,23,黑龙江省,44000,0,9640
202107,105,文莱,31,上海市,229681,134866,1813125
202107,105,文莱,32,江苏省,1039159,176482,3579166
202107,105,文莱,33,浙江省,1491316,788210,5631337
202107,105,文莱,34,安徽省,115229,157044,698251
202107,105,文莱,35,福建省,891429,192787,1628551
202107,105,文莱,36,江西省,99075,46679,1448434
202107,105,文莱,37,山东省,2336874,213230,4956963
202107,105,文莱,41,河南省,98004,17856,405883
202107,105,文莱,42,湖北省,104786,9963,472552
202107,105,文莱,43,湖南省,417491,16363,2575763
202107,105,文莱,44,广东省,3693833,1603104,15778783
202107,105,文莱,45,广西壮族自治区,26544,111,60557
202107,105,文莱,50,重庆市,16279,12414,92395
202107,105,文莱,51,四川省,69522,8761,705682
202107,105,文莱,53,云南省,141946,9843,623654
202107,105,文莱,65,新疆维吾尔自治区,130000,0,40300
202107,106,缅甸,11,北京市,313663845,17323791,166771406
202107,106,缅甸,12,天津市,5816577,12791113,8031278
202107,106,缅甸,13,河北省,4540202,625112,8502895
202107,106,缅甸,14,山西省,768066,25380,3301349
202107,106,缅甸,15,内蒙古自治区,1426937,28455,2245403
202107,106,缅甸,21,辽宁省,3450807,563059,8762267
202107,106,缅甸,22,吉林省,150005,9975,401430
202107,106,缅甸,23,黑龙江省,533061,0,599753
202107,106,缅甸,31,上海市,16010337,2372553,27987529
202107,106,缅甸,32,江苏省,81619882,63299711,124735263
202107,106,缅甸,33,浙江省,66863994,59491720,98788267
202107,106,缅甸,34,安徽省,3585550,35874047,14211129
202107,106,缅甸,35,福建省,30736127,7896944,41560159
202107,106,缅甸,36,江西省,1613232,15761102,8419121
202107,106,缅甸,37,山东省,47687004,7106772,72453820
202107,106,缅甸,41,河南省,977493,1206873,7710959
202107,106,缅甸,42,湖北省,13949237,9112033,19040151
202107,106,缅甸,43,湖南省,13667433,11984261,20392264
202107,106,缅甸,44,广东省,59071181,247817067,126333079
202107,106,缅甸,45,广西壮族自治区,1091656,474788,2250133
202107,106,缅甸,46,海南省,4216873,14763,4192107
202107,106,缅甸,50,重庆市,943495,3622540,6923374
202107,106,缅甸,51,四川省,8460716,32812794,13285291
202107,106,缅甸,52,贵州省,317304,18331,3549390
202107,106,缅甸,53,云南省,264948765,31382154,106532755
202107,106,缅甸,61,陕西省,1105743,129882,2254343
202107,106,缅甸,62,甘肃省,66240,0,79481
202107,106,缅甸,64,宁夏回族自治区,20000,0,55500
202107,106,缅甸,65,新疆维吾尔自治区,292000,0,402757
202107,107,柬埔寨,11,北京市,9898154,1205317,95564551
202107,107,柬埔寨,12,天津市,2846393,1022787,8564903
202107,107,柬埔寨,13,河北省,5632414,268785,12692218
202107,107,柬埔寨,14,山西省,1197868,40754,1020107
202107,107,柬埔寨,15,内蒙古自治区,200429,63,2054145
202107,107,柬埔寨,21,辽宁省,2315831,90657,4061389
202107,107,柬埔寨,22,吉林省,24,35644,90989
202107,107,柬埔寨,23,黑龙江省,638025,63,1410486
202107,107,柬埔寨,31,上海市,18478494,7595870,43771312
202107,107,柬埔寨,32,江苏省,84875769,21706541,175837421
202107,107,柬埔寨,33,浙江省,76965078,21352815,147325068
202107,107,柬埔寨,34,安徽省,8399211,1956602,11991170
202107,107,柬埔寨,35,福建省,51852513,17198420,71560376
202107,107,柬埔寨,36,江西省,10002283,3143972,24818266
202107,107,柬埔寨,37,山东省,31302059,7209094,71821893
202107,107,柬埔寨,41,河南省,2847099,273555,8949617
202107,107,柬埔寨,42,湖北省,5346715,1507598,18009522
202107,107,柬埔寨,43,湖南省,8814308,4144181,36198226
202107,107,柬埔寨,44,广东省,244906415,651338020,226330117
202107,107,柬埔寨,45,广西壮族自治区,53474764,383823,7309629
202107,107,柬埔寨,46,海南省,19042016,22167177,11466622
202107,107,柬埔寨,50,重庆市,14884977,714601,9242012
202107,107,柬埔寨,51,四川省,3643643,2024434,10233568
202107,107,柬埔寨,52,贵州省,157706,2031,250078
202107,107,柬埔寨,53,云南省,825933,339648,2457163
202107,107,柬埔寨,61,陕西省,222974,237224,2085469
202107,107,柬埔寨,63,青海省,1,1,82
202107,107,柬埔寨,64,宁夏回族自治区,2764,335,49651
202107,107,柬埔寨,65,新疆维吾尔自治区,270808,18621,646761
202107,108,塞浦路斯,11,北京市,5567892,5627291,4255589
202107,108,塞浦路斯,12,天津市,1594814,1632401,1102950
202107,108,塞浦路斯,13,河北省,257541,859542,515313
202107,108,塞浦路斯,14,山西省,51689,3,59504
202107,108,塞浦路斯,15,内蒙古自治区,22,2,164
202107,108,塞浦路斯,21,辽宁省,13891,1013,86992
202107,108,塞浦路斯,22,吉林省,134,0,3390
202107,108,塞浦路斯,23,黑龙江省,300,1350,79041
202107,108,塞浦路斯,31,上海市,739941,190977,3452730
202107,108,塞浦路斯,32,江苏省,2883285,705535,5906174
202107,108,塞浦路斯,33,浙江省,17124761,15603480,18991182
202107,108,塞浦路斯,34,安徽省,689435,863669,503489
202107,108,塞浦路斯,35,福建省,306446,113948,2446972
202107,108,塞浦路斯,36,江西省,12184,705402,152373
202107,108,塞浦路斯,37,山东省,818646,239439,2734346
202107,108,塞浦路斯,41,河南省,38220,48473,323930
202107,108,塞浦路斯,42,湖北省,1020601,1253255,1157032
202107,108,塞浦路斯,43,湖南省,108728,7136,862272
