数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,美元
202106,101,阿富汗,11,北京市,52384,13,34694
202106,101,阿富汗,12,天津市,39960,0,119880
202106,101,阿富汗,21,辽宁省,0,1,151
202106,101,阿富汗,31,上海市,522,157,20545
202106,101,阿富汗,32,江苏省,42,0,1319
202106,101,阿富汗,33,浙江省,30148,691,35523
202106,101,阿富汗,35,福建省,1,0,20
202106,101,阿富汗,37,山东省,39169,0,66610
202106,101,阿富汗,44,广东省,5124,108,81390
202106,101,阿富汗,50,重庆市,97,29,1289
202106,101,阿富汗,51,四川省,32,1,1882
202106,102,巴林,11,北京市,28756590,38083483,17051156
202106,102,巴林,12,天津市,213060,239905,209808
202106,102,巴林,31,上海市,5223095,223697,12271313
202106,102,巴林,32,江苏省,21689,0,43990
202106,102,巴林,33,浙江省,42345473,0,30596578
202106,102,巴林,35,福建省,8,0,137
202106,102,巴林,36,江西省,3,0,23
202106,102,巴林,37,山东省,27,0,531
202106,102,巴林,44,广东省,501218,4969,1316479
202106,103,孟加拉国,11,北京市,2576997,454697,5309073
202106,103,孟加拉国,12,天津市,24376900,2187,21021534
202106,103,孟加拉国,13,河北省,1109542,0,2689999
202106,103,孟加拉国,14,山西省,6,1,1119
202106,103,孟加拉国,21,辽宁省,380189,146,401363
202106,103,孟加拉国,31,上海市,6514203,1207388,24210584
202106,103,孟加拉国,32,江苏省,2476448,68169,4581849
202106,103,孟加拉国,33,浙江省,2674996,42106,5714221
202106,103,孟加拉国,34,安徽省,190973,0,172751
202106,103,孟加拉国,35,福建省,1151269,14197,1114289
202106,103,孟加拉国,36,江西省,368566,0,1162818
202106,103,孟加拉国,37,山东省,770744,8575,1451498
202106,103,孟加拉国,41,河南省,274393,46610,3179429
202106,103,孟加拉国,42,湖北省,153593,26659,112163
202106,103,孟加拉国,43,湖南省,791108,5,580680
202106,103,孟加拉国,44,广东省,2886541,12236829,9090768
202106,103,孟加拉国,45,广西壮族自治区,373791,0,487935
202106,103,孟加拉国,46,海南省,873,475,83810
202106,103,孟加拉国,51,四川省,197849,12,354925
202106,103,孟加拉国,52,贵州省,52000,0,75400
202106,103,孟加拉国,53,云南省,5004,0,42734
202106,103,孟加拉国,61,陕西省,45104,194,81254
202106,103,孟加拉国,65,新疆维吾尔自治区,97440,0,310550
202106,104,不丹,31,上海市,3,0,294
202106,104,不丹,32,江苏省,17,0,365
202106,104,不丹,33,浙江省,0,1,8
202106,104,不丹,37,山东省,1,0,20
202106,104,不丹,44,广东省,1,2,57
202106,104,不丹,51,四川省,1,0,20
202106,105,文莱,11,北京市,19,0,1030
202106,105,文莱,13,河北省,2829422,0,1754241
202106,105,文莱,21,辽宁省,76410484,0,68406003
202106,105,文莱,31,上海市,9041,830000,64662
202106,105,文莱,32,江苏省,20153312,0,13126523
202106,105,文莱,33,浙江省,51226098,40,46191244
202106,105,文莱,35,福建省,2225267,0,2597617
202106,105,文莱,41,河南省,7,1,50
202106,105,文莱,44,广东省,36158637,62,36526802
