数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202403,101,阿富汗,11,北京市,12363
202403,101,阿富汗,12,天津市,92846
202403,101,阿富汗,13,河北省,2784943
202403,101,阿富汗,14,山西省,42170
202403,101,阿富汗,21,辽宁省,6566441
202403,101,阿富汗,22,吉林省,31000
202403,101,阿富汗,23,黑龙江省,29778
202403,101,阿富汗,31,上海市,2914714
202403,101,阿富汗,32,江苏省,6558504
202403,101,阿富汗,33,浙江省,51167921
202403,101,阿富汗,34,安徽省,1627484
202403,101,阿富汗,35,福建省,766341
202403,101,阿富汗,36,江西省,263877
202403,101,阿富汗,37,山东省,10513537
202403,101,阿富汗,41,河南省,106668
202403,101,阿富汗,42,湖北省,2060716
202403,101,阿富汗,43,湖南省,544558
202403,101,阿富汗,44,广东省,25307408
202403,101,阿富汗,45,广西壮族自治区,10263
202403,101,阿富汗,46,海南省,25543
202403,101,阿富汗,50,重庆市,63194
202403,101,阿富汗,51,四川省,313437
202403,101,阿富汗,53,云南省,34830
202403,101,阿富汗,61,陕西省,1951733
202403,101,阿富汗,65,新疆维吾尔自治区,34003
202403,102,巴林,11,北京市,1474525
202403,102,巴林,12,天津市,1590896
202403,102,巴林,13,河北省,10563860
202403,102,巴林,14,山西省,38303
202403,102,巴林,15,内蒙古自治区,49322
202403,102,巴林,21,辽宁省,1385263
202403,102,巴林,22,吉林省,21777
202403,102,巴林,23,黑龙江省,783616
202403,102,巴林,31,上海市,7611957
202403,102,巴林,32,江苏省,10126300
202403,102,巴林,33,浙江省,13812435
202403,102,巴林,34,安徽省,4620752
202403,102,巴林,35,福建省,780163
202403,102,巴林,36,江西省,1245819
202403,102,巴林,37,山东省,12221288
202403,102,巴林,41,河南省,5110509
202403,102,巴林,42,湖北省,648637
202403,102,巴林,43,湖南省,2640564
202403,102,巴林,44,广东省,20233209
202403,102,巴林,45,广西壮族自治区,358920
202403,102,巴林,46,海南省,75756
202403,102,巴林,50,重庆市,1369197
202403,102,巴林,51,四川省,1867436
202403,102,巴林,52,贵州省,374833
202403,102,巴林,61,陕西省,512000
202403,102,巴林,64,宁夏回族自治区,94621
202403,102,巴林,65,新疆维吾尔自治区,490315
202403,103,孟加拉国,11,北京市,262154837
202403,103,孟加拉国,12,天津市,14870234
202403,103,孟加拉国,13,河北省,40990580
202403,103,孟加拉国,14,山西省,7021946
202403,103,孟加拉国,15,内蒙古自治区,2634416
202403,103,孟加拉国,21,辽宁省,18898676
202403,103,孟加拉国,22,吉林省,1319067
202403,103,孟加拉国,23,黑龙江省,7716359
202403,103,孟加拉国,31,上海市,87435339
202403,103,孟加拉国,32,江苏省,326918603
202403,103,孟加拉国,33,浙江省,391253116
202403,103,孟加拉国,34,安徽省,19473855
202403,103,孟加拉国,35,福建省,78662829
202403,103,孟加拉国,36,江西省,12902955
202403,103,孟加拉国,37,山东省,203359019
202403,103,孟加拉国,41,河南省,14574385
202403,103,孟加拉国,42,湖北省,29086663
202403,103,孟加拉国,43,湖南省,33406564
202403,103,孟加拉国,44,广东省,314750263
202403,103,孟加拉国,45,广西壮族自治区,18471945
202403,103,孟加拉国,46,海南省,4930791
202403,103,孟加拉国,50,重庆市,10184328
202403,103,孟加拉国,51,四川省,33160352
202403,103,孟加拉国,52,贵州省,1560780
202403,103,孟加拉国,53,云南省,2316527
202403,103,孟加拉国,61,陕西省,11755754
202403,103,孟加拉国,62,甘肃省,3730599
202403,103,孟加拉国,63,青海省,122220
202403,103,孟加拉国,64,宁夏回族自治区,1835339
202403,103,孟加拉国,65,新疆维吾尔自治区,32432346
202403,104,不丹,11,北京市,48727
202403,104,不丹,12,天津市,5
202403,104,不丹,13,河北省,5
202403,104,不丹,31,上海市,2540
202403,104,不丹,32,江苏省,27212
202403,104,不丹,33,浙江省,99129
202403,104,不丹,34,安徽省,1337256
202403,104,不丹,35,福建省,1616
202403,104,不丹,36,江西省,5
202403,104,不丹,37,山东省,208158
202403,104,不丹,41,河南省,1781
202403,104,不丹,42,湖北省,21
202403,104,不丹,44,广东省,4257003
202403,104,不丹,51,四川省,2999
202403,104,不丹,53,云南省,63547
202403,105,文莱,11,北京市,171310
202403,105,文莱,12,天津市,282056
202403,105,文莱,13,河北省,2368287
202403,105,文莱,14,山西省,62231
202403,105,文莱,15,内蒙古自治区,79387
202403,105,文莱,21,辽宁省,79273
202403,105,文莱,22,吉林省,2745
202403,105,文莱,23,黑龙江省,286037
202403,105,文莱,31,上海市,1651510
202403,105,文莱,32,江苏省,1346824
202403,105,文莱,33,浙江省,12915030
202403,105,文莱,34,安徽省,2807618
202403,105,文莱,35,福建省,2768337
202403,105,文莱,36,江西省,212468
202403,105,文莱,37,山东省,17858224
202403,105,文莱,41,河南省,193764
202403,105,文莱,42,湖北省,1236135
202403,105,文莱,43,湖南省,907705
202403,105,文莱,44,广东省,36253807
202403,105,文莱,46,海南省,6729
202403,105,文莱,50,重庆市,302979
202403,105,文莱,51,四川省,845390
202403,105,文莱,52,贵州省,252269
202403,105,文莱,53,云南省,492741
202403,105,文莱,61,陕西省,204802
202403,105,文莱,64,宁夏回族自治区,3160
202403,105,文莱,65,新疆维吾尔自治区,377393
202403,106,缅甸,11,北京市,48184591
202403,106,缅甸,12,天津市,4282847
202403,106,缅甸,13,河北省,4608434
202403,106,缅甸,14,山西省,2160442
202403,106,缅甸,15,内蒙古自治区,1253449
202403,106,缅甸,21,辽宁省,6630687
202403,106,缅甸,22,吉林省,63180
202403,106,缅甸,23,黑龙江省,7595661
202403,106,缅甸,31,上海市,23438116
202403,106,缅甸,32,江苏省,119810543
202403,106,缅甸,33,浙江省,113212883
202403,106,缅甸,34,安徽省,17118706
202403,106,缅甸,35,福建省,23955482
202403,106,缅甸,36,江西省,8656460
202403,106,缅甸,37,山东省,55892915
202403,106,缅甸,41,河南省,4784185
202403,106,缅甸,42,湖北省,18136141
202403,106,缅甸,43,湖南省,6237655
202403,106,缅甸,44,广东省,188748757
202403,106,缅甸,45,广西壮族自治区,3453862
202403,106,缅甸,46,海南省,4137231
202403,106,缅甸,50,重庆市,23900312
202403,106,缅甸,51,四川省,9032949
202403,106,缅甸,52,贵州省,5915694
202403,106,缅甸,53,云南省,221854737
202403,106,缅甸,54,西藏自治区,59125
202403,106,缅甸,61,陕西省,12710581
202403,106,缅甸,62,甘肃省,550650
202403,106,缅甸,64,宁夏回族自治区,470520
202403,106,缅甸,65,新疆维吾尔自治区,5519241
202403,107,柬埔寨,11,北京市,35746335
202403,107,柬埔寨,12,天津市,12266050
202403,107,柬埔寨,13,河北省,23902260
202403,107,柬埔寨,14,山西省,835222
202403,107,柬埔寨,15,内蒙古自治区,3837075
202403,107,柬埔寨,21,辽宁省,7279041
