Date of data,Trading partner code,Trading partner,Locations of importers and exporters code,Locations of importers and exporters,US dollar,
202505,101,Afghanistan,11,Beijing,"697,257",
202505,101,Afghanistan,31,Shanghai Province,"39,825",
202505,101,Afghanistan,32,Jiangsu Province,673,
202505,101,Afghanistan,33,Zhejiang Province,"271,213",
202505,101,Afghanistan,34,Anhui Province,49,
202505,101,Afghanistan,35,Fujian Province,194,
202505,101,Afghanistan,37,Shandong Province,"170,243",
202505,101,Afghanistan,41,Henan Province,176,
202505,101,Afghanistan,43,Hunan Province,"97,271",
202505,101,Afghanistan,44,Guangdong Province,"103,246",
202505,101,Afghanistan,65,Xinjiang Uygur Autonomous Region,"16,851",
202505,102,Bahrain,11,Beijing,"1,179",
202505,102,Bahrain,22,Jilin Province,210,
202505,102,Bahrain,31,Shanghai Province,"275,192",
202505,102,Bahrain,32,Jiangsu Province,"23,041",
202505,102,Bahrain,33,Zhejiang Province,"633,435",
202505,102,Bahrain,35,Fujian Province,177,
202505,102,Bahrain,37,Shandong Province,"46,880",
202505,102,Bahrain,44,Guangdong Province,"29,602",
202505,102,Bahrain,50,Chongqing,249,
202505,102,Bahrain,51,Sichuan Province,"1,900,565",
202505,103,Bangladesh,11,Beijing,"1,945,265",
202505,103,Bangladesh,12,Tianjin,"45,250",
202505,103,Bangladesh,13,Hebei Province,"1,997,885",
202505,103,Bangladesh,21,Liaoning Province,"1,464,961",
202505,103,Bangladesh,31,Shanghai Province,"29,004,327",
202505,103,Bangladesh,32,Jiangsu Province,"6,646,391",
202505,103,Bangladesh,33,Zhejiang Province,"11,400,447",
202505,103,Bangladesh,34,Anhui Province,"154,945",
202505,103,Bangladesh,35,Fujian Province,"1,283,952",
202505,103,Bangladesh,36,Jiangxi Province,"193,903",
202505,103,Bangladesh,37,Shandong Province,"4,840,516",
202505,103,Bangladesh,41,Henan Province,"12,196,628",
202505,103,Bangladesh,42,Hubei Province,"1,891,045",
202505,103,Bangladesh,43,Hunan Province,"4,318,828",
202505,103,Bangladesh,44,Guangdong Province,"14,019,456",
202505,103,Bangladesh,45,Guangxi Zhuang Autonomous Region,"560,090",
202505,103,Bangladesh,46,Hainan Province,"144,960",
202505,103,Bangladesh,50,Chongqing,712,
202505,103,Bangladesh,51,Sichuan Province,"2,314,299",
202505,103,Bangladesh,52,Guizhou Province,"31,537",
202505,103,Bangladesh,53,Yunnan Province,"1,202,364",
202505,103,Bangladesh,61,Shaanxi Province,"94,863",
202505,104,Bhutan,11,Beijing,134,
202505,104,Bhutan,31,Shanghai Province,112,
202505,104,Bhutan,44,Guangdong Province,692,
202505,105,Brunei,11,Beijing,103,
202505,105,Brunei,31,Shanghai Province,"14,102,561",
202505,105,Brunei,32,Jiangsu Province,"14,220,545",
202505,105,Brunei,33,Zhejiang Province,"91,326,552",
202505,105,Brunei,35,Fujian Province,"34,227",
202505,105,Brunei,37,Shandong Province,"21,026,530",
202505,105,Brunei,41,Henan Province,26,
202505,105,Brunei,44,Guangdong Province,"8,540,774",
202505,105,Brunei,46,Hainan Province,"32,643,856",
202505,106,Myanmar,11,Beijing,"35,507,153",
202505,106,Myanmar,12,Tianjin,962,
202505,106,Myanmar,13,Hebei Province,"3,264,863",
202505,106,Myanmar,14,Shanxi Province,"2,476,005",
202505,106,Myanmar,21,Liaoning Province,"7,544,770",
202505,106,Myanmar,23,Heilongjiang Province,"438,108",
202505,106,Myanmar,31,Shanghai Province,"8,984,985",
202505,106,Myanmar,32,Jiangsu Province,"4,325,816",
202505,106,Myanmar,33,Zhejiang Province,"6,130,486",
202505,106,Myanmar,34,Anhui Province,"9,683,415",
202505,106,Myanmar,35,Fujian Province,"6,650,079",
202505,106,Myanmar,36,Jiangxi Province,"837,842",
202505,106,Myanmar,37,Shandong Province,"44,822,441",
202505,106,Myanmar,41,Henan Province,"42,505,739",
202505,106,Myanmar,42,Hubei Province,"2,432,241",
202505,106,Myanmar,43,Hunan Province,"3,163,222",
202505,106,Myanmar,44,Guangdong Province,"26,996,980",
202505,106,Myanmar,45,Guangxi Zhuang Autonomous Region,"5,123,535",
202505,106,Myanmar,46,Hainan Province,"8,058,524",
202505,106,Myanmar,50,Chongqing,"1,823,358",
202505,106,Myanmar,51,Sichuan Province,"2,588,923",
202505,106,Myanmar,52,Guizhou Province,"658,906",
202505,106,Myanmar,53,Yunnan Province,"372,219,716",
202505,106,Myanmar,61,Shaanxi Province,"1,410,052",
202505,106,Myanmar,62,Gansu Province,"1,186,167",
202505,107,Cambodia,11,Beijing,"37,773,021",
202505,107,Cambodia,12,Tianjin,"3,080,284",
202505,107,Cambodia,13,Hebei Province,"5,906,419",
202505,107,Cambodia,14,Shanxi Province,"229,800",
202505,107,Cambodia,15,Inner Mongolia Autonomous Region,63,
202505,107,Cambodia,21,Liaoning Province,"6,237,561",
202505,107,Cambodia,22,Jilin Province,"268,021",
202505,107,Cambodia,23,Heilongjiang Province,"529,697",
202505,107,Cambodia,31,Shanghai Province,"42,035,370",
202505,107,Cambodia,32,Jiangsu Province,"12,841,539",
202505,107,Cambodia,33,Zhejiang Province,"22,768,651",
202505,107,Cambodia,34,Anhui Province,"2,465,154",
202505,107,Cambodia,35,Fujian Province,"18,130,665",
202505,107,Cambodia,36,Jiangxi Province,"1,424,201",
202505,107,Cambodia,37,Shandong Province,"5,026,724",
202505,107,Cambodia,41,Henan Province,"6,362,885",
202505,107,Cambodia,42,Hubei Province,"1,422,295",
202505,107,Cambodia,43,Hunan Province,"5,480,082",
202505,107,Cambodia,44,Guangdong Province,"34,841,199",
202505,107,Cambodia,45,Guangxi Zhuang Autonomous Region,"3,311,067",
202505,107,Cambodia,46,Hainan Province,"28,610,939",
202505,107,Cambodia,50,Chongqing,"1,191,603",
202505,107,Cambodia,51,Sichuan Province,"494,608",
202505,107,Cambodia,61,Shaanxi Province,"54,824",
202505,107,Cambodia,62,Gansu Province,"138,538",
202505,108,Cyprus,11,Beijing,"207,040",
202505,108,Cyprus,12,Tianjin,"17,069",
202505,108,Cyprus,13,Hebei Province,"7,233",
202505,108,Cyprus,31,Shanghai Province,"1,274,248",
202505,108,Cyprus,32,Jiangsu Province,"75,374",
202505,108,Cyprus,33,Zhejiang Province,"327,986",
202505,108,Cyprus,34,Anhui Province,207,
202505,108,Cyprus,35,Fujian Province,"6,301",
202505,108,Cyprus,37,Shandong Province,"99,016",
202505,108,Cyprus,41,Henan Province,308,
202505,108,Cyprus,42,Hubei Province,40,
202505,108,Cyprus,43,Hunan Province,582,
202505,108,Cyprus,44,Guangdong Province,"991,995",
202505,108,Cyprus,64,Ningxia Hui Autonomous Region,"1,111,471",
202505,109,Democratic People's Republic of Korea,11,Beijing,359,
202505,109,Democratic People's Republic of Korea,12,Tianjin,"19,399",
202505,109,Democratic People's Republic of Korea,13,Hebei Province,"18,271",
202505,109,Democratic People's Republic of Korea,21,Liaoning Province,"17,707,258",
202505,109,Democratic People's Republic of Korea,22,Jilin Province,"10,683,991",
202505,109,Democratic People's Republic of Korea,32,Jiangsu Province,"23,842",
202505,109,Democratic People's Republic of Korea,33,Zhejiang Province,"16,770",
202505,109,Democratic People's Republic of Korea,35,Fujian Province,"65,184",
202505,109,Democratic People's Republic of Korea,37,Shandong Province,"7,495,179",
202505,109,Democratic People's Republic of Korea,44,Guangdong Province,"378,415",
202505,110,Hong Kong，China,11,Beijing,"537,367,334",
202505,110,Hong Kong，China,12,Tianjin,"3,322,062",
202505,110,Hong Kong，China,13,Hebei Province,"8,347,335",
202505,110,Hong Kong，China,15,Inner Mongolia Autonomous Region,"33,943,729",
202505,110,Hong Kong，China,21,Liaoning Province,"2,842,536",
202505,110,Hong Kong，China,22,Jilin Province,"5,690",
202505,110,Hong Kong，China,31,Shanghai Province,"294,654,303",
202505,110,Hong Kong，China,32,Jiangsu Province,"12,770,831",
202505,110,Hong Kong，China,33,Zhejiang Province,"161,017,477",
202505,110,Hong Kong，China,34,Anhui Province,"1,893,950",
202505,110,Hong Kong，China,35,Fujian Province,"18,471,091",
202505,110,Hong Kong，China,36,Jiangxi Province,"7,124,878",
202505,110,Hong Kong，China,37,Shandong Province,"34,203,361",
202505,110,Hong Kong，China,41,Henan Province,"10,925,327",
202505,110,Hong Kong，China,42,Hubei Province,"4,567,251",
202505,110,Hong Kong，China,43,Hunan Province,"142,886,985",
202505,110,Hong Kong，China,44,Guangdong Province,"833,111,866",
202505,110,Hong Kong，China,45,Guangxi Zhuang Autonomous Region,"112,896",
202505,110,Hong Kong，China,46,Hainan Province,"4,112,500",
202505,110,Hong Kong，China,50,Chongqing,"994,185",
202505,110,Hong Kong，China,51,Sichuan Province,"507,794",
202505,110,Hong Kong，China,52,Guizhou Province,3,
202505,110,Hong Kong，China,53,Yunnan Province,"12,403",
202505,110,Hong Kong，China,54,Tibet Autonomous Region,"32,002",
202505,110,Hong Kong，China,61,Shaanxi Province,"692,773",
202505,110,Hong Kong，China,64,Ningxia Hui Autonomous Region,"7,501,937",
202505,111,India,11,Beijing,"104,296,095",
202505,111,India,12,Tianjin,"36,214,885",
202505,111,India,13,Hebei Province,"46,035,532",
202505,111,India,14,Shanxi Province,"9,090,953",
202505,111,India,15,Inner Mongolia Autonomous Region,"3,935,681",
202505,111,India,21,Liaoning Province,"22,819,464",
202505,111,India,22,Jilin Province,"1,617,200",
202505,111,India,23,Heilongjiang Province,"4,145,591",
202505,111,India,31,Shanghai Province,"205,205,520",
202505,111,India,32,Jiangsu Province,"140,755,906",
202505,111,India,33,Zhejiang Province,"176,660,315",
202505,111,India,34,Anhui Province,"18,239,276",
202505,111,India,35,Fujian Province,"86,099,359",
202505,111,India,36,Jiangxi Province,"4,666,167",
202505,111,India,37,Shandong Province,"176,129,214",
202505,111,India,41,Henan Province,"86,036,271",
202505,111,India,42,Hubei Province,"23,459,941",
202505,111,India,43,Hunan Province,"14,451,826",
202505,111,India,44,Guangdong Province,"264,455,895",
202505,111,India,45,Guangxi Zhuang Autonomous Region,"10,912,440",
202505,111,India,46,Hainan Province,"9,273,103",
202505,111,India,50,Chongqing,"7,639,254",
202505,111,India,51,Sichuan Province,"22,411,626",
202505,111,India,52,Guizhou Province,"19,227,935",
202505,111,India,53,Yunnan Province,"7,902,938",
202505,111,India,54,Tibet Autonomous Region,"99,774",
202505,111,India,61,Shaanxi Province,"11,558,475",
202505,111,India,62,Gansu Province,"308,667",
202505,111,India,63,Qinghai Province,"362,406",
202505,111,India,64,Ningxia Hui Autonomous Region,"525,576",
202505,111,India,65,Xinjiang Uygur Autonomous Region,"1,666,100",
202505,112,Indonesia,11,Beijing,"223,863,154",
202505,112,Indonesia,12,Tianjin,"96,896,036",
202505,112,Indonesia,13,Hebei Province,"35,678,682",
202505,112,Indonesia,14,Shanxi Province,"196,220,736",
202505,112,Indonesia,15,Inner Mongolia Autonomous Region,"3,979",
202505,112,Indonesia,21,Liaoning Province,"76,081,825",
202505,112,Indonesia,22,Jilin Province,"2,223,402",
202505,112,Indonesia,23,Heilongjiang Province,"425,500",
202505,112,Indonesia,31,Shanghai Province,"563,139,042",
202505,112,Indonesia,32,Jiangsu Province,"586,283,003",
202505,112,Indonesia,33,Zhejiang Province,"816,380,568",
202505,112,Indonesia,34,Anhui Province,"62,158,220",
202505,112,Indonesia,35,Fujian Province,"1,038,791,572",
202505,112,Indonesia,36,Jiangxi Province,"78,684,253",
202505,112,Indonesia,37,Shandong Province,"716,561,602",
