Date of data,Trading partner code,Trading partner,Locations of importers and exporters code,Locations of importers and exporters,US dollar,
202505,112,Indonesia,41,Henan Province,"57,321,492",
202505,112,Indonesia,42,Hubei Province,"198,643,343",
202505,112,Indonesia,43,Hunan Province,"44,436,464",
202505,112,Indonesia,44,Guangdong Province,"545,361,832",
202505,112,Indonesia,45,Guangxi Zhuang Autonomous Region,"232,018,984",
202505,112,Indonesia,46,Hainan Province,"70,100,716",
202505,112,Indonesia,50,Chongqing,"23,772,613",
202505,112,Indonesia,51,Sichuan Province,"49,328,180",
202505,112,Indonesia,52,Guizhou Province,"68,190,067",
202505,112,Indonesia,53,Yunnan Province,"100,049,949",
202505,112,Indonesia,61,Shaanxi Province,"8,001,854",
202505,112,Indonesia,62,Gansu Province,"32,440,563",
202505,112,Indonesia,63,Qinghai Province,"37,504",
202505,112,Indonesia,64,Ningxia Hui Autonomous Region,"1,248,885",
202505,112,Indonesia,65,Xinjiang Uygur Autonomous Region,"53,435,007",
202505,113,Iran,11,Beijing,"575,322",
202505,113,Iran,12,Tianjin,"31,869,976",
202505,113,Iran,21,Liaoning Province,"667,816",
202505,113,Iran,31,Shanghai Province,"55,451,923",
202505,113,Iran,32,Jiangsu Province,"41,204,380",
202505,113,Iran,33,Zhejiang Province,"25,340,852",
202505,113,Iran,34,Anhui Province,"73,757,751",
202505,113,Iran,35,Fujian Province,"7,209,227",
202505,113,Iran,37,Shandong Province,"13,188,230",
202505,113,Iran,41,Henan Province,"640,679",
202505,113,Iran,42,Hubei Province,"342,985",
202505,113,Iran,43,Hunan Province,"113,199",
202505,113,Iran,44,Guangdong Province,"12,510,117",
202505,113,Iran,45,Guangxi Zhuang Autonomous Region,"18,967",
202505,113,Iran,46,Hainan Province,"2,897,285",
202505,113,Iran,51,Sichuan Province,"516,596",
202505,113,Iran,53,Yunnan Province,"308,811",
202505,113,Iran,61,Shaanxi Province,"30,835",
202505,113,Iran,65,Xinjiang Uygur Autonomous Region,"30,003",
202505,114,Iraq,11,Beijing,"2,074,274,422",
202505,114,Iraq,13,Hebei Province,35,
202505,114,Iraq,21,Liaoning Province,20,
202505,114,Iraq,31,Shanghai Province,"6,153,133",
202505,114,Iraq,32,Jiangsu Province,"75,651,443",
202505,114,Iraq,33,Zhejiang Province,"265,647,061",
202505,114,Iraq,35,Fujian Province,"68,567,399",
202505,114,Iraq,37,Shandong Province,"226,179,000",
202505,114,Iraq,41,Henan Province,92,
202505,114,Iraq,42,Hubei Province,"358,565",
202505,114,Iraq,44,Guangdong Province,"16,057",
202505,114,Iraq,45,Guangxi Zhuang Autonomous Region,"10,814",
202505,114,Iraq,51,Sichuan Province,"352,620",
202505,115,Israel,11,Beijing,"47,932,691",
202505,115,Israel,12,Tianjin,"8,064,536",
202505,115,Israel,13,Hebei Province,"234,448",
202505,115,Israel,21,Liaoning Province,"874,826",
202505,115,Israel,22,Jilin Province,"1,399,071",
202505,115,Israel,23,Heilongjiang Province,"15,314",
202505,115,Israel,31,Shanghai Province,"125,527,373",
202505,115,Israel,32,Jiangsu Province,"120,248,633",
202505,115,Israel,33,Zhejiang Province,"35,911,868",
202505,115,Israel,34,Anhui Province,"97,893,416",
202505,115,Israel,35,Fujian Province,"44,795,448",
202505,115,Israel,36,Jiangxi Province,"7,750,233",
202505,115,Israel,37,Shandong Province,"17,440,761",
202505,115,Israel,41,Henan Province,"2,505,354",
202505,115,Israel,42,Hubei Province,"10,987,940",
202505,115,Israel,43,Hunan Province,"549,710",
202505,115,Israel,44,Guangdong Province,"388,159,870",
202505,115,Israel,45,Guangxi Zhuang Autonomous Region,"212,337",
202505,115,Israel,46,Hainan Province,"1,042,531",
202505,115,Israel,50,Chongqing,"209,666,664",
202505,115,Israel,51,Sichuan Province,"567,669,065",
202505,115,Israel,53,Yunnan Province,"146,343",
202505,115,Israel,61,Shaanxi Province,"6,214,710",
202505,115,Israel,62,Gansu Province,718,
202505,115,Israel,64,Ningxia Hui Autonomous Region,"663,261",
202505,115,Israel,65,Xinjiang Uygur Autonomous Region,"42,458",
202505,116,Japan,11,Beijing,"1,362,267,335",
202505,116,Japan,12,Tianjin,"404,543,326",
202505,116,Japan,13,Hebei Province,"60,109,130",
202505,116,Japan,14,Shanxi Province,"13,266,440",
202505,116,Japan,15,Inner Mongolia Autonomous Region,"8,190,432",
202505,116,Japan,21,Liaoning Province,"329,017,911",
202505,116,Japan,22,Jilin Province,"20,003,452",
202505,116,Japan,23,Heilongjiang Province,"9,418,662",
202505,116,Japan,31,Shanghai Province,"2,731,880,853",
202505,116,Japan,32,Jiangsu Province,"1,930,054,760",
202505,116,Japan,33,Zhejiang Province,"866,070,339",
202505,116,Japan,34,Anhui Province,"260,520,205",
202505,116,Japan,35,Fujian Province,"240,285,093",
202505,116,Japan,36,Jiangxi Province,"89,824,182",
202505,116,Japan,37,Shandong Province,"320,867,780",
202505,116,Japan,41,Henan Province,"69,318,818",
202505,116,Japan,42,Hubei Province,"142,587,411",
202505,116,Japan,43,Hunan Province,"74,288,993",
202505,116,Japan,44,Guangdong Province,"2,866,772,088",
202505,116,Japan,45,Guangxi Zhuang Autonomous Region,"15,966,132",
202505,116,Japan,46,Hainan Province,"35,116,771",
202505,116,Japan,50,Chongqing,"172,177,386",
202505,116,Japan,51,Sichuan Province,"299,666,548",
202505,116,Japan,52,Guizhou Province,"1,446,075",
202505,116,Japan,53,Yunnan Province,"3,503,945",
202505,116,Japan,54,Tibet Autonomous Region,"647,337",
202505,116,Japan,61,Shaanxi Province,"146,451,212",
202505,116,Japan,62,Gansu Province,"14,267,140",
202505,116,Japan,63,Qinghai Province,"587,760",
202505,116,Japan,64,Ningxia Hui Autonomous Region,"6,212,893",
202505,116,Japan,65,Xinjiang Uygur Autonomous Region,"3,355,858",
202505,117,Jordan,11,Beijing,"14,961,739",
202505,117,Jordan,12,Tianjin,"92,222",
202505,117,Jordan,21,Liaoning Province,407,
202505,117,Jordan,31,Shanghai Province,"7,395,349",
202505,117,Jordan,32,Jiangsu Province,"6,268,676",
202505,117,Jordan,33,Zhejiang Province,"9,010,889",
202505,117,Jordan,34,Anhui Province,"982,828",
202505,117,Jordan,35,Fujian Province,"2,072",
202505,117,Jordan,36,Jiangxi Province,"94,000",
202505,117,Jordan,37,Shandong Province,"311,021",
202505,117,Jordan,41,Henan Province,"40,320",
202505,117,Jordan,42,Hubei Province,322,
202505,117,Jordan,44,Guangdong Province,"1,357,869",
202505,117,Jordan,45,Guangxi Zhuang Autonomous Region,181,
202505,117,Jordan,51,Sichuan Province,118,
202505,117,Jordan,62,Gansu Province,"2,085",
202505,118,Kuwait,11,Beijing,"555,583,651",
202505,118,Kuwait,13,Hebei Province,"627,677",
202505,118,Kuwait,15,Inner Mongolia Autonomous Region,"95,325",
202505,118,Kuwait,21,Liaoning Province,565,
202505,118,Kuwait,23,Heilongjiang Province,"13,400,797",
202505,118,Kuwait,31,Shanghai Province,"332,527",
202505,118,Kuwait,32,Jiangsu Province,"8,127,783",
202505,118,Kuwait,33,Zhejiang Province,"17,438,159",
202505,118,Kuwait,34,Anhui Province,"951,331",
202505,118,Kuwait,35,Fujian Province,"6,674,586",
202505,118,Kuwait,37,Shandong Province,"48,295,208",
202505,118,Kuwait,42,Hubei Province,95,
202505,118,Kuwait,44,Guangdong Province,"9,563,043",
202505,118,Kuwait,45,Guangxi Zhuang Autonomous Region,"40,452,065",
202505,118,Kuwait,46,Hainan Province,"20,215,927",
202505,118,Kuwait,51,Sichuan Province,61,
202505,118,Kuwait,53,Yunnan Province,"80,589,371",
202505,119,Lao,11,Beijing,"52,628,657",
202505,119,Lao,12,Tianjin,"553,573",
202505,119,Lao,13,Hebei Province,"763,553",
202505,119,Lao,14,Shanxi Province,"2,453,250",
202505,119,Lao,15,Inner Mongolia Autonomous Region,"18,582,564",
202505,119,Lao,21,Liaoning Province,"893,369",
202505,119,Lao,23,Heilongjiang Province,"918,165",
202505,119,Lao,31,Shanghai Province,"30,631,516",
202505,119,Lao,32,Jiangsu Province,"15,078,282",
202505,119,Lao,33,Zhejiang Province,"12,661,196",
202505,119,Lao,35,Fujian Province,"11,603,080",
202505,119,Lao,36,Jiangxi Province,"16,013,078",
202505,119,Lao,37,Shandong Province,"72,097,644",
202505,119,Lao,41,Henan Province,"791,044",
202505,119,Lao,43,Hunan Province,"3,065,046",
202505,119,Lao,44,Guangdong Province,"5,564,857",
202505,119,Lao,45,Guangxi Zhuang Autonomous Region,"16,629,681",
202505,119,Lao,46,Hainan Province,"1,158,287",
202505,119,Lao,50,Chongqing,"3,320,886",
202505,119,Lao,51,Sichuan Province,"2,576,767",
202505,119,Lao,52,Guizhou Province,"650,973",
202505,119,Lao,53,Yunnan Province,"218,385,875",
202505,119,Lao,62,Gansu Province,"96,996",
202505,119,Lao,65,Xinjiang Uygur Autonomous Region,"54,623",
202505,120,Lebanon,11,Beijing,"23,902",
202505,120,Lebanon,31,Shanghai Province,"492,664",
202505,120,Lebanon,32,Jiangsu Province,521,
202505,120,Lebanon,33,Zhejiang Province,"3,692,939",
202505,120,Lebanon,34,Anhui Province,"444,699",
202505,120,Lebanon,35,Fujian Province,"183,481",
202505,120,Lebanon,37,Shandong Province,932,
202505,120,Lebanon,42,Hubei Province,295,
202505,120,Lebanon,43,Hunan Province,"5,525",
202505,120,Lebanon,44,Guangdong Province,"361,192",
202505,120,Lebanon,51,Sichuan Province,"53,684",
202505,121,"Macao,China",11,Beijing,"21,523",
202505,121,"Macao,China",12,Tianjin,"433,907",
202505,121,"Macao,China",31,Shanghai Province,"292,130",
202505,121,"Macao,China",32,Jiangsu Province,274,
202505,121,"Macao,China",33,Zhejiang Province,"275,300",
202505,121,"Macao,China",41,Henan Province,"124,030",
202505,121,"Macao,China",43,Hunan Province,994,
202505,121,"Macao,China",44,Guangdong Province,"4,357,090",
202505,121,"Macao,China",46,Hainan Province,"611,314",
202505,121,"Macao,China",51,Sichuan Province,129,
202505,122,Malaysia,11,Beijing,"160,820,989",
202505,122,Malaysia,12,Tianjin,"72,305,468",
202505,122,Malaysia,13,Hebei Province,"21,057,738",
202505,122,Malaysia,14,Shanxi Province,"1,517,002",
202505,122,Malaysia,15,Inner Mongolia Autonomous Region,"77,588",
202505,122,Malaysia,21,Liaoning Province,"686,811,679",
202505,122,Malaysia,22,Jilin Province,"10,279,805",
202505,122,Malaysia,23,Heilongjiang Province,"1,276,052",
202505,122,Malaysia,31,Shanghai Province,"722,490,358",
202505,122,Malaysia,32,Jiangsu Province,"684,468,797",
202505,122,Malaysia,33,Zhejiang Province,"324,970,973",
202505,122,Malaysia,34,Anhui Province,"100,455,126",
202505,122,Malaysia,35,Fujian Province,"99,351,713",
202505,122,Malaysia,36,Jiangxi Province,"16,637,689",
202505,122,Malaysia,37,Shandong Province,"1,571,340,445",
202505,122,Malaysia,41,Henan Province,"133,739,545",
202505,122,Malaysia,42,Hubei Province,"49,993,901",
202505,122,Malaysia,43,Hunan Province,"320,416,229",
202505,122,Malaysia,44,Guangdong Province,"2,012,109,680",
202505,122,Malaysia,45,Guangxi Zhuang Autonomous Region,"18,947,034",
202505,122,Malaysia,46,Hainan Province,"124,563,251",
202505,122,Malaysia,50,Chongqing,"82,363,780",
202505,122,Malaysia,51,Sichuan Province,"88,915,436",
202505,122,Malaysia,52,Guizhou Province,"16,039,877",
202505,122,Malaysia,53,Yunnan Province,"2,944,100",
202505,122,Malaysia,61,Shaanxi Province,"27,807,484",
202505,122,Malaysia,62,Gansu Province,"229,739",
202505,122,Malaysia,64,Ningxia Hui Autonomous Region,"290,745",
202505,122,Malaysia,65,Xinjiang Uygur Autonomous Region,"13,095",
202505,123,Maldives,11,Beijing,164,
202505,123,Maldives,31,Shanghai Province,"1,830",
202505,123,Maldives,32,Jiangsu Province,15,
202505,123,Maldives,37,Shandong Province,302,
202505,123,Maldives,44,Guangdong Province,"4,144",
202505,124,Mongolia,11,Beijing,"26,039,152",
202505,124,Mongolia,12,Tianjin,"16,998,855",
202505,124,Mongolia,13,Hebei Province,"2,416,691",
202505,124,Mongolia,14,Shanxi Province,"7,624,700",
202505,124,Mongolia,15,Inner Mongolia Autonomous Region,"821,204,573",
202505,124,Mongolia,21,Liaoning Province,"2,099,461",
202505,124,Mongolia,22,Jilin Province,"3,028,378",
202505,124,Mongolia,31,Shanghai Province,"2,763,858",
202505,124,Mongolia,32,Jiangsu Province,"3,722,107",
202505,124,Mongolia,33,Zhejiang Province,"1,034,324",
202505,124,Mongolia,34,Anhui Province,"462,265",
202505,124,Mongolia,35,Fujian Province,"17,537,702",
202505,124,Mongolia,36,Jiangxi Province,"603,541",
202505,124,Mongolia,37,Shandong Province,"6,616,210",
202505,124,Mongolia,41,Henan Province,"6,595,204",
202505,124,Mongolia,42,Hubei Province,"637,138",
202505,124,Mongolia,43,Hunan Province,"617,396",
202505,124,Mongolia,44,Guangdong Province,"463,248",
202505,124,Mongolia,46,Hainan Province,"1,523,392",
202505,124,Mongolia,51,Sichuan Province,84,
202505,124,Mongolia,62,Gansu Province,"28,126,186",
202505,124,Mongolia,65,Xinjiang Uygur Autonomous Region,"19,339,451",
202505,125,Nepal,11,Beijing,"66,223",
202505,125,Nepal,13,Hebei Province,"15,799",
202505,125,Nepal,21,Liaoning Province,"59,173",
202505,125,Nepal,31,Shanghai Province,"392,742",
202505,125,Nepal,32,Jiangsu Province,"2,901",
202505,125,Nepal,33,Zhejiang Province,"4,678",
202505,125,Nepal,35,Fujian Province,"30,511",
202505,125,Nepal,36,Jiangxi Province,"66,284",
202505,125,Nepal,37,Shandong Province,"19,607",
202505,125,Nepal,41,Henan Province,490,
202505,125,Nepal,43,Hunan Province,"7,277",
202505,125,Nepal,44,Guangdong Province,"62,020",
202505,125,Nepal,50,Chongqing,"22,103",
202505,125,Nepal,51,Sichuan Province,"436,342",
202505,125,Nepal,53,Yunnan Province,"32,019",
202505,125,Nepal,54,Tibet Autonomous Region,"1,442,650",
202505,125,Nepal,62,Gansu Province,"1,619",
202505,126,Oman,11,Beijing,"1,413,137,663",
202505,126,Oman,12,Tianjin,"226,349",
202505,126,Oman,13,Hebei Province,"462,642,463",
202505,126,Oman,21,Liaoning Province,"867,002",
202505,126,Oman,31,Shanghai Province,"146,696,341",
202505,126,Oman,32,Jiangsu Province,"42,911,177",
202505,126,Oman,33,Zhejiang Province,"67,424,249",
202505,126,Oman,34,Anhui Province,21,
202505,126,Oman,35,Fujian Province,"22,284,904",
202505,126,Oman,37,Shandong Province,"142,332,670",
202505,126,Oman,41,Henan Province,"80,094",
202505,126,Oman,42,Hubei Province,80,
202505,126,Oman,44,Guangdong Province,"113,608,722",
202505,126,Oman,45,Guangxi Zhuang Autonomous Region,"41,940,325",
202505,126,Oman,46,Hainan Province,"112,623,537",
202505,126,Oman,50,Chongqing,"268,197",
202505,126,Oman,51,Sichuan Province,"14,948,224",
202505,126,Oman,53,Yunnan Province,"5,161,006",
202505,127,Pakistan,11,Beijing,"17,508,445",
202505,127,Pakistan,12,Tianjin,"2,141,911",
202505,127,Pakistan,13,Hebei Province,"6,439,633",
202505,127,Pakistan,15,Inner Mongolia Autonomous Region,"126,260",
202505,127,Pakistan,21,Liaoning Province,"2,854,190",
202505,127,Pakistan,22,Jilin Province,"366,696",
202505,127,Pakistan,23,Heilongjiang Province,"536,967",
202505,127,Pakistan,31,Shanghai Province,"8,972,834",
202505,127,Pakistan,32,Jiangsu Province,"5,788,131",
202505,127,Pakistan,33,Zhejiang Province,"50,043,029",
202505,127,Pakistan,34,Anhui Province,"6,285,536",
202505,127,Pakistan,35,Fujian Province,"30,507,608",
202505,127,Pakistan,36,Jiangxi Province,"1,333,739",
202505,127,Pakistan,37,Shandong Province,"6,705,861",
202505,127,Pakistan,41,Henan Province,"1,363,445",
202505,127,Pakistan,42,Hubei Province,"1,141,471",
202505,127,Pakistan,43,Hunan Province,"3,665,468",
202505,127,Pakistan,44,Guangdong Province,"23,205,982",
202505,127,Pakistan,45,Guangxi Zhuang Autonomous Region,"9,468,358",
202505,127,Pakistan,46,Hainan Province,"510,786",
202505,127,Pakistan,50,Chongqing,"387,687",
202505,127,Pakistan,51,Sichuan Province,"448,142",
202505,127,Pakistan,52,Guizhou Province,"252,849",
202505,127,Pakistan,53,Yunnan Province,"720,969",
202505,127,Pakistan,61,Shaanxi Province,"29,111",
