数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202401,101,阿富汗,11,北京市,"172,376"
202401,101,阿富汗,12,天津市,"60,459"
202401,101,阿富汗,31,上海市,"64,771"
202401,101,阿富汗,33,浙江省,"3,463,482"
202401,101,阿富汗,34,安徽省,683
202401,101,阿富汗,35,福建省,48
202401,101,阿富汗,37,山东省,"503,649"
202401,101,阿富汗,42,湖北省,263
202401,101,阿富汗,44,广东省,"20,898"
202401,101,阿富汗,51,四川省,602
202401,102,巴林,11,北京市,815
202401,102,巴林,12,天津市,62
202401,102,巴林,13,河北省,"14,960"
202401,102,巴林,21,辽宁省,8
202401,102,巴林,31,上海市,"22,546"
202401,102,巴林,32,江苏省,"99,682"
202401,102,巴林,33,浙江省,"1,341,299"
202401,102,巴林,37,山东省,20
202401,102,巴林,41,河南省,"7,332,602"
202401,102,巴林,44,广东省,"112,987"
202401,102,巴林,50,重庆市,100
202401,102,巴林,51,四川省,"12,211"
202401,103,孟加拉国,11,北京市,"2,876,084"
202401,103,孟加拉国,12,天津市,"319,454"
202401,103,孟加拉国,13,河北省,"403,998"
202401,103,孟加拉国,21,辽宁省,"1,959,174"
202401,103,孟加拉国,22,吉林省,789
202401,103,孟加拉国,23,黑龙江省,4
202401,103,孟加拉国,31,上海市,"50,581,788"
202401,103,孟加拉国,32,江苏省,"5,416,369"
202401,103,孟加拉国,33,浙江省,"15,367,717"
202401,103,孟加拉国,34,安徽省,"1,138,153"
202401,103,孟加拉国,35,福建省,"2,105,390"
202401,103,孟加拉国,36,江西省,"551,556"
202401,103,孟加拉国,37,山东省,"3,586,809"
202401,103,孟加拉国,41,河南省,"9,277,911"
202401,103,孟加拉国,42,湖北省,"966,451"
202401,103,孟加拉国,43,湖南省,"3,877,087"
202401,103,孟加拉国,44,广东省,"19,744,466"
202401,103,孟加拉国,45,广西壮族自治区,"2,716,554"
202401,103,孟加拉国,46,海南省,"586,451"
202401,103,孟加拉国,50,重庆市,"137,246"
202401,103,孟加拉国,51,四川省,"2,047,525"
202401,103,孟加拉国,53,云南省,"4,800"
202401,103,孟加拉国,61,陕西省,"57,368"
202401,103,孟加拉国,63,青海省,"27,709"
202401,104,不丹,12,天津市,51
202401,104,不丹,31,上海市,13
202401,105,文莱,11,北京市,"38,227,704"
202401,105,文莱,13,河北省,30
202401,105,文莱,31,上海市,"5,868,169"
202401,105,文莱,32,江苏省,"14,312,397"
202401,105,文莱,33,浙江省,"34,231,066"
202401,105,文莱,44,广东省,"52,499,223"
202401,106,缅甸,11,北京市,"8,433,919"
202401,106,缅甸,12,天津市,"1,891,184"
202401,106,缅甸,13,河北省,"2,569,999"
202401,106,缅甸,21,辽宁省,"1,805,057"
202401,106,缅甸,23,黑龙江省,"553,648"
202401,106,缅甸,31,上海市,"6,975,654"
202401,106,缅甸,32,江苏省,"4,647,730"
202401,106,缅甸,33,浙江省,"13,537,407"
202401,106,缅甸,34,安徽省,"11,115,430"
202401,106,缅甸,35,福建省,"3,060,057"
202401,106,缅甸,36,江西省,"1,403,915"
202401,106,缅甸,37,山东省,"25,077,840"
202401,106,缅甸,41,河南省,"40,870,446"
202401,106,缅甸,42,湖北省,"1,807,580"
202401,106,缅甸,43,湖南省,"4,196,684"
202401,106,缅甸,44,广东省,"25,054,221"
202401,106,缅甸,45,广西壮族自治区,"2,073,907"
202401,106,缅甸,46,海南省,"1,263,336"
202401,106,缅甸,50,重庆市,"798,261"
202401,106,缅甸,51,四川省,"2,279,607"
202401,106,缅甸,52,贵州省,"37,800"
202401,106,缅甸,53,云南省,"468,817,085"
202401,106,缅甸,61,陕西省,"836,128"
202401,107,柬埔寨,11,北京市,"29,882,755"
202401,107,柬埔寨,12,天津市,"2,955,436"
202401,107,柬埔寨,13,河北省,"6,852,717"
202401,107,柬埔寨,14,山西省,"45,401"
202401,107,柬埔寨,21,辽宁省,"4,944,678"
202401,107,柬埔寨,22,吉林省,"607,475"
202401,107,柬埔寨,23,黑龙江省,"386,201"
202401,107,柬埔寨,31,上海市,"51,581,171"
202401,107,柬埔寨,32,江苏省,"14,971,260"
202401,107,柬埔寨,33,浙江省,"14,669,909"
202401,107,柬埔寨,34,安徽省,"378,424"
202401,107,柬埔寨,35,福建省,"15,850,175"
202401,107,柬埔寨,36,江西省,"1,324,616"
202401,107,柬埔寨,37,山东省,"7,859,217"
202401,107,柬埔寨,41,河南省,"1,602,804"
202401,107,柬埔寨,42,湖北省,"304,813"
202401,107,柬埔寨,43,湖南省,"1,540,709"
202401,107,柬埔寨,44,广东省,"38,300,702"
202401,107,柬埔寨,45,广西壮族自治区,"1,204,023"
202401,107,柬埔寨,46,海南省,"1,163,802"
202401,107,柬埔寨,50,重庆市,"2,655,696"
202401,107,柬埔寨,51,四川省,"472,512"
202401,107,柬埔寨,53,云南省,828
202401,107,柬埔寨,61,陕西省,"104,790"
202401,108,塞浦路斯,11,北京市,"305,237"
202401,108,塞浦路斯,12,天津市,"45,705"
202401,108,塞浦路斯,21,辽宁省,132
202401,108,塞浦路斯,31,上海市,"175,841"
202401,108,塞浦路斯,32,江苏省,"14,253"
202401,108,塞浦路斯,33,浙江省,"134,456"
202401,108,塞浦路斯,34,安徽省,16
202401,108,塞浦路斯,35,福建省,66
202401,108,塞浦路斯,37,山东省,"38,576"
202401,108,塞浦路斯,41,河南省,61
202401,108,塞浦路斯,42,湖北省,33
202401,108,塞浦路斯,44,广东省,"781,308"
202401,108,塞浦路斯,51,四川省,115
202401,109,朝鲜,11,北京市,689
202401,109,朝鲜,21,辽宁省,"10,120,447"
202401,109,朝鲜,22,吉林省,"15,069,331"
202401,109,朝鲜,33,浙江省,"4,610"
202401,109,朝鲜,37,山东省,"4,152,377"
202401,109,朝鲜,41,河南省,"498,274"
202401,109,朝鲜,44,广东省,"2,834,415"
202401,109,朝鲜,51,四川省,"38,483"
202401,110,中国香港,11,北京市,"452,040,763"
202401,110,中国香港,12,天津市,"1,923,690"
202401,110,中国香港,13,河北省,"213,037"
202401,110,中国香港,15,内蒙古自治区,"50,445"
202401,110,中国香港,21,辽宁省,"5,241,891"
202401,110,中国香港,22,吉林省,"12,401"
202401,110,中国香港,23,黑龙江省,"66,871"
202401,110,中国香港,31,上海市,"249,671,432"
202401,110,中国香港,32,江苏省,"17,138,183"
202401,110,中国香港,33,浙江省,"26,842,293"
202401,110,中国香港,34,安徽省,"2,822,171"
202401,110,中国香港,35,福建省,"75,350,559"
202401,110,中国香港,36,江西省,"19,828,564"
202401,110,中国香港,37,山东省,"11,458,383"
202401,110,中国香港,41,河南省,"3,917,602"
202401,110,中国香港,42,湖北省,"825,935"
202401,110,中国香港,43,湖南省,"48,925,844"
202401,110,中国香港,44,广东省,"297,109,857"
202401,110,中国香港,45,广西壮族自治区,"277,526"
202401,110,中国香港,46,海南省,"34,186,769"
202401,110,中国香港,50,重庆市,"488,672"
202401,110,中国香港,51,四川省,"11,313,545"
202401,110,中国香港,52,贵州省,"386,504"
202401,110,中国香港,53,云南省,"4,407,082"
202401,110,中国香港,54,西藏自治区,"603,032"
