数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202505,101,阿富汗,11,北京市,697257
202505,101,阿富汗,31,上海市,39825
202505,101,阿富汗,32,江苏省,673
202505,101,阿富汗,33,浙江省,271213
202505,101,阿富汗,34,安徽省,49
202505,101,阿富汗,35,福建省,194
202505,101,阿富汗,37,山东省,170243
202505,101,阿富汗,41,河南省,176
202505,101,阿富汗,43,湖南省,97271
202505,101,阿富汗,44,广东省,103246
202505,101,阿富汗,65,新疆维吾尔自治区,16851
202505,102,巴林,11,北京市,1179
202505,102,巴林,22,吉林省,210
202505,102,巴林,31,上海市,275192
202505,102,巴林,32,江苏省,23041
202505,102,巴林,33,浙江省,633435
202505,102,巴林,35,福建省,177
202505,102,巴林,37,山东省,46880
202505,102,巴林,44,广东省,29602
202505,102,巴林,50,重庆市,249
202505,102,巴林,51,四川省,1900565
202505,103,孟加拉国,11,北京市,1945265
202505,103,孟加拉国,12,天津市,45250
202505,103,孟加拉国,13,河北省,1997885
202505,103,孟加拉国,21,辽宁省,1464961
202505,103,孟加拉国,31,上海市,29004327
202505,103,孟加拉国,32,江苏省,6646391
202505,103,孟加拉国,33,浙江省,11400447
202505,103,孟加拉国,34,安徽省,154945
202505,103,孟加拉国,35,福建省,1283952
202505,103,孟加拉国,36,江西省,193903
202505,103,孟加拉国,37,山东省,4840516
202505,103,孟加拉国,41,河南省,12196628
202505,103,孟加拉国,42,湖北省,1891045
202505,103,孟加拉国,43,湖南省,4318828
202505,103,孟加拉国,44,广东省,14019456
202505,103,孟加拉国,45,广西壮族自治区,560090
202505,103,孟加拉国,46,海南省,144960
202505,103,孟加拉国,50,重庆市,712
202505,103,孟加拉国,51,四川省,2314299
202505,103,孟加拉国,52,贵州省,31537
202505,103,孟加拉国,53,云南省,1202364
202505,103,孟加拉国,61,陕西省,94863
202505,104,不丹,11,北京市,134
202505,104,不丹,31,上海市,112
202505,104,不丹,44,广东省,692
202505,105,文莱,11,北京市,103
202505,105,文莱,31,上海市,14102561
202505,105,文莱,32,江苏省,14220545
202505,105,文莱,33,浙江省,91326552
202505,105,文莱,35,福建省,34227
202505,105,文莱,37,山东省,21026530
202505,105,文莱,41,河南省,26
202505,105,文莱,44,广东省,8540774
202505,105,文莱,46,海南省,32643856
202505,106,缅甸,11,北京市,35507153
202505,106,缅甸,12,天津市,962
202505,106,缅甸,13,河北省,3264863
202505,106,缅甸,14,山西省,2476005
202505,106,缅甸,21,辽宁省,7544770
202505,106,缅甸,23,黑龙江省,438108
202505,106,缅甸,31,上海市,8984985
202505,106,缅甸,32,江苏省,4325816
202505,106,缅甸,33,浙江省,6130486
202505,106,缅甸,34,安徽省,9683415
202505,106,缅甸,35,福建省,6650079
202505,106,缅甸,36,江西省,837842
202505,106,缅甸,37,山东省,44822441
202505,106,缅甸,41,河南省,42505739
202505,106,缅甸,42,湖北省,2432241
202505,106,缅甸,43,湖南省,3163222
202505,106,缅甸,44,广东省,26996980
202505,106,缅甸,45,广西壮族自治区,5123535
202505,106,缅甸,46,海南省,8058524
202505,106,缅甸,50,重庆市,1823358
202505,106,缅甸,51,四川省,2588923
202505,106,缅甸,52,贵州省,658906
202505,106,缅甸,53,云南省,372219716
202505,106,缅甸,61,陕西省,1410052
202505,106,缅甸,62,甘肃省,1186167
202505,107,柬埔寨,11,北京市,37773021
202505,107,柬埔寨,12,天津市,3080284
