source,pubtime,title,url
中国科学院理论物理研究所,2023_10_09,讲座预告 | Colloquium (Keh-Fei Liu),http://mp.weixin.qq.com/s?__biz=MzU0NjQyNTY4Mw==&mid=2247501587&idx=1&sn=7fd74eef626e783cd4fb147906f3b150&chksm=fb5f592fcc28d03970936f3207f75659e908702c386adc0d41855df1568c18e51cdca917dcec&scene=0&xtrack=1#rd
中国科学院理论物理研究所,2023_10_09,讲座预告 | Colloquium (Craig Roberts),http://mp.weixin.qq.com/s?__biz=MzU0NjQyNTY4Mw==&mid=2247501587&idx=2&sn=ea89cfb80de5ab07eb360269a6435095&chksm=fb5f592fcc28d03905cc4b07c18e70dec6047ddcbf1d34c15237913003b98b87ee54f4e4a5f5&scene=0&xtrack=1#rd
