source,pubtime,title,url
量子位,2024_01_20,反转了！清华校友殒命与谷歌裁员无关，家暴细节曝光，男方被控谋杀,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247713928&idx=1&sn=e22e95e407a633e1204c93c33448d7d0&chksm=e9461d86d2e1e42cc0249a66f04f08e67a8f5dd038cfd785e3f3a8a805c95921f06851bfc179&scene=0&xtrack=1#rd
量子位,2024_01_20,Stability AI杀回来了：视频生成新Demo效果惊人，网友：一致性超群,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247713928&idx=2&sn=643d4ce3a5ee3fe80f7f730102b53e48&chksm=e977a5956671c8988fee3fa51eb6a4e50a6ce85c29f227f781a1f858c77395816de551ff8875&scene=0&xtrack=1#rd
量子位,2024_01_20,黄仁勋大红棉袄扭秧歌！不是AI生成,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247713928&idx=3&sn=aa3c8e92acddaf41738e6b9d465872a0&chksm=e9f760c3e766c54048a47dd75051695dfd9bb8ae49fba0d8b195eeea7c024af5a4631067f131&scene=0&xtrack=1#rd
量子位,2024_01_20,AI看视频自动找“高能时刻”｜字节&中科院自动化所@AAAI 2024,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247713928&idx=4&sn=b43e1d430717a4023d3a2e6b51f49380&chksm=e9704388abe9d34a2b3be95ecc7f06b6f9aeb968ac4507dc2bfb3490fb9d75920c7c401c335e&scene=0&xtrack=1#rd
