source,pubtime,title,url
量子位,2023_11_08,ChatGPT全线大崩溃！奥特曼亲自致歉：流量远超预期,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247703173&idx=1&sn=0dbe81fe28994a8cc426430b78fb6ff8&chksm=e8df6df7dfa8e4e196d4a72febf93b784a6a74e3e7ee41db9d805dd556c3a19f68c03861ecb1&scene=0&xtrack=1#rd
量子位,2023_11_08,天玑9300拿下生成式AI最强移动芯，端侧支持330亿大模型，1秒内AI画图，全新全大核架构做底座,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247703173&idx=2&sn=f055fdf84411612e4a092a26b677011c&chksm=e8df6df7dfa8e4e116cc51b63cc500b7a93cfe64687dd531c3e4d4f8f5a043067e518f1f9060&scene=0&xtrack=1#rd
量子位,2023_11_08,偶尔熬夜竟能缓解抑郁！西北大学最新研究，但不推荐天天用,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247703173&idx=3&sn=991187217f038c1ae18552d1227f5e3f&chksm=e8df6df7dfa8e4e1f3c9485e57a44c28d56e2ed9e09bf160cbb217688e5031344a5ca446d716&scene=0&xtrack=1#rd
量子位,2023_11_08,别让大模型被基准评估坑了！测试集乱入预训练，分数虚高，模型变傻,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247703173&idx=4&sn=16b4d7b6c5ae7cf39cd4f175ba3de278&chksm=e8df6df7dfa8e4e11ddcc25e11c526ca9c3f7ccbdc3c22f41ba6f3d1ed77aba9e35967c788eb&scene=0&xtrack=1#rd
量子位,2023_11_08,GitHub CEO：AI助手已成公司摇钱树,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247703173&idx=5&sn=f3742749915ac10eef1f7913f4125232&chksm=e8df6df7dfa8e4e1384020a72be9c7cc1cc38e5804f9d9e9357c2c013ebea675cf94eb874176&scene=0&xtrack=1#rd
