source,pubtime,title,url
量子位,2023_12_08,谷歌趁OpenAI内讧重组AI团队，挖来硅谷最高华人高管Bill Jia,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247708767&idx=1&sn=c2e95701f41e1d215a6edb593269799f&chksm=e8df072ddfa88e3b4441098a436efbce904022b79286c9f798b2d06133da9dc94702510716df&scene=0&xtrack=1#rd
量子位,2023_12_08,OpenAI内斗第二季：Ilya一周没露面，还请了私人律师,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247708767&idx=2&sn=99ae921d96c9ba7bed6f856c2891e18a&chksm=e8df072ddfa88e3bc0b033ae28c84ff031e3b1547a2d4dae8aa5fbd94c6f760a23fa576e000a&scene=0&xtrack=1#rd
量子位,2023_12_08,首个开源MoE大模型发布！7Bx8个专家，离GPT-4最近的一集,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247708767&idx=3&sn=266995b951040a63d31b82e1d45db457&chksm=e8df072ddfa88e3b1f20549b663769bc9ce007b862e0f536e3259044a968f8e610f21f7fa5b2&scene=0&xtrack=1#rd
量子位,2023_12_08,OpenAI承认GPT-4变懒：暂时无法修复,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247708767&idx=4&sn=81923c59023933679a29468d0ade5831&chksm=e8df072ddfa88e3b9c684d197060669093b7ebf526049511da4275c72041a1990084c855019e&scene=0&xtrack=1#rd
