source,pubtime,title,url
量子位,2023_10_03,第五位女性诺奖物理学得主！给原子世界按下快门，获奖时还在上课,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247697750&idx=1&sn=c39e1585ba5fa185cb8620b3262cdf52&chksm=e8df7224dfa8fb327f9891412ef75e419c5a38de04d20fc01ea1bfe831b9ecbb28a62501f166&scene=0&xtrack=1#rd
量子位,2023_10_03,诺奖得主曾数次被剥夺教职，网友集体要求高校道歉：获资助比拿诺奖更难,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247697750&idx=2&sn=fb90b7ca09ddb0a03843b4a0aa5b1867&chksm=e8df7224dfa8fb3271392d0995f3ead617788a50d27c9be95e3e2219c811d64088e8fb04db07&scene=0&xtrack=1#rd
量子位,2023_10_03,纽大具身智能新进展：靠视觉反馈学会开罐头，任务成功率提高135%，LeCun点赞,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247697750&idx=3&sn=2d3eedceb24453eb97204becee5aaa84&chksm=e8df7224dfa8fb322db25f200cb703043a36a92c37270bcd1602baef91e4774ea7b7594b93f8&scene=0&xtrack=1#rd
