source,pubtime,title,url
量子位,2024_03_20,传奇大爷拿下“数学界诺贝尔奖”；陶哲轩祝贺：他本应更知名,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247721980&idx=1&sn=4809686b3457e2bfeae08444cfa1bb2e&chksm=e95610e96c9a1b8c35db3a5497f31534c7e35ce51b52d07a8a26369c25fcdd0eb7abb57bc61b&scene=0&xtrack=1#rd
量子位,2024_03_20,突发！Stable Diffusion核心团队被曝集体离职,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247721980&idx=2&sn=f624911e0f4c9178fa105c0d02cfea66&chksm=e94987163b2c67f31082c16ae6a28081b7b0522f60176b101219b9dec08dececfc5465a41673&scene=0&xtrack=1#rd
量子位,2024_03_20,脑后插管玩《文明6》！马斯克Neuralink首个人类志愿者，直播意念下象棋,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247721980&idx=3&sn=264465068e068c99da63a14d1ab3e7a2&chksm=e9028f040a215557e8d35a8bbcb32c35eff6f5641126a1938e0a4bbac82944f649793e1be4cd&scene=0&xtrack=1#rd
量子位,2024_03_20,黄仁勋组局，Transformer七子首次重聚对谈 ｜ 中文实录,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247721980&idx=4&sn=73ad7a9436b26417310ce52529d2539d&chksm=e9e0659b16edf91193bc49840189bfed408a81ca137f65779d88c009ef657a11acf248912a90&scene=0&xtrack=1#rd
量子位,2024_03_20,腾讯发布自研游戏AI引擎：3D城市布局效率提升百倍，UGC工具已上线《元梦之星》,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247721980&idx=5&sn=c23892faf4b21f943c2920fa66fe96d5&chksm=e92097dafcfe29f898b498c1100d671f153bb8a5ecaa5fa500c239319f600dc51c47c6d6d9ff&scene=0&xtrack=1#rd
量子位,2024_03_20,AI太火，量子位今年更缺人了 （含实习）,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247721980&idx=6&sn=e9abe127a80e5dc94fb62af46a57c6f0&chksm=e9c287db956e9e35348e257ff80a4da829da750dc29cbf70b417f928cae7158d6266a8342c3d&scene=0&xtrack=1#rd
