source,pubtime,title,url
量子位,2024_03_02,北大发起复现Sora，框架已搭！袁粒田永鸿领衔，AnimateDiff大神响应,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247719186&idx=1&sn=8553026e011333d141dabb144e92ba88&chksm=e94d2bd78df0e34c34f8b7aaf5046dc781426fd7d0ed3947c644576035d5231957d44498cf65&scene=0&xtrack=1#rd
量子位,2024_03_02,马斯克用微软论文当论据起诉OpenAI：你们自己早承认AGI了,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247719186&idx=2&sn=18d0f42bae2cca21f9da1b5dda1df669&chksm=e9af5d1745333ae736c73319f2e9dc599ad71763ecfcf1e7047a8c5827bdc73c8ffd18dd957f&scene=0&xtrack=1#rd
量子位,2024_03_02,北大具身智能成果入选CVPR'24：只需一张图一个指令，就能让大模型玩转机械臂,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247719186&idx=3&sn=14dbbf032b22527dd89513cc99dd057b&chksm=e9d4d8e61aaf04b66298f0eb6264b71d5524c53136311ebfc2a31840a6349a74beb06e96db4e&scene=0&xtrack=1#rd
