source,pubtime,title,url
量子位,2023_12_05,李开复李培根领衔！近20位大咖共话智能变革，今年MEET智能未来大会提前划重点,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247708287&idx=1&sn=b20cdb90715de0c327275541514dc6bb&chksm=e8df190ddfa8901b5d71b3d99dbf60da31dd95f10933b9c0c28b3c76c3c5c449d5a6f0a591af&scene=0&xtrack=1#rd
量子位,2023_12_05,抖音跳舞不用真人出镜，一张照片就能生成高质量视频！字节新技术连抱抱脸CTO都下场体验了,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247708287&idx=2&sn=738e2c381a9260dac7cfa4bec25eb3b0&chksm=e8df190ddfa8901bcda340f4bfb18ed1180d4bc72e2ed4203fb7cbf5a26c2c09074797cd82eb&scene=0&xtrack=1#rd
量子位,2023_12_05,大模型免微调解锁对话能力，RLHF没必要了！一作上交大校友：节省大量成本和时间,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247708287&idx=3&sn=d00d75c4e698089efdab794ed3dc6818&chksm=e8df190ddfa8901b8fea49192d7f0deedc56bd71b1dc4075835c145fd752b1979474bcb0df72&scene=0&xtrack=1#rd
量子位,2023_12_05,微软Copilot进化完全体，代码解释器、DALL·E 3，ChatGPT有的它都有,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247708287&idx=4&sn=a943e1cf578175ff2b04c1f6c2b9ad3a&chksm=e8df190ddfa8901bfdaffb5938d4461016aec430ed68de4a2b2cfcfdfbc0d7224086f599c356&scene=0&xtrack=1#rd
量子位,2023_12_05,秒杀700亿Llama 2！最新国产大模型亮相，无需申请即可免费商用，背后公司来自私募巨头,http://mp.weixin.qq.com/s?__biz=MzIzNjc1NzUzMw==&mid=2247708287&idx=5&sn=6e3b8833b96a7786ba6a431d4a1f1e55&chksm=e8df190ddfa8901b2699b28531c3df0a60d0999006163545337a46053b179512bd3278a464d2&scene=0&xtrack=1#rd
