source,pubtime,title,url
黑白之道,2023_10_17,被曝威马汽车董事长“出海”，车机服务“宕机”|帮助赌场开发服务系统，警方抓获14人，涉及金额高达2700余万元；,http://mp.weixin.qq.com/s?__biz=MzAxMjE3ODU3MQ==&mid=2650580044&idx=1&sn=f7f8af3dce72a1c967b7ed1fe54c2fce&chksm=83bdc1a8b4ca48bec49eda474d9d3bb40706a4982559fc9a500efc453a69884857607dbb64e5&scene=0&xtrack=1#rd
黑白之道,2023_10_17,生成式人工智能时代的5大网络安全趋势,http://mp.weixin.qq.com/s?__biz=MzAxMjE3ODU3MQ==&mid=2650580044&idx=2&sn=e360f5bab3ba689decea7244ae56d1b8&chksm=83bdc1a8b4ca48bed6c825eb40ef4d4b8c55bff87311ddd2aa9c6d58089255da502d855f45b5&scene=0&xtrack=1#rd
黑白之道,2023_10_17,记一次限制环境下的域渗透实战,http://mp.weixin.qq.com/s?__biz=MzAxMjE3ODU3MQ==&mid=2650580044&idx=3&sn=cb8821a0a9e685cd91d41346e1db6d94&chksm=83bdc1a8b4ca48be5b205bad16b036fba060d0530d52a0c04d3b9837964b40f0bbf9420bf3c6&scene=0&xtrack=1#rd
黑白之道,2023_10_17,一款整合了ChatGPT的源IP扫描工具,http://mp.weixin.qq.com/s?__biz=MzAxMjE3ODU3MQ==&mid=2650580044&idx=4&sn=b245480e0285d8b5b0152c547c2854ec&chksm=83bdc1a8b4ca48be2b15686dfc63f5e8a6fcbee8aca0b04a0af61acc5068795fc2c2a339b322&scene=0&xtrack=1#rd
