数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
202310,101,阿富汗,11,北京市,28345
202310,101,阿富汗,12,天津市,1432682
202310,101,阿富汗,21,辽宁省,275
202310,101,阿富汗,31,上海市,2787991
202310,101,阿富汗,32,江苏省,8406
202310,101,阿富汗,33,浙江省,56365017
202310,101,阿富汗,35,福建省,66454
202310,101,阿富汗,37,山东省,6632465
202310,101,阿富汗,42,湖北省,1285
202310,101,阿富汗,44,广东省,419528
202310,101,阿富汗,51,四川省,689
202310,102,巴林,11,北京市,3328
202310,102,巴林,13,河北省,482
202310,102,巴林,31,上海市,4325
202310,102,巴林,32,江苏省,963201
202310,102,巴林,33,浙江省,9267193
202310,102,巴林,35,福建省,551
202310,102,巴林,41,河南省,359
202310,102,巴林,44,广东省,773763
202310,102,巴林,51,四川省,772
202310,103,孟加拉国,11,北京市,23023375
202310,103,孟加拉国,12,天津市,1284440
202310,103,孟加拉国,13,河北省,8025432
202310,103,孟加拉国,21,辽宁省,39889892
202310,103,孟加拉国,31,上海市,228049426
202310,103,孟加拉国,32,江苏省,46473980
202310,103,孟加拉国,33,浙江省,113763639
202310,103,孟加拉国,34,安徽省,6224599
202310,103,孟加拉国,35,福建省,4755659
202310,103,孟加拉国,36,江西省,1490555
202310,103,孟加拉国,37,山东省,30402171
202310,103,孟加拉国,41,河南省,34516416
202310,103,孟加拉国,42,湖北省,4845880
202310,103,孟加拉国,43,湖南省,33503120
202310,103,孟加拉国,44,广东省,97157166
202310,103,孟加拉国,45,广西壮族自治区,18480687
202310,103,孟加拉国,46,海南省,125190
202310,103,孟加拉国,50,重庆市,605
202310,103,孟加拉国,51,四川省,11172159
202310,103,孟加拉国,53,云南省,22494
202310,103,孟加拉国,61,陕西省,36328
202310,104,不丹,33,浙江省,263
202310,104,不丹,35,福建省,29
202310,104,不丹,37,山东省,1514
202310,104,不丹,44,广东省,693
202310,104,不丹,51,四川省,326
202310,105,文莱,11,北京市,2949
202310,105,文莱,21,辽宁省,83496515
202310,105,文莱,31,上海市,127318054
202310,105,文莱,32,江苏省,422214330
202310,105,文莱,33,浙江省,504869644
202310,105,文莱,41,河南省,47914
202310,105,文莱,44,广东省,242845748
202310,105,文莱,51,四川省,207
202310,106,缅甸,11,北京市,45573986
202310,106,缅甸,12,天津市,970842
202310,106,缅甸,13,河北省,480
202310,106,缅甸,21,辽宁省,4985234
202310,106,缅甸,31,上海市,109424295
202310,106,缅甸,32,江苏省,22617972
202310,106,缅甸,33,浙江省,68155371
202310,106,缅甸,34,安徽省,10672658
202310,106,缅甸,35,福建省,8907402
202310,106,缅甸,36,江西省,27435785
202310,106,缅甸,37,山东省,70417934
202310,106,缅甸,41,河南省,250704349
202310,106,缅甸,42,湖北省,134107
202310,106,缅甸,43,湖南省,26413743
202310,106,缅甸,44,广东省,205873493
202310,106,缅甸,45,广西壮族自治区,16617753
202310,106,缅甸,46,海南省,1099443
202310,106,缅甸,50,重庆市,7838746
202310,106,缅甸,51,四川省,14747734
202310,106,缅甸,53,云南省,2841004385
202310,106,缅甸,61,陕西省,6406297
202310,106,缅甸,65,新疆维吾尔自治区,925910
202310,107,柬埔寨,11,北京市,200131143
202310,107,柬埔寨,12,天津市,27897073
202310,107,柬埔寨,13,河北省,109500683
202310,107,柬埔寨,14,山西省,1041
202310,107,柬埔寨,15,内蒙古自治区,1471
202310,107,柬埔寨,21,辽宁省,30441800
202310,107,柬埔寨,22,吉林省,4212107
202310,107,柬埔寨,23,黑龙江省,289659
202310,107,柬埔寨,31,上海市,270743503
202310,107,柬埔寨,32,江苏省,60849734
202310,107,柬埔寨,33,浙江省,109855581
202310,107,柬埔寨,34,安徽省,2445590
202310,107,柬埔寨,35,福建省,54962898
202310,107,柬埔寨,36,江西省,14386493
202310,107,柬埔寨,37,山东省,40496703
202310,107,柬埔寨,41,河南省,13636342
202310,107,柬埔寨,42,湖北省,1280963
202310,107,柬埔寨,43,湖南省,18893839
202310,107,柬埔寨,44,广东省,139835131
202310,107,柬埔寨,45,广西壮族自治区,10146348
202310,107,柬埔寨,46,海南省,109932740
202310,107,柬埔寨,50,重庆市,11276782
202310,107,柬埔寨,51,四川省,5912846
202310,107,柬埔寨,53,云南省,81675650
202310,107,柬埔寨,61,陕西省,2955
202310,107,柬埔寨,65,新疆维吾尔自治区,309
202310,108,塞浦路斯,11,北京市,1374713
202310,108,塞浦路斯,12,天津市,1231593
202310,108,塞浦路斯,13,河北省,33964
202310,108,塞浦路斯,21,辽宁省,229675
202310,108,塞浦路斯,31,上海市,5479762
202310,108,塞浦路斯,32,江苏省,1921
202310,108,塞浦路斯,33,浙江省,1221508
202310,108,塞浦路斯,35,福建省,8400
202310,108,塞浦路斯,37,山东省,78723
202310,108,塞浦路斯,41,河南省,58
202310,108,塞浦路斯,42,湖北省,3809
202310,108,塞浦路斯,44,广东省,709596
202310,108,塞浦路斯,45,广西壮族自治区,8
202310,108,塞浦路斯,51,四川省,505
202310,109,朝鲜,11,北京市,55951
202310,109,朝鲜,21,辽宁省,95319052
202310,109,朝鲜,22,吉林省,55157139
202310,109,朝鲜,31,上海市,107
202310,109,朝鲜,37,山东省,611300
202310,109,朝鲜,41,河南省,7615185
202310,109,朝鲜,44,广东省,12207858
202310,109,朝鲜,51,四川省,6836892
202310,110,中国香港,11,北京市,2080833937
202310,110,中国香港,12,天津市,13437768
202310,110,中国香港,13,河北省,1314710
202310,110,中国香港,15,内蒙古自治区,52562
202310,110,中国香港,21,辽宁省,32601454
202310,110,中国香港,22,吉林省,38005
202310,110,中国香港,23,黑龙江省,2539
202310,110,中国香港,31,上海市,388074334
202310,110,中国香港,32,江苏省,282715692
202310,110,中国香港,33,浙江省,208889478
202310,110,中国香港,34,安徽省,19811787
202310,110,中国香港,35,福建省,156548491
202310,110,中国香港,36,江西省,62492626
202310,110,中国香港,37,山东省,61439837
202310,110,中国香港,41,河南省,11894686
202310,110,中国香港,42,湖北省,8687509
202310,110,中国香港,43,湖南省,535856225
202310,110,中国香港,44,广东省,1185567181
202310,110,中国香港,45,广西壮族自治区,1201129
202310,110,中国香港,46,海南省,185190327
202310,110,中国香港,50,重庆市,3185464
202310,110,中国香港,51,四川省,82301977
202310,110,中国香港,52,贵州省,231153
202310,110,中国香港,53,云南省,49134651
202310,110,中国香港,61,陕西省,6624381
202310,110,中国香港,62,甘肃省,2377
202310,110,中国香港,63,青海省,432
202310,110,中国香港,65,新疆维吾尔自治区,14442085
202310,111,印度,11,北京市,358676030
202310,111,印度,12,天津市,483227909
202310,111,印度,13,河北省,364669016
202310,111,印度,14,山西省,84506337
202310,111,印度,15,内蒙古自治区,7190038
202310,111,印度,21,辽宁省,231810496
202310,111,印度,22,吉林省,21052919
202310,111,印度,23,黑龙江省,33950806
202310,111,印度,31,上海市,1499593439
202310,111,印度,32,江苏省,1148267318
202310,111,印度,33,浙江省,1679703146
202310,111,印度,34,安徽省,223232634
202310,111,印度,35,福建省,1045176712
202310,111,印度,36,江西省,26637864
202310,111,印度,37,山东省,793896049
202310,111,印度,41,河南省,276780278
202310,111,印度,42,湖北省,216751033
202310,111,印度,43,湖南省,225332477
202310,111,印度,44,广东省,1761135808
202310,111,印度,45,广西壮族自治区,68905830
202310,111,印度,46,海南省,129946336
202310,111,印度,50,重庆市,50306763
202310,111,印度,51,四川省,52308678
202310,111,印度,52,贵州省,4505710
202310,111,印度,53,云南省,46315551
202310,111,印度,54,西藏自治区,397655
202310,111,印度,61,陕西省,40955541
202310,111,印度,62,甘肃省,298451
202310,111,印度,63,青海省,4226142
202310,111,印度,64,宁夏回族自治区,3232556
202310,111,印度,65,新疆维吾尔自治区,1838697
202310,112,印度尼西亚,11,北京市,2132932814
202310,112,印度尼西亚,12,天津市,1021016255
202310,112,印度尼西亚,13,河北省,209643359
202310,112,印度尼西亚,14,山西省,1436403323
202310,112,印度尼西亚,21,辽宁省,228646998
202310,112,印度尼西亚,22,吉林省,6828876
202310,112,印度尼西亚,23,黑龙江省,3912377
202310,112,印度尼西亚,31,上海市,5412282959
202310,112,印度尼西亚,32,江苏省,4526989529
202310,112,印度尼西亚,33,浙江省,6082146995
202310,112,印度尼西亚,34,安徽省,540342397
202310,112,印度尼西亚,35,福建省,9252699906
202310,112,印度尼西亚,36,江西省,354158045
