数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,美元
202203,101,阿富汗,11,北京市,1688006,45,1091850
202203,101,阿富汗,12,天津市,316600,0,271181
202203,101,阿富汗,13,河北省,35936,96237,373059
202203,101,阿富汗,15,内蒙古自治区,132000,0,118800
202203,101,阿富汗,23,黑龙江省,6460,74955,38760
202203,101,阿富汗,31,上海市,27437,4840,62244
202203,101,阿富汗,32,江苏省,1421792,596929,3428837
202203,101,阿富汗,33,浙江省,4751416,1456125,8771430
202203,101,阿富汗,34,安徽省,7886,69522,295122
202203,101,阿富汗,35,福建省,19300,0,50894
202203,101,阿富汗,36,江西省,23519,55107,201017
202203,101,阿富汗,37,山东省,4829664,167990,9331573
202203,101,阿富汗,41,河南省,74045,1,131877
202203,101,阿富汗,42,湖北省,122565,520,428876
202203,101,阿富汗,43,湖南省,573333,72894,2053957
202203,101,阿富汗,44,广东省,380449,757351,4526597
202203,101,阿富汗,45,广西壮族自治区,47880,11224,497328
202203,101,阿富汗,50,重庆市,748,41044,147545
202203,101,阿富汗,52,贵州省,0,3,18
202203,101,阿富汗,61,陕西省,80912,1191,179311
202203,102,巴林,11,北京市,74211,4708,2180674
202203,102,巴林,12,天津市,589899,38346,664756
202203,102,巴林,13,河北省,13847162,131477,17271221
202203,102,巴林,14,山西省,204921,0,625120
202203,102,巴林,15,内蒙古自治区,85004,0,115064
202203,102,巴林,21,辽宁省,750886,128,2317729
202203,102,巴林,22,吉林省,1527,384,70773
202203,102,巴林,31,上海市,2237917,427028,14952726
202203,102,巴林,32,江苏省,3082253,2578575,11937309
202203,102,巴林,33,浙江省,5831780,1096457,13230713
202203,102,巴林,34,安徽省,590103,1190731,3697897
202203,102,巴林,35,福建省,1674976,1417061,1798797
202203,102,巴林,36,江西省,1340389,31327,5990179
202203,102,巴林,37,山东省,19663101,773752,34022780
202203,102,巴林,41,河南省,924088,191396,6229456
202203,102,巴林,42,湖北省,659017,5588597,3310292
202203,102,巴林,43,湖南省,296942,4545350,2009039
202203,102,巴林,44,广东省,5395682,9454591,54058672
202203,102,巴林,45,广西壮族自治区,179204,16016,402637
202203,102,巴林,50,重庆市,163698,43943,1140878
202203,102,巴林,51,四川省,116669,38320,1112183
202203,102,巴林,52,贵州省,0,3,18
202203,102,巴林,53,云南省,43,0,113
202203,102,巴林,61,陕西省,117556,254,208528
202203,102,巴林,63,青海省,897,19500,4485
202203,103,孟加拉国,11,北京市,74446939,73339204,78184358
202203,103,孟加拉国,12,天津市,15096842,1212803,26867716
202203,103,孟加拉国,13,河北省,28438170,5270743,49742255
202203,103,孟加拉国,14,山西省,2326304,718666,7703578
202203,103,孟加拉国,15,内蒙古自治区,4070498,0,4707607
202203,103,孟加拉国,21,辽宁省,9361199,580672,17295836
202203,103,孟加拉国,22,吉林省,539332,80,1236566
202203,103,孟加拉国,23,黑龙江省,772688,54956,1715522
202203,103,孟加拉国,31,上海市,63631823,12036464,123845232
202203,103,孟加拉国,32,江苏省,233433443,41462300,435054417
202203,103,孟加拉国,33,浙江省,336945180,55548815,447189304
202203,103,孟加拉国,34,安徽省,15197063,10764377,34951142
202203,103,孟加拉国,35,福建省,50703654,12550482,88638832
202203,103,孟加拉国,36,江西省,44561861,2463118,47613822
202203,103,孟加拉国,37,山东省,112287705,10675836,188108044
202203,103,孟加拉国,41,河南省,7044977,1802985,19933696
202203,103,孟加拉国,42,湖北省,22667510,1469347,42719210
202203,103,孟加拉国,43,湖南省,18149898,3970147,34031627
202203,103,孟加拉国,44,广东省,162372253,81189710,390811328
202203,103,孟加拉国,45,广西壮族自治区,3966623,464444,8726113
202203,103,孟加拉国,46,海南省,50318739,59753400,44756714
202203,103,孟加拉国,50,重庆市,1862698,857362,32698092
202203,103,孟加拉国,51,四川省,22190597,3410781,46284231
202203,103,孟加拉国,52,贵州省,934936,36089,1602531
202203,103,孟加拉国,53,云南省,118508091,47775,76988770
202203,103,孟加拉国,54,西藏自治区,22500,0,28575
202203,103,孟加拉国,61,陕西省,3015473,3335408,19951648
202203,103,孟加拉国,62,甘肃省,2092320,0,2629518
202203,103,孟加拉国,64,宁夏回族自治区,86786,0,897947
202203,103,孟加拉国,65,新疆维吾尔自治区,1100620,129330,3039034
202203,104,不丹,11,北京市,12,1,918
202203,104,不丹,13,河北省,2,4,25
202203,104,不丹,21,辽宁省,0,1,6
202203,104,不丹,31,上海市,57,33,1273
202203,104,不丹,32,江苏省,11,38,459
202203,104,不丹,33,浙江省,71,193,1229
202203,104,不丹,34,安徽省,19,43,275
202203,104,不丹,35,福建省,36,62,394
202203,104,不丹,36,江西省,16,24,2650
202203,104,不丹,37,山东省,47583,165,138678
202203,104,不丹,41,河南省,40,71,476
202203,104,不丹,42,湖北省,52,80,514
202203,104,不丹,43,湖南省,871,11316,3625923
202203,104,不丹,44,广东省,222104,24658,1509052
202203,104,不丹,50,重庆市,371,65,7932
202203,104,不丹,51,四川省,62,6,113
202203,105,文莱,11,北京市,36730327,50968268,25055943
202203,105,文莱,12,天津市,122942,38040,729199
202203,105,文莱,13,河北省,755677,22733,1068708
202203,105,文莱,14,山西省,48877,4280,146963
202203,105,文莱,15,内蒙古自治区,4927,0,11457
202203,105,文莱,21,辽宁省,422969,119628,733220
202203,105,文莱,22,吉林省,17280,0,33696
202203,105,文莱,23,黑龙江省,74000,0,80800
202203,105,文莱,31,上海市,673676,141051,2136629
202203,105,文莱,32,江苏省,842875,221942,6069608
202203,105,文莱,33,浙江省,1629082,1895167,13805482
202203,105,文莱,34,安徽省,118669,1832229,1042263
202203,105,文莱,35,福建省,810845,51952,1976928
202203,105,文莱,36,江西省,796764,1027353,2260835
202203,105,文莱,37,山东省,2087515,263127,5324841
202203,105,文莱,41,河南省,134102,2197,321245
202203,105,文莱,42,湖北省,139643,1399959,1897807
202203,105,文莱,43,湖南省,378860,3256659,1942666
202203,105,文莱,44,广东省,1768511,1154769,11005423
202203,105,文莱,45,广西壮族自治区,27245,8462,79476
202203,105,文莱,46,海南省,4330,0,10038
202203,105,文莱,50,重庆市,3756,107,14608
202203,105,文莱,51,四川省,459507,82760,1704342
202203,105,文莱,53,云南省,33323,0,47245
202203,105,文莱,61,陕西省,262541,5216,622476
202203,106,缅甸,11,北京市,27825928,21543403,44233159
202203,106,缅甸,12,天津市,13859897,560302,14578810
202203,106,缅甸,13,河北省,29409783,2396255,33397861
202203,106,缅甸,14,山西省,1312671,16812,1195253
202203,106,缅甸,15,内蒙古自治区,3617407,19649,6364617
202203,106,缅甸,21,辽宁省,8777303,364870,11780172
202203,106,缅甸,22,吉林省,1613,140600,586330
202203,106,缅甸,23,黑龙江省,1454525,16530,2510951
202203,106,缅甸,31,上海市,17020724,2934440,32406626
