数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,人民币
202108,101,阿富汗,11,北京市,132,1662,624680
202108,101,阿富汗,12,天津市,10000,14,91317
202108,101,阿富汗,13,河北省,112708,1519011,10460277
202108,101,阿富汗,21,辽宁省,503566,7600,6765430
202108,101,阿富汗,23,黑龙江省,0,1,39
202108,101,阿富汗,31,上海市,58343,15003,1710746
202108,101,阿富汗,32,江苏省,2866737,743976,15041640
202108,101,阿富汗,33,浙江省,6623625,3091033,88435142
202108,101,阿富汗,34,安徽省,156188,77302,3318139
202108,101,阿富汗,35,福建省,13283,128069,3465517
202108,101,阿富汗,36,江西省,5,6,188
202108,101,阿富汗,37,山东省,2141182,208990,28977695
202108,101,阿富汗,41,河南省,72436,23097,1212636
202108,101,阿富汗,42,湖北省,85360,28005,1782063
202108,101,阿富汗,43,湖南省,48071,28410,2810015
202108,101,阿富汗,44,广东省,410883,308011,17151016
202108,101,阿富汗,50,重庆市,6289,497,343642
202108,101,阿富汗,51,四川省,23950,13377,3691035
202108,101,阿富汗,52,贵州省,0,1,39
202108,101,阿富汗,61,陕西省,1,0,1653
202108,101,阿富汗,65,新疆维吾尔自治区,136965,1016,1315317
202108,102,巴林,11,北京市,179624,11850,9506255
202108,102,巴林,12,天津市,449012,159918,12861320
202108,102,巴林,13,河北省,884283,166810,20751830
202108,102,巴林,14,山西省,1627,1,12048
202108,102,巴林,15,内蒙古自治区,22026,6,179240
202108,102,巴林,21,辽宁省,363790,23447,6084464
202108,102,巴林,22,吉林省,40000,0,199580
202108,102,巴林,23,黑龙江省,350000,0,3103788
202108,102,巴林,31,上海市,1071277,292628,55705114
202108,102,巴林,32,江苏省,4651415,1028184,77166915
202108,102,巴林,33,浙江省,4269434,3997718,86124731
202108,102,巴林,34,安徽省,561069,146990,16355635
202108,102,巴林,35,福建省,1288881,176073,27982924
202108,102,巴林,36,江西省,251245,3345711,10613552
202108,102,巴林,37,山东省,5447494,9255618,82203165
202108,102,巴林,41,河南省,315083,732552,8379638
202108,102,巴林,42,湖北省,446922,1108755,13853020
202108,102,巴林,43,湖南省,937919,1473452,31711774
202108,102,巴林,44,广东省,4500597,1501189,153548950
202108,102,巴林,45,广西壮族自治区,102023,30480,2727323
202108,102,巴林,46,海南省,409,30,19610
202108,102,巴林,50,重庆市,1223045,258584,23089306
202108,102,巴林,51,四川省,132812,25032,4372675
202108,102,巴林,52,贵州省,17158,417,268849
202108,102,巴林,53,云南省,18550,996,3062632
202108,102,巴林,61,陕西省,37798,170793,6022342
202108,102,巴林,63,青海省,22244,0,411658
202108,103,孟加拉国,11,北京市,181229218,77450933,1228310903
202108,103,孟加拉国,12,天津市,7243905,854746,90057955
202108,103,孟加拉国,13,河北省,13944707,3590139,162196236
202108,103,孟加拉国,14,山西省,2945651,317702,28428713
202108,103,孟加拉国,15,内蒙古自治区,2545837,2,9611675
202108,103,孟加拉国,21,辽宁省,5821914,511653,59724270
202108,103,孟加拉国,22,吉林省,269211,83374,11838814
202108,103,孟加拉国,23,黑龙江省,749229,77295,10944504
202108,103,孟加拉国,31,上海市,112368325,25110258,890532535
202108,103,孟加拉国,32,江苏省,195089741,48478347,2589997375
202108,103,孟加拉国,33,浙江省,232092215,49827976,2304293327
202108,103,孟加拉国,34,安徽省,35966699,118297033,255740705
202108,103,孟加拉国,35,福建省,54922546,16649285,555209186
202108,103,孟加拉国,36,江西省,9929828,884811,117961044
202108,103,孟加拉国,37,山东省,78729153,8829735,1075051678
202108,103,孟加拉国,41,河南省,9118345,2071951,124249824
202108,103,孟加拉国,42,湖北省,82641336,2475232,377307155
202108,103,孟加拉国,43,湖南省,9951608,3018702,268945714
202108,103,孟加拉国,44,广东省,202222498,51236577,2907991820
202108,103,孟加拉国,45,广西壮族自治区,1690617,348541,26052213
202108,103,孟加拉国,46,海南省,2775004,2,16796575
202108,103,孟加拉国,50,重庆市,33297409,399815,202894784
202108,103,孟加拉国,51,四川省,14715841,2149861,159022547
202108,103,孟加拉国,52,贵州省,608844,35874,7816097
202108,103,孟加拉国,53,云南省,2074480,146998,37775452
202108,103,孟加拉国,61,陕西省,3902228,608473,39587039
202108,103,孟加拉国,62,甘肃省,4747516,0,33965183
202108,103,孟加拉国,64,宁夏回族自治区,131677,0,6997230
202108,103,孟加拉国,65,新疆维吾尔自治区,1045000,0,8646156
202108,104,不丹,11,北京市,74,40,30638
202108,104,不丹,12,天津市,2,2,564
202108,104,不丹,13,河北省,33859,417,833374
202108,104,不丹,31,上海市,2059,2001,651086
