数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,人民币
202006,101,阿富汗,11,北京市,41,9,10656
202006,101,阿富汗,12,天津市,1,1,3281
202006,101,阿富汗,31,上海市,6,3,9009
202006,101,阿富汗,32,江苏省,52000,0,296062
202006,101,阿富汗,33,浙江省,51611,0,571641
202006,101,阿富汗,35,福建省,2,0,378
202006,101,阿富汗,37,山东省,0,2,681
202006,101,阿富汗,44,广东省,1575,345,102833
202006,101,阿富汗,51,四川省,6,1,1889
202006,101,阿富汗,65,新疆维吾尔自治区,24500,0,330300
202006,102,巴林,11,北京市,5010962,4,8874540
202006,102,巴林,12,天津市,39822,43487,318981
202006,102,巴林,31,上海市,2181158,22452,22989739
202006,102,巴林,32,江苏省,83248,0,1247781
202006,102,巴林,35,福建省,1,1,902
202006,102,巴林,37,山东省,161600,0,152202
202006,102,巴林,44,广东省,5788,2696,200825
202006,102,巴林,51,四川省,3,2,956
202006,103,孟加拉国,11,北京市,2578454,106328,39688938
202006,103,孟加拉国,12,天津市,7620,1899,602861
202006,103,孟加拉国,13,河北省,2770878,88,18951083
202006,103,孟加拉国,21,辽宁省,556635,102,4125628
202006,103,孟加拉国,22,吉林省,46120,0,268346
202006,103,孟加拉国,23,黑龙江省,2414,715,148689
202006,103,孟加拉国,31,上海市,5938573,890499,124004226
202006,103,孟加拉国,32,江苏省,15614010,69050,49092105
202006,103,孟加拉国,33,浙江省,1586487,10324,11622348
202006,103,孟加拉国,34,安徽省,285010,1,1863915
202006,103,孟加拉国,35,福建省,1060614,188048,11019505
202006,103,孟加拉国,36,江西省,1104680,72,9969404
202006,103,孟加拉国,37,山东省,1163796,94,6670036
202006,103,孟加拉国,41,河南省,636923,16812,9398619
202006,103,孟加拉国,42,湖北省,800000,0,2629213
202006,103,孟加拉国,43,湖南省,652996,0,16703982
202006,103,孟加拉国,44,广东省,1784873,117377,35602826
202006,103,孟加拉国,45,广西壮族自治区,276001,1,2532894
202006,103,孟加拉国,46,海南省,269,367,156280
202006,103,孟加拉国,50,重庆市,15444,2835,1445983
202006,103,孟加拉国,51,四川省,61,32,33338
202006,103,孟加拉国,53,云南省,113612,16250,3745805
202006,103,孟加拉国,61,陕西省,59600,0,464291
202006,103,孟加拉国,64,宁夏回族自治区,30000,0,145815
202006,103,孟加拉国,65,新疆维吾尔自治区,187046,0,5353899
202006,104,不丹,11,北京市,5,1,497
202006,104,不丹,44,广东省,119,1,6495
202006,104,不丹,61,陕西省,2,0,77219
202006,105,文莱,11,北京市,64474372,1,50915873
202006,105,文莱,15,内蒙古自治区,77062000,0,117081657
202006,105,文莱,31,上海市,3140376,0,8749738
202006,105,文莱,32,江苏省,73868816,0,137861053
202006,105,文莱,33,浙江省,135024216,11,435005374
202006,105,文莱,35,福建省,34807655,0,93428719
202006,105,文莱,37,山东省,15149490,0,47627780
202006,105,文莱,44,广东省,20499927,42,42942940
202006,105,文莱,46,海南省,35456051,0,129154853
202006,106,缅甸,11,北京市,19048529,6934,363918090
202006,106,缅甸,12,天津市,206304,5691,1824453
202006,106,缅甸,13,河北省,813521,33600,5092084
202006,106,缅甸,15,内蒙古自治区,50000,0,177390
202006,106,缅甸,21,辽宁省,2231976,219,10947211
202006,106,缅甸,22,吉林省,71827,0,254997
202006,106,缅甸,31,上海市,4318946,123593,47197046
202006,106,缅甸,32,江苏省,4353463,16430,27790149
202006,106,缅甸,33,浙江省,5330365,62602,38123144
202006,106,缅甸,34,安徽省,1412853,8960,15849830
202006,106,缅甸,35,福建省,5023021,1496,84654455
202006,106,缅甸,36,江西省,2317417,1429,76012761
202006,106,缅甸,37,山东省,6360792,113480,55966762
202006,106,缅甸,41,河南省,62077,1132,2990697
202006,106,缅甸,43,湖南省,2000660,9,24890721
202006,106,缅甸,44,广东省,43258098,4868912,163144141
202006,106,缅甸,45,广西壮族自治区,1565250,0,13580777
202006,106,缅甸,46,海南省,202064,774,2478739
202006,106,缅甸,50,重庆市,4219271,829,6428526
202006,106,缅甸,51,四川省,436603,323,4138516
202006,106,缅甸,53,云南省,914954550,188762,2378920145
202006,106,缅甸,61,陕西省,3,0,548
202006,106,缅甸,62,甘肃省,297594,0,6613513
202006,107,柬埔寨,11,北京市,21201881,221785,131465756
202006,107,柬埔寨,12,天津市,991290,38986,10630894
202006,107,柬埔寨,13,河北省,252592,89445,19602914
202006,107,柬埔寨,15,内蒙古自治区,127,28,31540
202006,107,柬埔寨,21,辽宁省,3459512,6110,12131294
202006,107,柬埔寨,23,黑龙江省,92,38,15567
202006,107,柬埔寨,31,上海市,6876117,3502298,125435562
202006,107,柬埔寨,32,江苏省,3594588,795203,152082624
202006,107,柬埔寨,33,浙江省,1386152,170143,36859568
202006,107,柬埔寨,34,安徽省,65660,2800,759878
202006,107,柬埔寨,35,福建省,20746218,181042,24337176
202006,107,柬埔寨,36,江西省,192188,2071233,5956465
202006,107,柬埔寨,37,山东省,4295102,223470,35639220
202006,107,柬埔寨,41,河南省,2180831,4307,8330700
202006,107,柬埔寨,42,湖北省,37,45,38955
202006,107,柬埔寨,43,湖南省,3915021,29,10904066
202006,107,柬埔寨,44,广东省,13848539,1494667,102236833
202006,107,柬埔寨,45,广西壮族自治区,458701,41762,785130
202006,107,柬埔寨,46,海南省,13909,15144,4298001
202006,107,柬埔寨,50,重庆市,17653,1399,334201
202006,107,柬埔寨,51,四川省,31652,5095,20904071
202006,107,柬埔寨,52,贵州省,54,13,6432
202006,107,柬埔寨,54,西藏自治区,165,65,38274
202006,107,柬埔寨,61,陕西省,580,574,742036
202006,108,塞浦路斯,11,北京市,529107,76095,49407549
202006,108,塞浦路斯,12,天津市,721065,91904,2704227
202006,108,塞浦路斯,13,河北省,17973,0,345346
202006,108,塞浦路斯,21,辽宁省,1,2,3105
202006,108,塞浦路斯,31,上海市,1072537,228792,4631390
202006,108,塞浦路斯,32,江苏省,59561,9,229100
202006,108,塞浦路斯,33,浙江省,172,28,31859
202006,108,塞浦路斯,35,福建省,80020,76282,1413930
202006,108,塞浦路斯,37,山东省,16,1,2836
202006,108,塞浦路斯,44,广东省,153663,7237,1023668
202006,108,塞浦路斯,51,四川省,5,0,4316
202006,109,朝鲜,11,北京市,1,0,383
202006,109,朝鲜,13,河北省,339,89,11501
202006,109,朝鲜,21,辽宁省,36420427,0,32908902
202006,109,朝鲜,22,吉林省,16550480,205545,20703204
202006,109,朝鲜,33,浙江省,75452,0,374765
202006,109,朝鲜,37,山东省,48161,0,1025193
202006,109,朝鲜,43,湖南省,7090,6603,399624
202006,109,朝鲜,44,广东省,1481514,0,7632653
202006,109,朝鲜,65,新疆维吾尔自治区,6077,5700,1807106
202006,110,中国香港,11,北京市,4648545,1316624,160710225
202006,110,中国香港,12,天津市,829532,153655,24774729
202006,110,中国香港,13,河北省,1566491,3007,73070869
202006,110,中国香港,14,山西省,5722,747,6972896
202006,110,中国香港,15,内蒙古自治区,241,0,179408
202006,110,中国香港,21,辽宁省,520240,182384,31195951
202006,110,中国香港,22,吉林省,3603,128,507565
202006,110,中国香港,23,黑龙江省,9384,31,1195855
202006,110,中国香港,31,上海市,17730050,3417890,141149934
202006,110,中国香港,32,江苏省,10401961,909403,70653863
202006,110,中国香港,33,浙江省,18005208,231062,255659456
202006,110,中国香港,34,安徽省,5158499,101129,49616913
202006,110,中国香港,35,福建省,2914463,90503,352404046
202006,110,中国香港,36,江西省,289525,14879,20619910
202006,110,中国香港,37,山东省,2825302,531023,91490157
202006,110,中国香港,41,河南省,10723,4718,2045339
202006,110,中国香港,42,湖北省,751643,8016,13392768
202006,110,中国香港,43,湖南省,573251,102,104592536
202006,110,中国香港,44,广东省,131560523,11991363,1366881769
202006,110,中国香港,45,广西壮族自治区,3701001,40527,817140075
202006,110,中国香港,46,海南省,209390,0,87779907
202006,110,中国香港,50,重庆市,1620,10767,4070321
202006,110,中国香港,51,四川省,13189,3572,10778057
202006,110,中国香港,53,云南省,193,480,176677
202006,110,中国香港,54,西藏自治区,6905,0,2583223
202006,110,中国香港,61,陕西省,261352,18,1427847
202006,110,中国香港,65,新疆维吾尔自治区,25486,3471,5289654
202006,111,印度,11,北京市,797411205,165337457,1542898084
202006,111,印度,12,天津市,268150249,385058,529095810
202006,111,印度,13,河北省,793710535,1517,606174519
202006,111,印度,14,山西省,2241118,0,19362225
202006,111,印度,15,内蒙古自治区,55237606,54,30519195
202006,111,印度,21,辽宁省,241674046,398866,608319415
202006,111,印度,22,吉林省,267078,3543,8648380
202006,111,印度,23,黑龙江省,209875,1420,4553321
202006,111,印度,31,上海市,358528628,1307266,2058279297
