数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
202308,101,阿富汗,11,北京市,663374
202308,101,阿富汗,12,天津市,24621775
202308,101,阿富汗,13,河北省,24842513
202308,101,阿富汗,14,山西省,332410
202308,101,阿富汗,15,内蒙古自治区,334197
202308,101,阿富汗,21,辽宁省,1245886
202308,101,阿富汗,31,上海市,627221
202308,101,阿富汗,32,江苏省,44634411
202308,101,阿富汗,33,浙江省,195603345
202308,101,阿富汗,34,安徽省,1062668
202308,101,阿富汗,35,福建省,2654617
202308,101,阿富汗,36,江西省,1348265
202308,101,阿富汗,37,山东省,78658059
202308,101,阿富汗,41,河南省,21798505
202308,101,阿富汗,42,湖北省,1692270
202308,101,阿富汗,43,湖南省,13073274
202308,101,阿富汗,44,广东省,86349810
202308,101,阿富汗,45,广西壮族自治区,347994
202308,101,阿富汗,46,海南省,16227
202308,101,阿富汗,50,重庆市,7142281
202308,101,阿富汗,51,四川省,888841
202308,101,阿富汗,53,云南省,1051559
202308,101,阿富汗,61,陕西省,6049115
202308,101,阿富汗,65,新疆维吾尔自治区,3002886
202308,102,巴林,11,北京市,4639778
202308,102,巴林,12,天津市,6284918
202308,102,巴林,13,河北省,80590189
202308,102,巴林,14,山西省,701523
202308,102,巴林,15,内蒙古自治区,1419299
202308,102,巴林,21,辽宁省,6682582
202308,102,巴林,22,吉林省,1720078
202308,102,巴林,23,黑龙江省,2916624
202308,102,巴林,31,上海市,45160901
202308,102,巴林,32,江苏省,38541813
202308,102,巴林,33,浙江省,119098936
202308,102,巴林,34,安徽省,23361561
202308,102,巴林,35,福建省,12416716
202308,102,巴林,36,江西省,4885677
202308,102,巴林,37,山东省,117869002
202308,102,巴林,41,河南省,11216560
202308,102,巴林,42,湖北省,8202311
202308,102,巴林,43,湖南省,23944384
202308,102,巴林,44,广东省,192466042
202308,102,巴林,45,广西壮族自治区,6033573
202308,102,巴林,46,海南省,967337
202308,102,巴林,50,重庆市,21924983
202308,102,巴林,51,四川省,3259379
202308,102,巴林,53,云南省,302934
202308,102,巴林,54,西藏自治区,2397775
202308,102,巴林,61,陕西省,1140637
202308,102,巴林,65,新疆维吾尔自治区,1066424
202308,103,孟加拉国,11,北京市,1703399106
202308,103,孟加拉国,12,天津市,117435709
202308,103,孟加拉国,13,河北省,169485756
202308,103,孟加拉国,14,山西省,26365406
202308,103,孟加拉国,15,内蒙古自治区,8018112
202308,103,孟加拉国,21,辽宁省,43548456
202308,103,孟加拉国,22,吉林省,10985752
202308,103,孟加拉国,23,黑龙江省,43317627
202308,103,孟加拉国,31,上海市,624383392
202308,103,孟加拉国,32,江苏省,2198671577
