数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
202412,101,阿富汗,11,北京市,22592701
202412,101,阿富汗,13,河北省,1313
202412,101,阿富汗,31,上海市,396441
202412,101,阿富汗,33,浙江省,34272787
202412,101,阿富汗,34,安徽省,4105
202412,101,阿富汗,35,福建省,100477
202412,101,阿富汗,37,山东省,611675
202412,101,阿富汗,41,河南省,1340
202412,101,阿富汗,42,湖北省,2209
202412,101,阿富汗,44,广东省,386490
202412,101,阿富汗,50,重庆市,6517
202412,101,阿富汗,61,陕西省,212989
202412,101,阿富汗,63,青海省,761628
202412,102,巴林,11,北京市,9027
202412,102,巴林,12,天津市,122139
202412,102,巴林,31,上海市,88805
202412,102,巴林,32,江苏省,300437
202412,102,巴林,33,浙江省,14748770
202412,102,巴林,37,山东省,1829592
202412,102,巴林,41,河南省,17
202412,102,巴林,44,广东省,231088
202412,102,巴林,51,四川省,5704
202412,103,孟加拉国,11,北京市,13241568
202412,103,孟加拉国,12,天津市,7858559
202412,103,孟加拉国,13,河北省,12974696
202412,103,孟加拉国,21,辽宁省,22071600
202412,103,孟加拉国,22,吉林省,7997
202412,103,孟加拉国,31,上海市,238009482
202412,103,孟加拉国,32,江苏省,97636396
202412,103,孟加拉国,33,浙江省,122211799
202412,103,孟加拉国,34,安徽省,7755626
202412,103,孟加拉国,35,福建省,9403834
202412,103,孟加拉国,36,江西省,7995036
202412,103,孟加拉国,37,山东省,49817528
202412,103,孟加拉国,41,河南省,94008549
202412,103,孟加拉国,42,湖北省,4892540
202412,103,孟加拉国,43,湖南省,26305568
202412,103,孟加拉国,44,广东省,143955507
202412,103,孟加拉国,45,广西壮族自治区,15514720
202412,103,孟加拉国,46,海南省,2626576
202412,103,孟加拉国,51,四川省,22544520
202412,103,孟加拉国,53,云南省,3869110
202412,103,孟加拉国,61,陕西省,55285
202412,104,不丹,31,上海市,288
202412,104,不丹,32,江苏省,643
202412,104,不丹,44,广东省,78
202412,105,文莱,11,北京市,2904
202412,105,文莱,21,辽宁省,112823500
202412,105,文莱,31,上海市,78735134
202412,105,文莱,32,江苏省,166131350
202412,105,文莱,33,浙江省,538210318
202412,105,文莱,34,安徽省,388155
202412,105,文莱,41,河南省,49361
202412,105,文莱,44,广东省,396756
202412,105,文莱,45,广西壮族自治区,3414173
202412,106,缅甸,11,北京市,152530539
202412,106,缅甸,12,天津市,211112
202412,106,缅甸,13,河北省,9077183
202412,106,缅甸,21,辽宁省,8902692
202412,106,缅甸,23,黑龙江省,2959691
202412,106,缅甸,31,上海市,73832871
202412,106,缅甸,32,江苏省,42361303
202412,106,缅甸,33,浙江省,71015608
202412,106,缅甸,34,安徽省,49953538
202412,106,缅甸,35,福建省,27855205
202412,106,缅甸,36,江西省,11434945
202412,106,缅甸,37,山东省,314090974
202412,106,缅甸,41,河南省,325562147
202412,106,缅甸,42,湖北省,10441629
202412,106,缅甸,43,湖南省,39558582
202412,106,缅甸,44,广东省,225357223
202412,106,缅甸,45,广西壮族自治区,28342652
202412,106,缅甸,46,海南省,14138769
202412,106,缅甸,50,重庆市,6784636
202412,106,缅甸,51,四川省,2942479
202412,106,缅甸,52,贵州省,1178962
202412,106,缅甸,53,云南省,2435149323
202412,106,缅甸,61,陕西省,655
202412,107,柬埔寨,11,北京市,273007432
202412,107,柬埔寨,12,天津市,14208511
202412,107,柬埔寨,13,河北省,61429871
202412,107,柬埔寨,14,山西省,3918600
202412,107,柬埔寨,21,辽宁省,58008356
202412,107,柬埔寨,22,吉林省,1353675
202412,107,柬埔寨,31,上海市,328470516
202412,107,柬埔寨,32,江苏省,93036793
202412,107,柬埔寨,33,浙江省,130578328
202412,107,柬埔寨,34,安徽省,14687889
202412,107,柬埔寨,35,福建省,191914492
202412,107,柬埔寨,36,江西省,21015469
202412,107,柬埔寨,37,山东省,33941763
202412,107,柬埔寨,41,河南省,21043605
202412,107,柬埔寨,42,湖北省,188885
202412,107,柬埔寨,43,湖南省,49103375
202412,107,柬埔寨,44,广东省,287988176
202412,107,柬埔寨,45,广西壮族自治区,27946178
202412,107,柬埔寨,46,海南省,141550522
202412,107,柬埔寨,50,重庆市,17215062
202412,107,柬埔寨,51,四川省,2168704
202412,107,柬埔寨,54,西藏自治区,1550
202412,107,柬埔寨,61,陕西省,390998
202412,107,柬埔寨,62,甘肃省,466139
202412,108,塞浦路斯,11,北京市,3529842
202412,108,塞浦路斯,12,天津市,1638680
202412,108,塞浦路斯,13,河北省,25889
202412,108,塞浦路斯,21,辽宁省,1866290
202412,108,塞浦路斯,31,上海市,2466815
202412,108,塞浦路斯,32,江苏省,368179
202412,108,塞浦路斯,33,浙江省,8285239
202412,108,塞浦路斯,35,福建省,627
202412,108,塞浦路斯,37,山东省,97106
202412,108,塞浦路斯,41,河南省,3554
202412,108,塞浦路斯,44,广东省,4112828
202412,108,塞浦路斯,46,海南省,1984305
202412,109,朝鲜,11,北京市,2101
202412,109,朝鲜,21,辽宁省,104773033
202412,109,朝鲜,22,吉林省,110271402
202412,109,朝鲜,31,上海市,356722
202412,109,朝鲜,32,江苏省,65800
202412,109,朝鲜,33,浙江省,4548
202412,109,朝鲜,37,山东省,41307344
