数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,人民币
202109,101,阿富汗,11,北京市,49,29,48475
202109,101,阿富汗,12,天津市,26880,0,391513
202109,101,阿富汗,21,辽宁省,1,2,1967
202109,101,阿富汗,31,上海市,28151,20,999832
202109,101,阿富汗,32,江苏省,36082,0,50564
202109,101,阿富汗,33,浙江省,3,1,881
202109,101,阿富汗,35,福建省,24,0,3139
202109,101,阿富汗,37,山东省,4,0,1245
202109,101,阿富汗,44,广东省,17463,72,309359
202109,101,阿富汗,51,四川省,11,0,15015
202109,102,巴林,11,北京市,10000185,13850020,45223774
202109,102,巴林,12,天津市,234973,261592,1794121
202109,102,巴林,31,上海市,204820,89720,868465
202109,102,巴林,32,江苏省,1503157,0,26680082
202109,102,巴林,33,浙江省,583256,1,13703886
202109,102,巴林,35,福建省,24,0,748
202109,102,巴林,37,山东省,0,0,195
202109,102,巴林,41,河南省,1,0,339
202109,102,巴林,44,广东省,1001598,89,17344307
202109,102,巴林,45,广西壮族自治区,3011134,0,53830617
202109,102,巴林,51,四川省,0,0,130
202109,102,巴林,61,陕西省,30,0,3262
202109,103,孟加拉国,11,北京市,5223330,567523,48878399
202109,103,孟加拉国,12,天津市,122902,195,487821
202109,103,孟加拉国,13,河北省,1830622,1,17701767
202109,103,孟加拉国,14,山西省,2,2,2940
202109,103,孟加拉国,21,辽宁省,1243352,80,7257016
202109,103,孟加拉国,22,吉林省,40000,0,282666
202109,103,孟加拉国,31,上海市,3909703,1174851,182289875
202109,103,孟加拉国,32,江苏省,1583276,295831,100518913
202109,103,孟加拉国,33,浙江省,3303854,41350,39519733
202109,103,孟加拉国,34,安徽省,518717,33094,3728321
202109,103,孟加拉国,35,福建省,802971,18491,5978821
202109,103,孟加拉国,36,江西省,453183,0,5991958
202109,103,孟加拉国,37,山东省,353112,16538,9707014
202109,103,孟加拉国,41,河南省,121828,8269,19215178
202109,103,孟加拉国,42,湖北省,351690,26025,1744732
202109,103,孟加拉国,43,湖南省,510818,770,3103819
202109,103,孟加拉国,44,广东省,3544662,1988377,69673240
202109,103,孟加拉国,45,广西壮族自治区,168000,0,1164941
202109,103,孟加拉国,46,海南省,2441,1432,2164999
202109,103,孟加拉国,51,四川省,102233,204,1212590
202109,103,孟加拉国,53,云南省,5309,0,125473
