数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
202404,101,阿富汗,11,北京市,"15,226"
202404,101,阿富汗,12,天津市,"79,775"
202404,101,阿富汗,31,上海市,"162,966"
202404,101,阿富汗,33,浙江省,"5,191,470"
202404,101,阿富汗,37,山东省,"3,915,861"
202404,101,阿富汗,42,湖北省,"22,965"
202404,101,阿富汗,44,广东省,"310,916"
202404,102,巴林,11,北京市,"4,718"
202404,102,巴林,12,天津市,248
202404,102,巴林,31,上海市,"389,173"
202404,102,巴林,32,江苏省,"13,096,749"
202404,102,巴林,33,浙江省,"7,296,285"
202404,102,巴林,35,福建省,"2,200,492"
202404,102,巴林,36,江西省,"1,124,317"
202404,102,巴林,37,山东省,"825,546"
202404,102,巴林,41,河南省,"198,876"
202404,102,巴林,42,湖北省,56
202404,102,巴林,44,广东省,"618,040"
202404,102,巴林,51,四川省,606
202404,103,孟加拉国,11,北京市,"7,787,617"
202404,103,孟加拉国,12,天津市,"2,388,940"
202404,103,孟加拉国,13,河北省,"7,070,068"
202404,103,孟加拉国,21,辽宁省,"11,203,345"
202404,103,孟加拉国,31,上海市,"269,362,272"
202404,103,孟加拉国,32,江苏省,"28,636,099"
202404,103,孟加拉国,33,浙江省,"90,283,289"
202404,103,孟加拉国,34,安徽省,"3,240,084"
202404,103,孟加拉国,35,福建省,"13,526,928"
202404,103,孟加拉国,36,江西省,"2,904,958"
202404,103,孟加拉国,37,山东省,"20,673,729"
202404,103,孟加拉国,41,河南省,"71,966,190"
202404,103,孟加拉国,42,湖北省,"4,267,353"
202404,103,孟加拉国,43,湖南省,"16,372,435"
202404,103,孟加拉国,44,广东省,"112,255,035"
202404,103,孟加拉国,45,广西壮族自治区,"10,370,370"
202404,103,孟加拉国,46,海南省,"723,559"
202404,103,孟加拉国,50,重庆市,"22,766"
202404,103,孟加拉国,51,四川省,"5,131,794"
202404,103,孟加拉国,53,云南省,"2,393,867"
202404,103,孟加拉国,61,陕西省,"810,819"
202404,104,不丹,32,江苏省,"2,679"
202404,104,不丹,33,浙江省,250
202404,105,文莱,11,北京市,"207,517,462"
202404,105,文莱,31,上海市,"141,181,812"
202404,105,文莱,32,江苏省,"435,496,560"
202404,105,文莱,33,浙江省,"127,680,941"
202404,105,文莱,44,广东省,"649,891"
202404,105,文莱,46,海南省,"548,623,162"
202404,105,文莱,51,四川省,214
202404,106,缅甸,11,北京市,"151,604,518"
202404,106,缅甸,12,天津市,"11,553,486"
202404,106,缅甸,13,河北省,"30,618,248"
202404,106,缅甸,21,辽宁省,"10,039,557"
202404,106,缅甸,23,黑龙江省,"2,331,699"
202404,106,缅甸,31,上海市,"38,380,601"
202404,106,缅甸,32,江苏省,"37,601,493"
202404,106,缅甸,33,浙江省,"68,204,137"
202404,106,缅甸,34,安徽省,"50,604,755"
202404,106,缅甸,35,福建省,"38,902,039"
202404,106,缅甸,36,江西省,"9,595,993"
202404,106,缅甸,37,山东省,"330,344,083"
202404,106,缅甸,41,河南省,"360,221,515"
202404,106,缅甸,42,湖北省,"15,165,857"
202404,106,缅甸,43,湖南省,"34,877,955"
202404,106,缅甸,44,广东省,"196,602,105"
202404,106,缅甸,45,广西壮族自治区,"39,348,235"
202404,106,缅甸,46,海南省,"3,451,457"
202404,106,缅甸,50,重庆市,"7,427,725"
202404,106,缅甸,51,四川省,"6,610,252"
202404,106,缅甸,52,贵州省,"804,777"
202404,106,缅甸,53,云南省,"3,063,520,004"
202404,106,缅甸,61,陕西省,"54,635,699"
202404,106,缅甸,62,甘肃省,"1,144,359"
202404,107,柬埔寨,11,北京市,"206,259,284"
202404,107,柬埔寨,12,天津市,"17,018,920"
202404,107,柬埔寨,13,河北省,"25,776,282"
202404,107,柬埔寨,15,内蒙古自治区,"3,034"
202404,107,柬埔寨,21,辽宁省,"29,539,885"
202404,107,柬埔寨,22,吉林省,"2,318,892"
202404,107,柬埔寨,23,黑龙江省,"286,574"
202404,107,柬埔寨,31,上海市,"341,565,793"
202404,107,柬埔寨,32,江苏省,"121,858,032"
202404,107,柬埔寨,33,浙江省,"218,367,373"
202404,107,柬埔寨,34,安徽省,"1,564,715"
202404,107,柬埔寨,35,福建省,"126,806,938"
202404,107,柬埔寨,36,江西省,"15,185,828"
202404,107,柬埔寨,37,山东省,"21,326,149"
202404,107,柬埔寨,41,河南省,"25,862,658"
202404,107,柬埔寨,42,湖北省,"2,589,633"
202404,107,柬埔寨,43,湖南省,"29,900,610"
202404,107,柬埔寨,44,广东省,"252,852,413"
202404,107,柬埔寨,45,广西壮族自治区,"12,835,018"
202404,107,柬埔寨,46,海南省,"841,165"
202404,107,柬埔寨,50,重庆市,"34,983,698"
202404,107,柬埔寨,51,四川省,"2,884,704"
202404,107,柬埔寨,61,陕西省,"118,449"
202404,107,柬埔寨,62,甘肃省,"1,502,393"
202404,108,塞浦路斯,11,北京市,"224,087"
202404,108,塞浦路斯,21,辽宁省,"396,702"
202404,108,塞浦路斯,31,上海市,"1,427,467"
202404,108,塞浦路斯,32,江苏省,"76,976"
202404,108,塞浦路斯,33,浙江省,"2,023,983"
202404,108,塞浦路斯,35,福建省,"273,347"
202404,108,塞浦路斯,37,山东省,"226,741"
202404,108,塞浦路斯,44,广东省,"2,739,711"
202404,109,朝鲜,13,河北省,"507,650"
202404,109,朝鲜,21,辽宁省,"77,879,130"
202404,109,朝鲜,22,吉林省,"68,503,708"
202404,109,朝鲜,33,浙江省,"135,466"
202404,109,朝鲜,37,山东省,"27,588,926"
202404,109,朝鲜,41,河南省,"3,904,996"
202404,109,朝鲜,44,广东省,"27,395,750"
202404,109,朝鲜,51,四川省,"600,186"
202404,110,中国香港,11,北京市,"3,549,524,170"
202404,110,中国香港,12,天津市,"12,605,150"
202404,110,中国香港,13,河北省,"13,545,481"
202404,110,中国香港,15,内蒙古自治区,"256,700"
202404,110,中国香港,21,辽宁省,"18,892,993"
202404,110,中国香港,22,吉林省,"11,710"
202404,110,中国香港,23,黑龙江省,604
202404,110,中国香港,31,上海市,"2,611,423,672"
202404,110,中国香港,32,江苏省,"165,761,766"
202404,110,中国香港,33,浙江省,"218,826,858"
202404,110,中国香港,34,安徽省,"17,398,328"
202404,110,中国香港,35,福建省,"170,993,914"
202404,110,中国香港,36,江西省,"135,260,527"
202404,110,中国香港,37,山东省,"123,351,518"
202404,110,中国香港,41,河南省,"14,852,141"
202404,110,中国香港,42,湖北省,"11,066,408"
202404,110,中国香港,43,湖南省,"1,961,243,477"
202404,110,中国香港,44,广东省,"5,010,382,612"
202404,110,中国香港,45,广西壮族自治区,"9,360,817"
202404,110,中国香港,46,海南省,"118,004,664"
202404,110,中国香港,50,重庆市,"11,874,243"
202404,110,中国香港,51,四川省,"60,549,065"
202404,110,中国香港,52,贵州省,"979,237"
202404,110,中国香港,53,云南省,"24,976,393"
202404,110,中国香港,54,西藏自治区,"72,501"
202404,110,中国香港,61,陕西省,"68,838,079"
202404,110,中国香港,62,甘肃省,"38,786"
202404,110,中国香港,64,宁夏回族自治区,"31,291,180"
202404,110,中国香港,65,新疆维吾尔自治区,"2,552,293"
202404,111,印度,11,北京市,"381,073,008"
202404,111,印度,12,天津市,"457,047,135"
202404,111,印度,13,河北省,"429,508,946"
202404,111,印度,14,山西省,"45,403,161"
202404,111,印度,15,内蒙古自治区,"2,429,541"
202404,111,印度,21,辽宁省,"223,235,016"
202404,111,印度,22,吉林省,"24,406,568"
202404,111,印度,23,黑龙江省,"6,043,924"
202404,111,印度,31,上海市,"1,862,754,182"
202404,111,印度,32,江苏省,"1,317,935,210"
202404,111,印度,33,浙江省,"1,497,333,461"
202404,111,印度,34,安徽省,"159,300,599"
202404,111,印度,35,福建省,"752,818,705"
202404,111,印度,36,江西省,"36,886,979"
202404,111,印度,37,山东省,"1,771,355,619"
202404,111,印度,41,河南省,"486,188,498"
202404,111,印度,42,湖北省,"207,894,492"
202404,111,印度,43,湖南省,"115,729,984"
202404,111,印度,44,广东省,"1,755,930,085"
202404,111,印度,45,广西壮族自治区,"85,941,562"
202404,111,印度,46,海南省,"29,447,005"
202404,111,印度,50,重庆市,"29,626,225"
202404,111,印度,51,四川省,"76,469,319"
202404,111,印度,52,贵州省,"8,953,489"
202404,111,印度,53,云南省,"36,461,975"
202404,111,印度,54,西藏自治区,"226,963"
202404,111,印度,61,陕西省,"178,798,081"
202404,111,印度,62,甘肃省,"4,319,669"
202404,111,印度,63,青海省,"4,195,443"
202404,111,印度,64,宁夏回族自治区,"158,237"
202404,111,印度,65,新疆维吾尔自治区,"97,265,049"
202404,112,印度尼西亚,11,北京市,"1,655,899,468"
202404,112,印度尼西亚,12,天津市,"450,672,165"
202404,112,印度尼西亚,13,河北省,"367,744,717"
202404,112,印度尼西亚,14,山西省,"867,564,966"
202404,112,印度尼西亚,15,内蒙古自治区,"86,587,452"
202404,112,印度尼西亚,21,辽宁省,"133,341,178"
202404,112,印度尼西亚,22,吉林省,"102,545,159"
202404,112,印度尼西亚,23,黑龙江省,"164,062,058"
202404,112,印度尼西亚,31,上海市,"3,775,561,824"
202404,112,印度尼西亚,32,江苏省,"4,402,143,899"
202404,112,印度尼西亚,33,浙江省,"6,525,923,248"
202404,112,印度尼西亚,34,安徽省,"370,863,818"
202404,112,印度尼西亚,35,福建省,"7,121,660,605"
202404,112,印度尼西亚,36,江西省,"516,689,573"
202404,112,印度尼西亚,37,山东省,"2,432,746,281"
202404,112,印度尼西亚,41,河南省,"250,648,118"
202404,112,印度尼西亚,42,湖北省,"986,678,013"
202404,112,印度尼西亚,43,湖南省,"549,915,941"
202404,112,印度尼西亚,44,广东省,"5,176,156,116"
202404,112,印度尼西亚,45,广西壮族自治区,"910,598,318"
202404,112,印度尼西亚,46,海南省,"737,305,484"
202404,112,印度尼西亚,50,重庆市,"333,601,773"
202404,112,印度尼西亚,51,四川省,"443,302,785"
202404,112,印度尼西亚,52,贵州省,"552,163,087"
202404,112,印度尼西亚,53,云南省,"5,698,932"
202404,112,印度尼西亚,54,西藏自治区,"5,454"
202404,112,印度尼西亚,61,陕西省,"267,741,865"
202404,112,印度尼西亚,62,甘肃省,"213,648,224"
202404,112,印度尼西亚,63,青海省,"255,695"
202404,112,印度尼西亚,64,宁夏回族自治区,"7,846,134"
202404,112,印度尼西亚,65,新疆维吾尔自治区,"501,212,539"
202404,113,伊朗,11,北京市,"102,052,327"
202404,113,伊朗,12,天津市,"199,418,206"
202404,113,伊朗,13,河北省,"826,705"
202404,113,伊朗,31,上海市,"342,896,204"
202404,113,伊朗,32,江苏省,"411,201,487"
202404,113,伊朗,33,浙江省,"423,453,526"
202404,113,伊朗,34,安徽省,"137,482,476"
202404,113,伊朗,35,福建省,"132,964,661"
202404,113,伊朗,36,江西省,"362,572"
202404,113,伊朗,37,山东省,"182,145,523"
202404,113,伊朗,41,河南省,"291,652"
202404,113,伊朗,42,湖北省,"7,418,188"
202404,113,伊朗,43,湖南省,"862,631"
202404,113,伊朗,44,广东省,"95,863,529"
202404,113,伊朗,46,海南省,"40,694,128"
202404,113,伊朗,51,四川省,"272,745"
202404,113,伊朗,64,宁夏回族自治区,"4,983"
202404,113,伊朗,65,新疆维吾尔自治区,"79,084"
202404,114,伊拉克,11,北京市,"14,786,976,419"
202404,114,伊拉克,12,天津市,"3,559"
202404,114,伊拉克,13,河北省,"807,191"
202404,114,伊拉克,21,辽宁省,"1,318,679,968"
202404,114,伊拉克,31,上海市,"6,450,968"
202404,114,伊拉克,32,江苏省,"3,745,833,210"
202404,114,伊拉克,33,浙江省,"2,623,154,651"
202404,114,伊拉克,35,福建省,"1,871,199,220"
202404,114,伊拉克,36,江西省,584
202404,114,伊拉克,37,山东省,"14,890"
202404,114,伊拉克,44,广东省,"268,426,796"
202404,114,伊拉克,51,四川省,213
202404,115,以色列,11,北京市,"272,698,780"
202404,115,以色列,12,天津市,"42,092,408"
202404,115,以色列,13,河北省,"3,411,574"
202404,115,以色列,14,山西省,"2,878,807"
202404,115,以色列,21,辽宁省,"14,624,930"
202404,115,以色列,22,吉林省,"11,687,729"
202404,115,以色列,23,黑龙江省,"4,733,972"
202404,115,以色列,31,上海市,"616,878,008"
202404,115,以色列,32,江苏省,"447,880,356"
202404,115,以色列,33,浙江省,"161,865,419"
202404,115,以色列,34,安徽省,"13,470,211"
202404,115,以色列,35,福建省,"45,498,542"
202404,115,以色列,36,江西省,"3,035,207"
202404,115,以色列,37,山东省,"125,263,256"
202404,115,以色列,41,河南省,"9,193,079"
202404,115,以色列,42,湖北省,"15,690,886"
202404,115,以色列,43,湖南省,"1,552,043"
202404,115,以色列,44,广东省,"769,238,445"
202404,115,以色列,45,广西壮族自治区,"7,123,592"
202404,115,以色列,46,海南省,"1,536,076"
202404,115,以色列,50,重庆市,"6,383,564"
202404,115,以色列,51,四川省,"1,990,741,339"
202404,115,以色列,52,贵州省,62
202404,115,以色列,53,云南省,"1,813,121"
202404,115,以色列,61,陕西省,"28,385,177"
202404,115,以色列,62,甘肃省,"59,952"
202404,115,以色列,63,青海省,"2,590"
202404,115,以色列,64,宁夏回族自治区,"1,116,289"
202404,116,日本,11,北京市,"9,223,154,492"
202404,116,日本,12,天津市,"2,700,943,693"
