数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
201504,101,阿富汗,11,北京市,2010594
201504,101,阿富汗,12,天津市,339234
201504,101,阿富汗,31,上海市,882615
201504,101,阿富汗,32,江苏省,55400
201504,101,阿富汗,44,广东省,230228
201504,101,阿富汗,63,青海省,667884
201504,101,阿富汗,65,新疆维吾尔自治区,572470
201504,102,巴林,12,天津市,138794
201504,102,巴林,31,上海市,18583
201504,102,巴林,32,江苏省,15228333
201504,102,巴林,33,浙江省,1365886
201504,102,巴林,34,安徽省,89046
201504,102,巴林,37,山东省,1224507
201504,102,巴林,41,河南省,240715
201504,102,巴林,42,湖北省,6206042
201504,102,巴林,44,广东省,7476472
201504,102,巴林,50,重庆市,185906
201504,103,孟加拉国,11,北京市,59668113
201504,103,孟加拉国,12,天津市,14273390
201504,103,孟加拉国,13,河北省,1823188
201504,103,孟加拉国,21,辽宁省,588939
201504,103,孟加拉国,22,吉林省,1529960
201504,103,孟加拉国,31,上海市,234510592
201504,103,孟加拉国,32,江苏省,15195827
201504,103,孟加拉国,33,浙江省,17102298
201504,103,孟加拉国,34,安徽省,8722353
201504,103,孟加拉国,35,福建省,3371920
201504,103,孟加拉国,36,江西省,3988188
201504,103,孟加拉国,37,山东省,10851799
201504,103,孟加拉国,41,河南省,2299782
201504,103,孟加拉国,42,湖北省,1322755
201504,103,孟加拉国,43,湖南省,9128116
201504,103,孟加拉国,44,广东省,64784298
201504,103,孟加拉国,45,广西壮族自治区,1896104
201504,103,孟加拉国,46,海南省,17051
201504,103,孟加拉国,50,重庆市,13459
201504,103,孟加拉国,51,四川省,389712
201504,103,孟加拉国,53,云南省,5923962
201504,103,孟加拉国,61,陕西省,270
201504,103,孟加拉国,63,青海省,138253
201504,104,不丹,31,上海市,1351523
201504,105,文莱,31,上海市,9016351
201504,105,文莱,35,福建省,321593
201504,105,文莱,44,广东省,601106
201504,106,缅甸,11,北京市,120860199
201504,106,缅甸,12,天津市,2750994
201504,106,缅甸,14,山西省,334303854
201504,106,缅甸,21,辽宁省,21499401
201504,106,缅甸,31,上海市,18624787
201504,106,缅甸,32,江苏省,1343922
201504,106,缅甸,33,浙江省,6223517
201504,106,缅甸,35,福建省,13590613
201504,106,缅甸,36,江西省,2120075
201504,106,缅甸,37,山东省,14030151
201504,106,缅甸,41,河南省,1336
201504,106,缅甸,42,湖北省,161690
201504,106,缅甸,43,湖南省,557858
201504,106,缅甸,44,广东省,33381320
201504,106,缅甸,50,重庆市,3837
201504,106,缅甸,53,云南省,1717872186
201504,106,缅甸,61,陕西省,1383608
201504,106,缅甸,62,甘肃省,1808382
201504,107,柬埔寨,11,北京市,123721189
