数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
201509,101,阿富汗,11,北京市,47637
201509,101,阿富汗,12,天津市,160227
201509,101,阿富汗,13,河北省,2502872
201509,101,阿富汗,31,上海市,3387
201509,101,阿富汗,35,福建省,2273923
201509,101,阿富汗,44,广东省,148681
201509,101,阿富汗,63,青海省,2507350
201509,101,阿富汗,65,新疆维吾尔自治区,276964
201509,102,巴林,11,北京市,1549443
201509,102,巴林,12,天津市,96707
201509,102,巴林,31,上海市,274521
201509,102,巴林,32,江苏省,17220623
201509,102,巴林,33,浙江省,1236742
201509,102,巴林,35,福建省,25510776
201509,102,巴林,37,山东省,620529
201509,102,巴林,44,广东省,4279910
201509,103,孟加拉国,11,北京市,59470390
201509,103,孟加拉国,12,天津市,8169762
201509,103,孟加拉国,13,河北省,1479711
201509,103,孟加拉国,21,辽宁省,5588
201509,103,孟加拉国,22,吉林省,1203447
201509,103,孟加拉国,31,上海市,163695855
201509,103,孟加拉国,32,江苏省,45185317
201509,103,孟加拉国,33,浙江省,17316073
201509,103,孟加拉国,34,安徽省,2369912
201509,103,孟加拉国,35,福建省,3170850
201509,103,孟加拉国,36,江西省,3599913
201509,103,孟加拉国,37,山东省,5439799
201509,103,孟加拉国,41,河南省,6594253
201509,103,孟加拉国,42,湖北省,716985
201509,103,孟加拉国,43,湖南省,1767758
201509,103,孟加拉国,44,广东省,47024715
201509,103,孟加拉国,45,广西壮族自治区,4591308
201509,103,孟加拉国,46,海南省,201247
201509,103,孟加拉国,50,重庆市,15205
201509,103,孟加拉国,51,四川省,39170
201509,103,孟加拉国,53,云南省,11651410
201509,103,孟加拉国,63,青海省,144743
201509,103,孟加拉国,65,新疆维吾尔自治区,164301
201509,104,不丹,31,上海市,168
201509,104,不丹,32,江苏省,38378
201509,105,文莱,12,天津市,8166
201509,105,文莱,31,上海市,5448
201509,105,文莱,35,福建省,1544188
201509,105,文莱,44,广东省,11799
201509,106,缅甸,11,北京市,6510579
201509,106,缅甸,13,河北省,631698
201509,106,缅甸,14,山西省,257501899
201509,106,缅甸,21,辽宁省,3020153
201509,106,缅甸,31,上海市,49290008
201509,106,缅甸,32,江苏省,6011159
201509,106,缅甸,33,浙江省,3328795
201509,106,缅甸,35,福建省,4315715
201509,106,缅甸,36,江西省,3597041
201509,106,缅甸,37,山东省,14854677
201509,106,缅甸,41,河南省,89732
201509,106,缅甸,42,湖北省,1046648
201509,106,缅甸,44,广东省,34767982
201509,106,缅甸,45,广西壮族自治区,603817
201509,106,缅甸,51,四川省,32793229
201509,106,缅甸,53,云南省,1409864773
201509,107,柬埔寨,11,北京市,13143728
201509,107,柬埔寨,12,天津市,4769209
201509,107,柬埔寨,13,河北省,40781354
201509,107,柬埔寨,21,辽宁省,19828862
201509,107,柬埔寨,23,黑龙江省,213
201509,107,柬埔寨,31,上海市,137884438
201509,107,柬埔寨,32,江苏省,48893571
201509,107,柬埔寨,33,浙江省,13167318
201509,107,柬埔寨,34,安徽省,337709
201509,107,柬埔寨,35,福建省,35681716
201509,107,柬埔寨,36,江西省,695823
201509,107,柬埔寨,37,山东省,10300415
201509,107,柬埔寨,41,河南省,132842
201509,107,柬埔寨,43,湖南省,3069725
201509,107,柬埔寨,44,广东省,49008520
201509,107,柬埔寨,45,广西壮族自治区,15619202
201509,107,柬埔寨,46,海南省,549484
201509,107,柬埔寨,50,重庆市,36291
201509,108,塞浦路斯,11,北京市,13885049
201509,108,塞浦路斯,12,天津市,894104
201509,108,塞浦路斯,31,上海市,999118
201509,108,塞浦路斯,32,江苏省,125310
201509,108,塞浦路斯,33,浙江省,941883
201509,108,塞浦路斯,44,广东省,1416426
201509,108,塞浦路斯,51,四川省,7604350
201509,109,朝鲜,11,北京市,35244
201509,109,朝鲜,12,天津市,10563617
201509,109,朝鲜,13,河北省,8935086
201509,109,朝鲜,14,山西省,4338904
201509,109,朝鲜,21,辽宁省,542203085
201509,109,朝鲜,22,吉林省,326889986
201509,109,朝鲜,31,上海市,2778312
201509,109,朝鲜,32,江苏省,25117001
201509,109,朝鲜,33,浙江省,10261594
201509,109,朝鲜,34,安徽省,574068
201509,109,朝鲜,35,福建省,2112194
201509,109,朝鲜,36,江西省,10784
201509,109,朝鲜,37,山东省,350166955
201509,109,朝鲜,42,湖北省,350984
201509,109,朝鲜,44,广东省,312898963
201509,109,朝鲜,45,广西壮族自治区,23136696
201509,109,朝鲜,51,四川省,759373
201509,109,朝鲜,53,云南省,658906
201509,109,朝鲜,62,甘肃省,3969180
201509,110,中国香港,11,北京市,113292629
201509,110,中国香港,12,天津市,336313180
201509,110,中国香港,13,河北省,14979745
201509,110,中国香港,14,山西省,104023
201509,110,中国香港,21,辽宁省,57890544
201509,110,中国香港,22,吉林省,2993516
201509,110,中国香港,31,上海市,1483624751
201509,110,中国香港,32,江苏省,242724705
201509,110,中国香港,33,浙江省,97612115
201509,110,中国香港,34,安徽省,10703533
201509,110,中国香港,35,福建省,38767027
201509,110,中国香港,36,江西省,24845377
201509,110,中国香港,37,山东省,114766288
201509,110,中国香港,41,河南省,1630128
201509,110,中国香港,42,湖北省,6784446
201509,110,中国香港,43,湖南省,179608135
201509,110,中国香港,44,广东省,2660098824
201509,110,中国香港,45,广西壮族自治区,324092248
201509,110,中国香港,46,海南省,45315
201509,110,中国香港,50,重庆市,2178341
201509,110,中国香港,51,四川省,466228768
201509,110,中国香港,52,贵州省,1812083
201509,110,中国香港,53,云南省,558548
201509,110,中国香港,61,陕西省,7352815
201509,110,中国香港,62,甘肃省,671612
201509,110,中国香港,64,宁夏回族自治区,8671239
201509,111,印度,11,北京市,874708198
201509,111,印度,12,天津市,124583233
201509,111,印度,13,河北省,167343369
201509,111,印度,14,山西省,1298578
201509,111,印度,15,内蒙古自治区,50698
201509,111,印度,21,辽宁省,88348179
201509,111,印度,22,吉林省,6086231
201509,111,印度,23,黑龙江省,923426
201509,111,印度,31,上海市,1592713564
201509,111,印度,32,江苏省,676190403
201509,111,印度,33,浙江省,388981880
201509,111,印度,34,安徽省,200405856
201509,111,印度,35,福建省,545583112
201509,111,印度,36,江西省,7077788
201509,111,印度,37,山东省,942837221
201509,111,印度,41,河南省,30690771
201509,111,印度,42,湖北省,39100764
201509,111,印度,43,湖南省,12669365
201509,111,印度,44,广东省,1604055291
201509,111,印度,45,广西壮族自治区,10635776
201509,111,印度,46,海南省,3985768
201509,111,印度,50,重庆市,10235803
201509,111,印度,51,四川省,18152326
201509,111,印度,52,贵州省,138689
201509,111,印度,53,云南省,29816939
201509,111,印度,54,西藏自治区,8165100
201509,111,印度,61,陕西省,153295884
201509,111,印度,62,甘肃省,1221257
201509,111,印度,63,青海省,58952
201509,111,印度,64,宁夏回族自治区,454397
201509,111,印度,65,新疆维吾尔自治区,3068677
201509,112,印度尼西亚,11,北京市,1181474814
201509,112,印度尼西亚,12,天津市,295567209
201509,112,印度尼西亚,13,河北省,24417468
201509,112,印度尼西亚,14,山西省,53972844
201509,112,印度尼西亚,21,辽宁省,110332892
201509,112,印度尼西亚,22,吉林省,2414323
201509,112,印度尼西亚,23,黑龙江省,6030854
201509,112,印度尼西亚,31,上海市,1357803141
201509,112,印度尼西亚,32,江苏省,1294367656
201509,112,印度尼西亚,33,浙江省,817638684
201509,112,印度尼西亚,34,安徽省,64922967
201509,112,印度尼西亚,35,福建省,1316325933
201509,112,印度尼西亚,36,江西省,28530662
201509,112,印度尼西亚,37,山东省,1904491932
201509,112,印度尼西亚,41,河南省,144811025
201509,112,印度尼西亚,42,湖北省,62985462
201509,112,印度尼西亚,43,湖南省,68266243
201509,112,印度尼西亚,44,广东省,2446176605
201509,112,印度尼西亚,45,广西壮族自治区,412706997
201509,112,印度尼西亚,46,海南省,219536399
201509,112,印度尼西亚,50,重庆市,16269114
201509,112,印度尼西亚,51,四川省,13340753
201509,112,印度尼西亚,52,贵州省,3838
201509,112,印度尼西亚,53,云南省,3093125
201509,112,印度尼西亚,61,陕西省,7882967
201509,112,印度尼西亚,62,甘肃省,101715118
201509,112,印度尼西亚,63,青海省,625030
201509,112,印度尼西亚,64,宁夏回族自治区,15372262
201509,112,印度尼西亚,65,新疆维吾尔自治区,5813400
201509,113,伊朗,11,北京市,2405827544
201509,113,伊朗,12,天津市,69097736
201509,113,伊朗,13,河北省,62315669
201509,113,伊朗,21,辽宁省,13623298
201509,113,伊朗,23,黑龙江省,205833
201509,113,伊朗,31,上海市,246896346
201509,113,伊朗,32,江苏省,449030977
201509,113,伊朗,33,浙江省,867045433
201509,113,伊朗,34,安徽省,25850636
