数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,人民币
202202,101,阿富汗,11,北京市,130051,192,578067
202202,101,阿富汗,12,天津市,50000,4,308332
202202,101,阿富汗,13,河北省,82124,294679,3603143
202202,101,阿富汗,21,辽宁省,1,0,32
202202,101,阿富汗,31,上海市,88138,84582,605939
202202,101,阿富汗,32,江苏省,521811,255886,10137948
202202,101,阿富汗,33,浙江省,2132391,650069,29011892
202202,101,阿富汗,34,安徽省,2450,371801,236593
202202,101,阿富汗,35,福建省,76704,1,322571
202202,101,阿富汗,36,江西省,4400,0,42613
202202,101,阿富汗,37,山东省,1681425,141855,23081846
202202,101,阿富汗,41,河南省,28001,1,269653
202202,101,阿富汗,42,湖北省,68310,261,885870
202202,101,阿富汗,43,湖南省,130941,7431,1687672
202202,101,阿富汗,44,广东省,209703,271476,9324945
202202,101,阿富汗,45,广西壮族自治区,56600,13009,3463346
202202,101,阿富汗,50,重庆市,1704000,24141,413518
202202,101,阿富汗,51,四川省,13300,1715,652516
202202,101,阿富汗,65,新疆维吾尔自治区,1137870,2195,6080509
202202,102,巴林,11,北京市,5702,2732,2677091
202202,102,巴林,12,天津市,50406,45543,2235108
202202,102,巴林,13,河北省,11694906,127123,100507045
202202,102,巴林,14,山西省,140000,0,1266674
202202,102,巴林,15,内蒙古自治区,121046,0,1359880
202202,102,巴林,21,辽宁省,864337,77,16095546
202202,102,巴林,22,吉林省,76,115300,7015494
202202,102,巴林,23,黑龙江省,24000,0,1001760
202202,102,巴林,31,上海市,1684654,357859,79336133
202202,102,巴林,32,江苏省,1073214,699638,35355614
202202,102,巴林,33,浙江省,2626782,633973,50277620
202202,102,巴林,34,安徽省,603679,4342759,12048175
202202,102,巴林,35,福建省,5119075,89780,43263360
202202,102,巴林,36,江西省,1359816,84924,36552508
202202,102,巴林,37,山东省,2582270,1055088,48639011
202202,102,巴林,41,河南省,534683,2357,10847855
202202,102,巴林,42,湖北省,565910,5377412,23609740
202202,102,巴林,43,湖南省,85494,10326,1234117
202202,102,巴林,44,广东省,2536552,9950235,91069521
202202,102,巴林,45,广西壮族自治区,161405,3797,1647682
202202,102,巴林,46,海南省,45014,0,245440
202202,102,巴林,50,重庆市,82250,46786,5552462
202202,102,巴林,51,四川省,130677,73984,11051234
202202,102,巴林,52,贵州省,0,2,78
202202,102,巴林,61,陕西省,211355,0,3332930
202202,102,巴林,62,甘肃省,142316,0,3307137
202202,102,巴林,65,新疆维吾尔自治区,20000,0,559891
202202,103,孟加拉国,11,北京市,52842786,52130707,400705666
202202,103,孟加拉国,12,天津市,16286262,1141781,156992320
202202,103,孟加拉国,13,河北省,15314141,2430483,152131590
202202,103,孟加拉国,14,山西省,2542744,724949,43398406
202202,103,孟加拉国,15,内蒙古自治区,4406178,0,22521351
202202,103,孟加拉国,21,辽宁省,15060255,379314,81285396
202202,103,孟加拉国,22,吉林省,165372,8911,7404573
202202,103,孟加拉国,23,黑龙江省,333352,59623,4522742
202202,103,孟加拉国,31,上海市,71489170,7976822,595183624
202202,103,孟加拉国,32,江苏省,178350661,26117556,1822081660
202202,103,孟加拉国,33,浙江省,117983884,29008410,1392111305
202202,103,孟加拉国,34,安徽省,9511101,42583389,189647305
202202,103,孟加拉国,35,福建省,24820052,12238602,310618746
202202,103,孟加拉国,36,江西省,35457802,1989582,305586084
202202,103,孟加拉国,37,山东省,78259563,6970254,776434061
202202,103,孟加拉国,41,河南省,4899438,1065170,79055393
202202,103,孟加拉国,42,湖北省,19370233,3953171,159911124
202202,103,孟加拉国,43,湖南省,5338281,1210637,112277428
202202,103,孟加拉国,44,广东省,169221214,39390475,2175485121
202202,103,孟加拉国,45,广西壮族自治区,1694656,129441,26115895
202202,103,孟加拉国,46,海南省,3364529,0,19178940
202202,103,孟加拉国,50,重庆市,948795,433384,73978739
202202,103,孟加拉国,51,四川省,82079520,3177841,204322509
202202,103,孟加拉国,52,贵州省,1958479,1617,9303468
202202,103,孟加拉国,53,云南省,37141971,64446,138925746
202202,103,孟加拉国,61,陕西省,1648272,2027363,62104696
202202,103,孟加拉国,62,甘肃省,1568769,713,13252182
202202,103,孟加拉国,64,宁夏回族自治区,8135,0,2218486
202202,103,孟加拉国,65,新疆维吾尔自治区,2635480,11679,24038476
202202,104,不丹,11,北京市,24,84,4335
202202,104,不丹,13,河北省,3,6,235
202202,104,不丹,31,上海市,156,120,13611
202202,104,不丹,32,江苏省,30570,12094,409067
202202,104,不丹,33,浙江省,141,290,26012
202202,104,不丹,34,安徽省,178,217,14954
202202,104,不丹,35,福建省,47,87,3488
202202,104,不丹,36,江西省,11,28,1136
202202,104,不丹,37,山东省,56853,9090,1571525
202202,104,不丹,41,河南省,28693,2862,353605
202202,104,不丹,42,湖北省,45,70,2783
202202,104,不丹,43,湖南省,867,10623,25134957
202202,104,不丹,44,广东省,29789,9325,967269
202202,104,不丹,51,四川省,416,21280,683031
202202,104,不丹,54,西藏自治区,1,64,2548
202202,105,文莱,11,北京市,85897,9324,6522986
202202,105,文莱,12,天津市,13124,135,5660623
202202,105,文莱,13,河北省,316447,2832,2183107
202202,105,文莱,14,山西省,23270,0,201491
202202,105,文莱,15,内蒙古自治区,4922,0,70503
202202,105,文莱,21,辽宁省,91266,51460,2741526
202202,105,文莱,31,上海市,101689,52369,5428222
202202,105,文莱,32,江苏省,2675209,468440,51626727
202202,105,文莱,33,浙江省,383627,164184,14588248
202202,105,文莱,34,安徽省,28947,97820,2604149
202202,105,文莱,35,福建省,525145,30671,8461604
202202,105,文莱,36,江西省,113340,44721,3934661
