数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
202306,101,阿富汗,11,北京市,120995
202306,101,阿富汗,12,天津市,1257412
202306,101,阿富汗,31,上海市,119861
202306,101,阿富汗,32,江苏省,3125
202306,101,阿富汗,33,浙江省,14005499
202306,101,阿富汗,34,安徽省,186
202306,101,阿富汗,35,福建省,880
202306,101,阿富汗,37,山东省,542261
202306,101,阿富汗,42,湖北省,1973
202306,101,阿富汗,44,广东省,312074
202306,101,阿富汗,51,四川省,3935
202306,101,阿富汗,65,新疆维吾尔自治区,120106
202306,102,巴林,11,北京市,2004
202306,102,巴林,12,天津市,961792
202306,102,巴林,13,河北省,163200
202306,102,巴林,21,辽宁省,1547
202306,102,巴林,31,上海市,276500
202306,102,巴林,32,江苏省,18699397
202306,102,巴林,33,浙江省,10861153
202306,102,巴林,34,安徽省,282796
202306,102,巴林,35,福建省,58733
202306,102,巴林,36,江西省,1533507
202306,102,巴林,37,山东省,14263
202306,102,巴林,44,广东省,3996813
202306,102,巴林,51,四川省,954
202306,103,孟加拉国,11,北京市,14153261
202306,103,孟加拉国,12,天津市,846925
202306,103,孟加拉国,13,河北省,5571465
202306,103,孟加拉国,14,山西省,244
202306,103,孟加拉国,21,辽宁省,10519483
202306,103,孟加拉国,22,吉林省,222
202306,103,孟加拉国,23,黑龙江省,25270
202306,103,孟加拉国,31,上海市,219908160
202306,103,孟加拉国,32,江苏省,39021712
202306,103,孟加拉国,33,浙江省,60934183
202306,103,孟加拉国,34,安徽省,771842
202306,103,孟加拉国,35,福建省,7442444
202306,103,孟加拉国,36,江西省,2967687
202306,103,孟加拉国,37,山东省,17432452
202306,103,孟加拉国,41,河南省,34457417
202306,103,孟加拉国,42,湖北省,5215934
202306,103,孟加拉国,43,湖南省,14785488
202306,103,孟加拉国,44,广东省,143594056
202306,103,孟加拉国,45,广西壮族自治区,17126434
202306,103,孟加拉国,46,海南省,524097
202306,103,孟加拉国,50,重庆市,16144
202306,103,孟加拉国,51,四川省,20030299
202306,103,孟加拉国,52,贵州省,1248
202306,103,孟加拉国,53,云南省,649457
202306,103,孟加拉国,61,陕西省,276936
202306,104,不丹,11,北京市,216
202306,104,不丹,31,上海市,556
202306,104,不丹,32,江苏省,895
202306,104,不丹,35,福建省,8472
202306,104,不丹,44,广东省,3784
202306,105,文莱,11,北京市,458854990
202306,105,文莱,13,河北省,295847906
202306,105,文莱,21,辽宁省,157703562
202306,105,文莱,31,上海市,3568859
202306,105,文莱,32,江苏省,182
202306,105,文莱,33,浙江省,635585456
202306,105,文莱,37,山东省,18158761
202306,105,文莱,41,河南省,112464
202306,105,文莱,44,广东省,284474300
202306,105,文莱,46,海南省,155120774
202306,106,缅甸,11,北京市,61229892
202306,106,缅甸,12,天津市,2616327
202306,106,缅甸,13,河北省,6641257
202306,106,缅甸,21,辽宁省,17832927
202306,106,缅甸,23,黑龙江省,967362
202306,106,缅甸,31,上海市,71241657
202306,106,缅甸,32,江苏省,22295386
202306,106,缅甸,33,浙江省,56737723
202306,106,缅甸,34,安徽省,28881961
202306,106,缅甸,35,福建省,52008726
202306,106,缅甸,36,江西省,18091637
202306,106,缅甸,37,山东省,317431783
202306,106,缅甸,41,河南省,186982439
202306,106,缅甸,42,湖北省,12803322
202306,106,缅甸,43,湖南省,35112202
202306,106,缅甸,44,广东省,2506965769
202306,106,缅甸,45,广西壮族自治区,19720836
202306,106,缅甸,46,海南省,16019615
202306,106,缅甸,50,重庆市,7619956
202306,106,缅甸,51,四川省,20209144
202306,106,缅甸,52,贵州省,843050
