数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,第一数量,第二数量,人民币
202104,101,阿富汗,11,北京市,1367,33462,727640
202104,101,阿富汗,12,天津市,79600,1,449689
202104,101,阿富汗,13,河北省,112697,477766,5038321
202104,101,阿富汗,15,内蒙古自治区,154000,0,1029347
202104,101,阿富汗,21,辽宁省,1055743,13479,13321610
202104,101,阿富汗,23,黑龙江省,17,0,3214
202104,101,阿富汗,31,上海市,362939,219824,21613808
202104,101,阿富汗,32,江苏省,1481296,1876695,32926705
202104,101,阿富汗,33,浙江省,13419459,3633149,124907729
202104,101,阿富汗,34,安徽省,242373,53249,4057192
202104,101,阿富汗,35,福建省,17856,99642,3791104
202104,101,阿富汗,36,江西省,62179,6,1140929
202104,101,阿富汗,37,山东省,6180218,193705,44861523
202104,101,阿富汗,41,河南省,60180,51673,1445524
202104,101,阿富汗,42,湖北省,175644,1097,4090639
202104,101,阿富汗,43,湖南省,774694,148272,8211527
202104,101,阿富汗,44,广东省,608757,1236780,39689486
202104,101,阿富汗,45,广西壮族自治区,27141,6259,1543755
202104,101,阿富汗,46,海南省,50,0,97467
202104,101,阿富汗,50,重庆市,1604698,99482,3453319
202104,101,阿富汗,51,四川省,30000,3864,1571445
202104,101,阿富汗,61,陕西省,85078,1282,1107313
202104,101,阿富汗,65,新疆维吾尔自治区,13200,2836,586023
202104,102,巴林,11,北京市,81496,12646,6982753
202104,102,巴林,12,天津市,1260825,2388257,10346090
202104,102,巴林,13,河北省,1127998,617007,27844995
202104,102,巴林,14,山西省,30203,14430,1604312
202104,102,巴林,15,内蒙古自治区,43003,1,335820
202104,102,巴林,21,辽宁省,238122,6191,4035913
202104,102,巴林,22,吉林省,39328,1,649550
202104,102,巴林,23,黑龙江省,31219000,0,43453696
202104,102,巴林,31,上海市,1329362,371732,53576180
202104,102,巴林,32,江苏省,2621651,2646730,65124020
202104,102,巴林,33,浙江省,4110470,7340019,89528922
202104,102,巴林,34,安徽省,871859,5085052,25871011
202104,102,巴林,35,福建省,1570240,132186,17961805
202104,102,巴林,36,江西省,1212147,79435,40694975
202104,102,巴林,37,山东省,13234660,288707,86951901
202104,102,巴林,41,河南省,773493,1122156,25239726
202104,102,巴林,42,湖北省,691669,2198739,15879078
202104,102,巴林,43,湖南省,725294,2095505,16751267
202104,102,巴林,44,广东省,4371692,2701576,132090264
