数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
201607,101,阿富汗,11,北京市,32681944
201607,101,阿富汗,12,天津市,1095352
201607,101,阿富汗,13,河北省,5153910
201607,101,阿富汗,21,辽宁省,188779
201607,101,阿富汗,22,吉林省,1006516
201607,101,阿富汗,31,上海市,3090825
201607,101,阿富汗,32,江苏省,27320017
201607,101,阿富汗,33,浙江省,63060189
201607,101,阿富汗,34,安徽省,356115
201607,101,阿富汗,35,福建省,6497647
201607,101,阿富汗,36,江西省,2507019
201607,101,阿富汗,37,山东省,45311247
201607,101,阿富汗,41,河南省,1833837
201607,101,阿富汗,42,湖北省,2655917
201607,101,阿富汗,43,湖南省,1498347
201607,101,阿富汗,44,广东省,66594899
201607,101,阿富汗,45,广西壮族自治区,443751
201607,101,阿富汗,50,重庆市,1028482
201607,101,阿富汗,51,四川省,747398
201607,101,阿富汗,53,云南省,155597
201607,101,阿富汗,62,甘肃省,1058456
201607,101,阿富汗,65,新疆维吾尔自治区,568484
201607,102,巴林,11,北京市,9720931
201607,102,巴林,12,天津市,8041894
201607,102,巴林,13,河北省,9179336
201607,102,巴林,14,山西省,445851
201607,102,巴林,15,内蒙古自治区,196023
201607,102,巴林,21,辽宁省,5598288
201607,102,巴林,22,吉林省,40401
201607,102,巴林,23,黑龙江省,599949
201607,102,巴林,31,上海市,23829460
201607,102,巴林,32,江苏省,47245430
201607,102,巴林,33,浙江省,75294170
201607,102,巴林,34,安徽省,8569312
201607,102,巴林,35,福建省,14041839
201607,102,巴林,36,江西省,21281809
201607,102,巴林,37,山东省,35734333
201607,102,巴林,41,河南省,3986874
201607,102,巴林,42,湖北省,10492181
201607,102,巴林,43,湖南省,7538095
201607,102,巴林,44,广东省,144552639
201607,102,巴林,45,广西壮族自治区,381104
201607,102,巴林,46,海南省,233458
201607,102,巴林,50,重庆市,11271332
201607,102,巴林,51,四川省,486384
201607,102,巴林,52,贵州省,2501412
201607,102,巴林,53,云南省,273100
201607,102,巴林,61,陕西省,805492
201607,102,巴林,62,甘肃省,79303
201607,102,巴林,65,新疆维吾尔自治区,137810
201607,103,孟加拉国,11,北京市,547093429
201607,103,孟加拉国,12,天津市,140213688
201607,103,孟加拉国,13,河北省,175320685
201607,103,孟加拉国,14,山西省,9311795
201607,103,孟加拉国,15,内蒙古自治区,1913922
201607,103,孟加拉国,21,辽宁省,50943678
201607,103,孟加拉国,22,吉林省,11298156
201607,103,孟加拉国,23,黑龙江省,65930817
201607,103,孟加拉国,31,上海市,420110493
201607,103,孟加拉国,32,江苏省,1252161759
201607,103,孟加拉国,33,浙江省,1213691544
201607,103,孟加拉国,34,安徽省,106033459
201607,103,孟加拉国,35,福建省,283327237
201607,103,孟加拉国,36,江西省,172911528
201607,103,孟加拉国,37,山东省,436494088
201607,103,孟加拉国,41,河南省,72813215
201607,103,孟加拉国,42,湖北省,236347905
201607,103,孟加拉国,43,湖南省,62155125
201607,103,孟加拉国,44,广东省,1243548135
201607,103,孟加拉国,45,广西壮族自治区,22266315
201607,103,孟加拉国,46,海南省,864405
201607,103,孟加拉国,50,重庆市,45383136
201607,103,孟加拉国,51,四川省,48358720
201607,103,孟加拉国,52,贵州省,13934694
201607,103,孟加拉国,53,云南省,13631493
201607,103,孟加拉国,61,陕西省,15315660
201607,103,孟加拉国,62,甘肃省,7597251
201607,103,孟加拉国,63,青海省,3183305
201607,103,孟加拉国,64,宁夏回族自治区,2721089
201607,103,孟加拉国,65,新疆维吾尔自治区,1341048
201607,104,不丹,11,北京市,34905
201607,104,不丹,12,天津市,3610
201607,104,不丹,31,上海市,134317
201607,104,不丹,32,江苏省,56066
201607,104,不丹,33,浙江省,146651
201607,104,不丹,36,江西省,1895304
201607,104,不丹,37,山东省,150756
201607,104,不丹,44,广东省,799116
201607,104,不丹,53,云南省,335284
201607,105,文莱,11,北京市,18152189
201607,105,文莱,12,天津市,2137652
201607,105,文莱,13,河北省,1479399
201607,105,文莱,15,内蒙古自治区,32611
201607,105,文莱,21,辽宁省,1383879
201607,105,文莱,31,上海市,6216354
201607,105,文莱,32,江苏省,45532847
201607,105,文莱,33,浙江省,16934498
201607,105,文莱,34,安徽省,1924034
201607,105,文莱,35,福建省,10977524
201607,105,文莱,36,江西省,9534315
201607,105,文莱,37,山东省,30828908
201607,105,文莱,41,河南省,194132
201607,105,文莱,42,湖北省,8415756
201607,105,文莱,43,湖南省,23683675
