数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
201507,101,阿富汗,11,北京市,4898431
201507,101,阿富汗,12,天津市,1111508
201507,101,阿富汗,13,河北省,1993598
201507,101,阿富汗,32,江苏省,4587459
201507,101,阿富汗,37,山东省,10917
201507,101,阿富汗,44,广东省,222
201507,101,阿富汗,63,青海省,1954778
201507,101,阿富汗,65,新疆维吾尔自治区,2856664
201507,102,巴林,11,北京市,195767780
201507,102,巴林,12,天津市,895985
201507,102,巴林,31,上海市,198406
201507,102,巴林,32,江苏省,4455230
201507,102,巴林,33,浙江省,34874618
201507,102,巴林,35,福建省,1822405
201507,102,巴林,37,山东省,1933510
201507,102,巴林,44,广东省,7004051
201507,102,巴林,50,重庆市,273155
201507,103,孟加拉国,11,北京市,36052953
201507,103,孟加拉国,12,天津市,31285681
201507,103,孟加拉国,13,河北省,2708605
201507,103,孟加拉国,21,辽宁省,1858757
201507,103,孟加拉国,22,吉林省,2199325
201507,103,孟加拉国,23,黑龙江省,359767
201507,103,孟加拉国,31,上海市,311735239
201507,103,孟加拉国,32,江苏省,55983631
201507,103,孟加拉国,33,浙江省,17088410
201507,103,孟加拉国,34,安徽省,2482057
201507,103,孟加拉国,35,福建省,12534208
201507,103,孟加拉国,36,江西省,6682163
201507,103,孟加拉国,37,山东省,3906496
201507,103,孟加拉国,41,河南省,6146207
201507,103,孟加拉国,42,湖北省,1071764
201507,103,孟加拉国,43,湖南省,10061024
201507,103,孟加拉国,44,广东省,70458122
201507,103,孟加拉国,45,广西壮族自治区,1135987
201507,103,孟加拉国,46,海南省,61922
201507,103,孟加拉国,51,四川省,1042698
201507,103,孟加拉国,52,贵州省,1342260
201507,103,孟加拉国,53,云南省,4454040
201507,103,孟加拉国,61,陕西省,428715
201507,103,孟加拉国,65,新疆维吾尔自治区,146581
201507,105,文莱,13,河北省,1110085
201507,105,文莱,31,上海市,11353144
201507,105,文莱,32,江苏省,26264217
201507,105,文莱,35,福建省,518757
201507,105,文莱,44,广东省,665924
201507,106,缅甸,11,北京市,5926644
201507,106,缅甸,12,天津市,2069
201507,106,缅甸,13,河北省,299191
201507,106,缅甸,14,山西省,229445258
201507,106,缅甸,21,辽宁省,3440386
201507,106,缅甸,31,上海市,44331440
201507,106,缅甸,32,江苏省,8057551
201507,106,缅甸,33,浙江省,4642515
201507,106,缅甸,35,福建省,167712510
201507,106,缅甸,36,江西省,2438093
201507,106,缅甸,37,山东省,11614536
201507,106,缅甸,41,河南省,104832
201507,106,缅甸,42,湖北省,1358188492
201507,106,缅甸,43,湖南省,1244768
201507,106,缅甸,44,广东省,35003712
