source,pubtime,title,url
差评,2024_02_05,为了在印度造出iPhone，富士康找了一群中国“老师傅”,http://mp.weixin.qq.com/s?__biz=MzA5NDc1NzQ4MA==&mid=2654470244&idx=1&sn=c06d3b0189c1e92851b108a050883a48&chksm=8a5fea073aabc1144fa020d9326c709fbd89d99722029ce2ba437bb54dafee0ff163c60ce27d&scene=0&xtrack=1#rd
差评,2024_02_05,充电桩卷得人头皮发麻，现在大家盯上汽车充电宝了。,http://mp.weixin.qq.com/s?__biz=MzA5NDc1NzQ4MA==&mid=2654470244&idx=2&sn=23ed920ade2278619618a1d0c92dbb9a&chksm=8ad2ba05866184402e8bbe71ade0f4acd2ac5b8bf0e85f97e45914a62bb9c820912ea33d5a59&scene=0&xtrack=1#rd
差评,2024_02_05,我用字节的GPTs，做了个抽象话翻译机。,http://mp.weixin.qq.com/s?__biz=MzA5NDc1NzQ4MA==&mid=2654470244&idx=3&sn=40dc9936526e3e76954d3683bb93a6ef&chksm=8a1a10b0d2aca9d2b02ef81b326415e1929efc69b5d5bf1d5ffc382117c846caad22a4b603da&scene=0&xtrack=1#rd
差评,2024_02_05,今日最佳：什么是坏心眼。,http://mp.weixin.qq.com/s?__biz=MzA5NDc1NzQ4MA==&mid=2654470244&idx=4&sn=601741c0dff23704c49196d651591606&chksm=8af8c460d1d33c0eeb94c4cc6f993f299dbf4ad3c3cb06bb5b210c806bf273cab0a7500a4140&scene=0&xtrack=1#rd
差评,2024_02_05,聊一聊：你觉得自己最怨种的一次，是买了啥？,http://mp.weixin.qq.com/s?__biz=MzA5NDc1NzQ4MA==&mid=2654470244&idx=5&sn=dd356741cf764da10882b2f180f14007&chksm=8a84ddcaac29ead513d3fcbcd2381fae3840b4e75fcb0935cc1ed1cd0502d784f35ec037b4f8&scene=0&xtrack=1#rd
差评,2024_02_05,官方回应淘宝客服消极回复要罚款，传蔚来资本新募超30亿，斗鱼辟谣与虎牙合并，知情人士回应智界事业部升级，这就是今天的其他大新闻！,http://mp.weixin.qq.com/s?__biz=MzA5NDc1NzQ4MA==&mid=2654470244&idx=6&sn=ba68e0be34ad99aab451b7dd3335e81d&chksm=8a7ea7538bca4d2b6c05688c5d1042047688da5c1bbc436666034f97e884ae44f1fb2812b34d&scene=0&xtrack=1#rd
