source,pubtime,title,url
科研圈,2023_10_24,首次授予中国科学家！薛其坤获2024凝聚态物理领域最高奖；神十七瞄准明日发射，迄今最年轻航天员乘组公布 | 科研圈日报,http://mp.weixin.qq.com/s?__biz=MzA5NDkzNjIwMg==&mid=2651757037&idx=1&sn=8a306784faf7d61a3fa36b25a480ac44&chksm=8bbd3408bccabd1ed48ae4d3f4d8f3b4cd59a241c053e464a9031b48bdfab0dbc97b6278b2ca&scene=0&xtrack=1#rd
科研圈,2023_10_24,24小时热门｜防晒，也是在防癌！《自然》发现紫外线还可诱发白血病｜Nature：32.5%转换效率！,http://mp.weixin.qq.com/s?__biz=MzA5NDkzNjIwMg==&mid=2651757037&idx=2&sn=85320ad4a82da5684f9401f71e9b1b06&chksm=8bbd3408bccabd1e09a97a2cd32df23ff3354e9e48c6da823daa936ea113998df708ed424f89&scene=0&xtrack=1#rd
科研圈,2023_10_24,有转正机会！“科研圈”招募坐班实习生,http://mp.weixin.qq.com/s?__biz=MzA5NDkzNjIwMg==&mid=2651757037&idx=3&sn=210761e06829c3508272c165d20a832e&chksm=8bbd3408bccabd1ec06f1a20e32ad16edd87df468d698d76a99fd6553994f6fa6321975f07af&scene=0&xtrack=1#rd
