source,pubtime,title,url
科研圈,2023_10_24,挂掉博士答辩后，他发表了人生中引用量最高的论文、成功毕业,http://mp.weixin.qq.com/s?__biz=MzA5NDkzNjIwMg==&mid=2651757022&idx=1&sn=b90af462e6d99782dd8d66a4c0bba4d1&chksm=8bbd343bbccabd2d5ca39d221ade5df6413d4aaeb0d517d75a2b1c29d35ed8876dd1a53c293b&scene=0&xtrack=1#rd
科研圈,2023_10_24,Cell Press“最受欢迎中国论文奖”开启投票，邀您选出最喜爱的中国论文！,http://mp.weixin.qq.com/s?__biz=MzA5NDkzNjIwMg==&mid=2651757022&idx=2&sn=d615be105a86589d670639e75b0b15a7&chksm=8bbd343bbccabd2d412166888fe3e3c851f29bc95ceac2b48c72dae8ce6271ee59ba743bf0dd&scene=0&xtrack=1#rd
科研圈,2023_10_24,首届气候变化科学大会成功举办,http://mp.weixin.qq.com/s?__biz=MzA5NDkzNjIwMg==&mid=2651757022&idx=3&sn=b7d21abd3e4485da7858dc6d02885a60&chksm=8bbd343bbccabd2dd779b35bcf631862bd97ab50228114524e6acec322a9355016db542ae45b&scene=0&xtrack=1#rd
